distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,cadence,calories,descent,enhanced_altitude,grade,left_right_balance,power,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
6.08,8.635,3,50.5188279,-84.809229,8.635,2023-02-15 14:59:51,,,,,,,,,,,,,,,,2023,2,15,14,6.38,9.0
12.17,8.562,3,50.5188889,-84.8092578,8.562,2023-02-15 14:59:52,5.399999999999977,0.0,29.0,92.0,0.0,0.0,5.399999999999977,0.0,51.0,226.0,,,,,,2023,2,15,14,6.38,9.0
18.67,8.482,3,50.5189538,-84.8092897,8.482,2023-02-15 14:59:53,5.399999999999977,0.0,,93.0,0.0,0.0,5.399999999999977,0.0,50.0,226.0,23.0,76.5,25.5,86.5,13.0,2023,2,15,14,6.38,9.0
27.28,8.473,3,50.5190392,-84.8093366,8.473,2023-02-15 14:59:54,5.600000000000023,0.0,,94.0,0.0,0.0,5.600000000000023,0.0,50.0,228.0,23.0,76.5,25.5,86.5,13.0,2023,2,15,14,6.38,9.0
35.81,8.849,3,50.5191256,-84.809384,8.849,2023-02-15 14:59:55,5.600000000000023,0.0,,95.0,0.0,0.0,5.600000000000023,0.0,50.0,235.0,22.5,76.0,25.5,86.5,13.0,2023,2,15,14,6.38,9.0
44.86,8.958,3,50.5192129,-84.8094385,8.958,2023-02-15 14:59:56,5.800000000000011,0.0,,96.0,0.0,0.0,5.800000000000011,0.0,51.0,255.0,22.5,76.0,25.0,87.0,13.0,2023,2,15,14,6.38,9.0
53.9,8.953,3,50.5193039,-84.8094913,8.953,2023-02-15 14:59:57,5.800000000000011,0.0,,97.0,1.0,0.0,5.800000000000011,0.0,51.0,246.0,22.0,75.5,25.0,87.0,13.0,2023,2,15,14,6.38,9.0
62.77,8.94,3,50.5193938,-84.8095349,8.94,2023-02-15 14:59:58,5.800000000000011,0.0,,97.0,1.0,0.0,5.800000000000011,0.0,51.0,239.0,23.0,78.5,23.0,81.0,13.0,2023,2,15,14,6.38,9.0
71.42,8.823,3,50.5194815,-84.8095715,8.823,2023-02-15 14:59:59,5.600000000000023,0.0,,97.0,1.0,0.0,5.600000000000023,0.0,50.0,243.0,23.5,82.0,22.0,76.5,13.0,2023,2,15,14,6.38,9.0
80.19,9.01,3,50.5195723,-84.8096096,9.01,2023-02-15 15:00:00,5.600000000000023,0.0,,97.0,1.0,0.0,5.600000000000023,0.0,50.0,247.0,23.0,82.5,23.0,79.5,13.0,2023,2,15,15,6.23,6.0
88.68,9.077,3,50.5196549,-84.8096588,9.077,2023-02-15 15:00:01,5.800000000000011,0.0,,96.0,2.0,0.0,5.800000000000011,0.0,52.0,243.0,22.0,83.5,24.0,82.0,13.0,2023,2,15,15,6.23,6.0
95.5,9.08,3,50.5197073,-84.8097228,9.08,2023-02-15 15:00:02,5.800000000000011,0.0,,95.0,2.0,0.0,5.800000000000011,0.0,49.0,222.0,24.0,84.0,19.5,72.0,13.0,2023,2,15,15,6.23,6.0
105.19,9.071,3,50.5198028,-84.8097731,9.071,2023-02-15 15:00:03,5.800000000000011,0.0,,91.0,2.0,0.0,5.800000000000011,0.0,46.0,224.0,24.5,81.0,18.0,67.5,13.0,2023,2,15,15,6.23,6.0
113.97,9.151,3,50.5198905,-84.80982,9.151,2023-02-15 15:00:04,6.0,0.0,,92.0,2.0,0.0,6.0,0.0,49.0,233.0,24.5,80.5,20.0,73.5,13.0,2023,2,15,15,6.23,6.0
123.01,9.384,3,50.5199814,-84.8098775,9.384,2023-02-15 15:00:05,5.800000000000011,0.0,,93.0,2.0,0.0,5.800000000000011,0.0,51.0,263.0,26.5,87.5,25.0,87.0,13.0,2023,2,15,15,6.23,6.0
130.82,9.453,3,50.5200479,-84.8099412,9.453,2023-02-15 15:00:06,5.800000000000011,0.0,,94.0,3.0,0.0,5.800000000000011,0.0,50.0,274.0,26.5,86.0,25.0,87.0,13.0,2023,2,15,15,6.23,6.0
139.09,9.433,3,50.5201253,-84.8100031,9.433,2023-02-15 15:00:07,5.800000000000011,0.0,,93.0,3.0,0.0,5.800000000000011,0.0,48.0,275.0,28.0,86.5,24.5,86.0,13.0,2023,2,15,15,6.23,6.0
147.36,9.273,3,50.5202039,-84.8100579,9.273,2023-02-15 15:00:08,5.600000000000023,0.0,,93.0,3.0,0.0,5.600000000000023,0.0,54.0,269.0,29.0,89.0,24.5,85.5,13.0,2023,2,15,15,6.23,6.0
155.96,9.138,3,50.5202864,-84.8101123,9.138,2023-02-15 15:00:09,5.600000000000023,0.0,,93.0,4.0,0.0,5.600000000000023,0.0,54.0,272.0,29.0,91.0,24.0,85.0,13.0,2023,2,15,15,6.23,6.0
164.93,8.92,3,50.5203732,-84.8101671,8.92,2023-02-15 15:00:10,5.600000000000023,0.0,,92.0,4.0,0.0,5.600000000000023,0.0,52.0,284.0,28.5,92.0,23.0,83.5,13.0,2023,2,15,15,6.23,6.0
173.93,8.795,3,50.5204613,-84.8102197,8.795,2023-02-15 15:00:11,5.800000000000011,0.0,,93.0,4.0,0.0,5.800000000000011,0.0,53.0,289.0,28.5,94.0,23.0,83.5,13.0,2023,2,15,15,6.23,6.0
183.23,8.495,3,50.5205543,-84.8102654,8.495,2023-02-15 15:00:12,5.800000000000011,0.0,,92.0,4.0,0.0,5.800000000000011,0.0,53.0,301.0,28.0,94.0,25.0,87.0,13.0,2023,2,15,15,6.23,6.0
191.36,8.043,3,50.5206331,-84.8103163,8.043,2023-02-15 15:00:13,6.0,0.0,,92.0,5.0,0.0,6.0,0.0,52.0,301.0,27.5,92.0,25.5,88.0,13.0,2023,2,15,15,6.23,6.0
199.12,7.717,3,50.5207016,-84.8103874,7.717,2023-02-15 15:00:14,6.0,0.0,,92.0,5.0,0.0,6.0,0.0,52.0,298.0,26.0,89.0,23.5,83.5,13.0,2023,2,15,15,6.23,6.0
206.89,7.36,3,50.520772,-84.8104475,7.36,2023-02-15 15:00:15,6.0,0.0,,92.0,5.0,0.0,6.0,0.0,51.0,296.0,28.0,90.5,25.5,87.5,13.0,2023,2,15,15,6.23,6.0
214.91,8.408,3,50.5208509,-84.810491,8.408,2023-02-15 15:00:16,6.199999999999989,0.0,,92.0,6.0,0.0,6.199999999999989,0.0,51.0,306.0,28.5,94.0,27.0,93.0,13.0,2023,2,15,15,6.23,6.0
223.36,9.109,3,50.5209378,-84.810529,9.109,2023-02-15 15:00:17,6.600000000000023,0.0,,92.0,6.0,0.0,6.600000000000023,0.0,51.0,312.0,29.0,95.0,27.5,92.5,13.0,2023,2,15,15,6.23,6.0
232.49,8.816,3,50.521028,-84.8105741,8.816,2023-02-15 15:00:18,7.0,0.0,,91.0,6.0,0.0,7.0,0.0,52.0,316.0,29.5,94.5,28.0,90.5,12.0,2023,2,15,15,6.23,6.0
241.52,8.824,3,50.5211199,-84.8106179,8.824,2023-02-15 15:00:19,7.199999999999989,0.0,,91.0,7.0,0.0,7.199999999999989,0.0,53.0,316.0,27.5,93.5,28.5,92.5,12.0,2023,2,15,15,6.23,6.0
250.56,8.76,3,50.521214,-84.8106561,8.76,2023-02-15 15:00:20,7.399999999999977,0.0,,89.0,7.0,0.0,7.399999999999977,0.0,53.0,310.0,26.5,91.0,28.5,90.5,12.0,2023,2,15,15,6.23,6.0
259.18,8.34,3,50.5212986,-84.8107011,8.34,2023-02-15 15:00:21,7.600000000000023,0.0,,88.0,7.0,0.0,7.600000000000023,0.0,50.0,296.0,25.5,88.0,28.0,89.0,12.0,2023,2,15,15,6.23,6.0
267.05,7.73,3,50.5213784,-84.8107469,7.73,2023-02-15 15:00:22,8.0,0.0,,88.0,8.0,0.0,8.0,0.0,51.0,285.0,25.5,90.5,26.5,89.5,12.0,2023,2,15,15,6.23,6.0
274.65,8.13,3,50.5214497,-84.8107922,8.13,2023-02-15 15:00:23,8.399999999999977,1.0,,84.0,8.0,0.0,8.399999999999977,1.84,49.0,285.0,25.0,91.0,26.0,91.5,12.0,2023,2,15,15,6.23,6.0
282.81,8.075,3,50.5215346,-84.8108344,8.075,2023-02-15 15:00:24,8.600000000000023,1.0,,60.0,8.0,0.0,8.600000000000023,2.63,,259.0,,,,,12.0,2023,2,15,15,6.23,6.0
290.54,7.384,3,50.521612,-84.8108638,7.384,2023-02-15 15:00:25,9.0,2.0,,37.0,8.0,0.0,9.0,2.81,,233.0,,,,,12.0,2023,2,15,15,6.23,6.0
297.62,7.033,3,50.5216842,-84.8109003,7.033,2023-02-15 15:00:26,9.199999999999989,2.0,,14.0,8.0,0.0,9.199999999999989,2.98,,207.0,,,,,12.0,2023,2,15,15,6.23,6.0
304.62,7.278,3,50.5217526,-84.8109364,7.278,2023-02-15 15:00:27,9.199999999999989,2.0,,0.0,8.0,0.0,9.199999999999989,3.12,,0.0,,,,,12.0,2023,2,15,15,6.23,6.0
311.38,6.783,3,50.5218211,-84.8109713,6.783,2023-02-15 15:00:28,9.399999999999977,3.0,,0.0,8.0,0.0,9.399999999999977,3.21,,0.0,,,,,12.0,2023,2,15,15,6.23,6.0
317.44,5.098,3,50.5218841,-84.8110093,5.098,2023-02-15 15:00:29,9.600000000000023,3.0,,0.0,8.0,0.0,9.600000000000023,3.12,,0.0,,,,,12.0,2023,2,15,15,6.23,6.0
321.81,3.294,3,50.5219246,-84.8110402,3.294,2023-02-15 15:00:30,9.800000000000011,3.0,,0.0,8.0,0.0,9.800000000000011,2.93,,0.0,,,,,12.0,2023,2,15,15,6.23,6.0
324.68,1.918,3,50.5219514,-84.8110496,1.918,2023-02-15 15:00:31,10.0,3.0,,0.0,8.0,0.0,10.0,2.63,,0.0,,,,,12.0,2023,2,15,15,6.23,6.0
327.53,0.976,3,50.5219905,-84.8110554,0.976,2023-02-15 15:00:32,10.0,3.0,,0.0,8.0,0.0,10.0,2.41,,0.0,,,,,12.0,2023,2,15,15,6.23,6.0
328.37,2.517,3,50.5221613,-84.8110259,2.517,2023-02-15 15:00:41,10.800000000000011,3.0,,0.0,8.0,0.0,10.800000000000011,0.0,,0.0,,,,,12.0,2023,2,15,15,6.23,6.0
332.53,2.97,3,50.5222032,-84.8110097,2.97,2023-02-15 15:00:42,10.800000000000011,3.0,,0.0,8.0,0.0,10.800000000000011,0.0,,0.0,,,,,12.0,2023,2,15,15,6.23,6.0
337.42,3.738,3,50.5222548,-84.8110023,3.738,2023-02-15 15:00:43,10.600000000000023,3.0,,0.0,8.0,0.0,10.600000000000023,0.0,60.0,0.0,,,,,12.0,2023,2,15,15,6.23,6.0
342.55,4.06,3,50.5223092,-84.8110041,4.06,2023-02-15 15:00:44,10.600000000000023,3.0,,21.0,8.0,0.0,10.600000000000023,0.0,55.0,10.0,,,,,12.0,2023,2,15,15,6.23,6.0
347.41,3.562,3,50.5223623,-84.8110131,3.562,2023-02-15 15:00:45,10.600000000000023,3.0,,34.0,8.0,0.0,10.600000000000023,0.0,49.0,162.0,21.0,74.5,26.5,91.0,12.0,2023,2,15,15,6.23,6.0
351.94,2.567,3,50.5224114,-84.8110238,2.567,2023-02-15 15:00:46,10.600000000000023,3.0,,40.0,8.0,0.0,10.600000000000023,0.0,50.0,206.0,21.5,82.0,24.5,90.5,12.0,2023,2,15,15,6.23,6.0
356.58,3.322,3,50.5224571,-84.811042,3.322,2023-02-15 15:00:47,10.800000000000011,3.0,,42.0,8.0,0.0,10.800000000000011,0.0,51.0,205.0,22.0,89.0,23.0,90.5,12.0,2023,2,15,15,6.23,6.0
361.13,4.105,3,50.5225038,-84.8110617,4.105,2023-02-15 15:00:48,10.800000000000011,3.0,,50.0,9.0,0.0,10.800000000000011,0.0,52.0,195.0,24.0,95.5,22.0,89.0,12.0,2023,2,15,15,6.23,6.0
366.34,4.409,3,50.5225585,-84.8110872,4.409,2023-02-15 15:00:49,10.800000000000011,4.0,,74.0,9.0,0.0,10.800000000000011,-0.12,52.0,195.0,34.0,97.0,26.0,85.0,12.0,2023,2,15,15,6.23,6.0
372.09,4.796,3,50.5226181,-84.8111079,4.796,2023-02-15 15:00:50,11.0,4.0,,84.0,9.0,0.0,11.0,0.08,48.0,258.0,32.5,96.5,27.5,88.0,12.0,2023,2,15,15,6.23,6.0
