ascent,descent,timestamp,battery_soc,cadence,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,calories,distance,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
0,0,2023-02-16 00:38:29,,78.0,0.0,6.0,21.0,45.0,71.5,50.540412,-84.8217884,218.0,26.5,90.0,0.0,19.0,,,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:30,,80.0,2.344,5.0,18.5,43.0,65.0,50.5403938,-84.8217702,197.0,26.5,86.0,2.344,19.0,0.0,0.0,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:31,,83.0,4.38,5.0,21.0,49.0,72.0,50.540362,-84.8217429,143.0,25.5,84.0,4.38,19.0,0.0,3.45,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:32,,85.0,4.861,5.0,28.0,55.0,93.0,50.5402573,-84.8217247,155.0,26.5,89.0,4.861,19.0,0.0,13.17,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:33,,85.0,4.842,5.0,26.0,48.0,87.5,50.5401754,-84.8216974,161.0,26.5,89.0,4.842,19.0,0.0,20.94,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:34,,84.0,4.846,4.0,21.0,45.0,72.0,50.5400707,-84.821661,161.0,26.5,89.0,4.846,19.0,0.0,31.21,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:35,,81.0,4.831,4.0,21.5,57.0,76.5,50.5399933,-84.8216428,155.0,27.0,87.0,4.831,19.0,0.0,38.47,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:36,,78.0,5.84,4.0,25.5,58.0,91.5,50.5399159,-84.8216337,180.0,27.5,85.5,5.84,19.0,0.0,45.94,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:37,,81.0,5.425,4.0,24.5,49.0,85.0,50.5398477,-84.8216337,183.0,27.0,88.0,5.425,19.0,1.0,52.11,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:38,,83.0,5.961,4.0,23.5,51.0,78.5,50.539784,-84.8216428,172.0,26.5,90.5,5.961,19.0,1.0,58.3,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:39,,84.0,5.904,4.0,18.5,50.0,67.5,50.5397157,-84.8216519,157.0,23.5,79.5,5.904,19.0,1.0,64.74,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:40,,85.0,6.009,4.0,16.5,49.0,61.0,50.5396429,-84.8216701,143.0,20.0,70.0,6.009,19.0,1.0,71.13,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:41,,84.0,6.01,4.0,17.5,49.0,60.0,50.5395792,-84.8216792,126.0,18.0,65.5,6.01,19.0,1.0,77.27,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:42,,83.0,6.203,4.0,18.0,51.0,61.5,50.5395063,-84.8216883,119.0,18.0,65.5,6.203,19.0,1.0,84.09,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:43,,65.0,6.308,4.0,19.5,62.0,66.0,50.5394335,-84.8217065,103.0,18.0,65.0,6.308,19.0,1.0,90.79,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:44,,43.0,6.749,4.0,19.5,62.0,66.5,50.5393607,-84.8217156,86.0,18.0,65.5,6.749,19.0,1.0,97.82,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:45,,21.0,6.049,4.0,19.0,62.0,66.0,50.5392924,-84.8217247,68.0,18.5,66.0,6.049,19.0,1.0,104.58,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:46,,0.0,3.973,3.0,18.5,62.0,65.0,50.5392242,-84.8217338,0.0,18.5,66.5,3.973,19.0,1.0,110.72,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:47,,0.0,3.422,3.0,18.5,61.0,64.5,50.5391514,-84.8217429,0.0,18.5,67.0,3.422,19.0,1.0,117.63,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:48,,0.0,2.071,3.0,18.0,61.0,63.5,50.5391104,-84.821752,0.0,19.0,67.5,2.071,19.0,1.0,121.3,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:49,,0.0,0.749,4.0,17.5,61.0,63.0,50.5390922,-84.8217884,0.0,19.0,68.0,0.749,19.0,1.0,124.33,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:50,,0.0,0.0,4.0,17.0,61.0,62.5,50.5390558,-84.8218158,0.0,19.5,68.0,0.0,19.0,1.0,124.33,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:51,,0.0,0.348,4.0,16.5,61.0,61.5,50.5390467,-84.821834,0.0,19.5,68.5,0.348,19.0,1.0,124.7,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:52,,0.0,1.764,4.0,16.0,61.0,61.0,50.5390421,-84.8218704,0.0,19.5,69.0,1.764,19.0,1.0,126.56,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:53,,0.0,0.0,3.0,15.5,60.0,60.5,50.5390467,-84.8218886,0.0,20.0,69.5,0.0,19.0,1.0,126.56,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:54,,0.0,0.0,3.0,15.0,60.0,59.5,50.5390512,-84.8218977,0.0,20.0,70.0,0.0,19.0,1.0,126.56,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:55,,0.0,0.0,3.0,14.5,60.0,59.0,50.5390512,-84.8218977,0.0,20.0,70.5,0.0,19.0,1.0,126.56,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:56,,0.0,0.0,3.0,14.5,60.0,58.0,50.5390512,-84.8218977,0.0,20.5,71.0,0.0,19.0,1.0,126.56,,,,2023,2,16,0,4.83,326.0
0,0,2023-02-16 00:38:57,,0.0,0.292,3.0,14.0,60.0,57.5,50.5390558,-84.8218977,0.0,20.5,71.5,0.292,19.0,1.0,126.95,,,,2023,2,16,0,4.83,326.0
