ascent,descent,timestamp,battery_soc,temperature,cadence,power,calories,enhanced_speed,gps_accuracy,position_lat,position_long,speed,distance,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
0,0,2023-02-21 15:05:35,,12.0,0.0,0.0,0.0,2.391,5.0,50.5229266,-84.8116577,2.391,,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:36,,12.0,0.0,0.0,0.0,2.723,5.0,50.5229449,-84.8116759,2.723,0.0,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:37,,12.0,0.0,0.0,0.0,3.641,5.0,50.5229858,-84.8117032,3.641,4.02,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:38,,12.0,0.0,0.0,0.0,4.229,5.0,50.5229949,-84.8117396,4.229,7.23,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:39,,12.0,0.0,0.0,0.0,4.895,5.0,50.5230177,-84.8118033,4.895,12.38,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:40,,12.0,0.0,0.0,0.0,5.014,5.0,50.5230541,-84.811867,5.014,18.0,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:41,,12.0,0.0,0.0,0.0,5.81,5.0,50.5231223,-84.8118943,5.81,24.98,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:42,,12.0,0.0,0.0,0.0,6.091,5.0,50.5231906,-84.8119216,6.091,31.8,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:43,,11.0,0.0,0.0,0.0,5.813,5.0,50.5232498,-84.8119489,5.813,37.43,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:44,,11.0,0.0,0.0,0.0,6.955,5.0,50.5233408,-84.8119945,6.955,46.13,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:45,,11.0,0.0,0.0,0.0,7.094,5.0,50.5234182,-84.8120218,7.094,53.91,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:46,,11.0,0.0,0.0,0.0,7.217,5.0,50.5235001,-84.8120491,7.217,61.72,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:47,,11.0,0.0,0.0,0.0,7.339,5.0,50.523582,-84.8120855,7.339,69.68,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:48,,11.0,0.0,0.0,0.0,7.947,5.0,50.5236776,-84.8121219,7.947,79.12,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:49,,11.0,0.0,0.0,0.0,8.12,5.0,50.5237777,-84.8121583,8.12,88.88,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:50,,11.0,0.0,0.0,0.0,8.432,5.0,50.5238824,-84.8121856,8.432,98.54,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:51,,11.0,0.0,0.0,0.0,7.397,5.0,50.5239689,-84.8122038,7.397,106.85,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:52,,11.0,0.0,0.0,0.0,7.916,5.0,50.5240826,-84.8122311,7.916,117.27,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:53,,11.0,0.0,0.0,0.0,8.598,5.0,50.5241964,-84.8122584,8.598,128.37,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:54,,11.0,0.0,0.0,0.0,8.469,5.0,50.5243056,-84.8122857,8.469,138.7,,,,2023,2,21,15,1.42,321.0
0,0,2023-02-21 15:05:55,,11.0,0.0,0.0,0.0,8.487,5.0,50.524424,-84.812313,8.487,149.63,,,,2023,2,21,15,1.42,321.0
