altitude,ascent,battery_soc,cadence,calories,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,power,speed,timestamp,temperature,year,month,day,hour,wind_speed,wind_direction
13.399999999999977,0,34.0,0,0,0,3.9,13.399999999999977,7.905,4,-5.61,50.5365194,-84.8181711,0,7.905,2023-02-21 23:55:16,,2023,2,21,23,1.84,292.0
13.0,0,,0,0,0,7.79,13.0,7.788,4,-5.7,50.536486,-84.81814,0,7.788,2023-02-21 23:55:17,,2023,2,21,23,1.84,292.0
12.799999999999955,0,,0,0,1,16.08,12.799999999999955,7.44,4,-5.8,50.5364108,-84.818069,0,7.44,2023-02-21 23:55:18,,2023,2,21,23,1.84,292.0
12.399999999999977,0,,0,0,1,23.43,12.399999999999977,7.239,4,-5.82,50.5363494,-84.8180057,0,7.239,2023-02-21 23:55:19,12.0,2023,2,21,23,1.84,292.0
12.200000000000045,0,,0,0,2,31.26,12.200000000000045,7.471,4,-5.6,50.5362731,-84.817952,0,7.471,2023-02-21 23:55:20,12.0,2023,2,21,23,1.84,292.0
12.200000000000045,0,,0,0,2,39.85,12.200000000000045,8.0,4,-5.14,50.5361908,-84.8178969,0,8.0,2023-02-21 23:55:21,12.0,2023,2,21,23,1.84,292.0
12.0,0,,0,0,2,47.81,12.0,8.075,4,-4.56,50.5361142,-84.8178436,0,8.075,2023-02-21 23:55:22,12.0,2023,2,21,23,1.84,292.0
11.800000000000011,0,,0,0,2,55.71,11.800000000000011,7.731,4,-3.85,50.5360362,-84.8177977,0,7.731,2023-02-21 23:55:23,12.0,2023,2,21,23,1.84,292.0
11.800000000000011,0,,0,0,2,63.65,11.800000000000011,7.943,4,-3.17,50.535959,-84.817752,0,7.943,2023-02-21 23:55:24,12.0,2023,2,21,23,1.84,292.0
11.800000000000011,0,,0,0,3,71.34,11.800000000000011,7.791,4,-2.49,50.535886,-84.8177066,0,7.791,2023-02-21 23:55:25,12.0,2023,2,21,23,1.84,292.0
11.800000000000011,0,,0,0,3,79.02,11.800000000000011,7.594,4,-1.83,50.5358086,-84.8176611,0,7.594,2023-02-21 23:55:26,12.0,2023,2,21,23,1.84,292.0
11.600000000000023,0,,0,0,3,86.95,11.600000000000023,7.67,4,-1.32,50.5357306,-84.8176161,0,7.67,2023-02-21 23:55:27,12.0,2023,2,21,23,1.84,292.0
11.600000000000023,0,,0,0,3,94.45,11.600000000000023,7.439,4,-0.99,50.535654,-84.8175799,0,7.439,2023-02-21 23:55:28,12.0,2023,2,21,23,1.84,292.0
11.600000000000023,0,,0,0,3,101.82,11.600000000000023,7.326,4,-0.6,50.5355811,-84.8175426,0,7.326,2023-02-21 23:55:29,11.0,2023,2,21,23,1.84,292.0
11.600000000000023,0,,0,0,3,108.97,11.600000000000023,7.551,4,0.0,50.5355085,-84.8174978,0,7.551,2023-02-21 23:55:30,11.0,2023,2,21,23,1.84,292.0
11.600000000000023,0,,0,0,3,115.83,11.600000000000023,7.472,4,0.0,50.5354421,-84.8174607,0,7.472,2023-02-21 23:55:31,11.0,2023,2,21,23,1.84,292.0
11.600000000000023,0,,0,0,3,121.62,11.600000000000023,6.793,4,0.0,50.5353913,-84.8174152,0,6.793,2023-02-21 23:55:32,11.0,2023,2,21,23,1.84,292.0
11.800000000000011,0,,0,0,3,127.66,11.800000000000011,6.348,4,0.0,50.5353327,-84.8173726,0,6.348,2023-02-21 23:55:33,11.0,2023,2,21,23,1.84,292.0
12.0,0,,0,0,3,133.88,12.0,5.468,4,0.0,50.5352654,-84.8173531,0,5.468,2023-02-21 23:55:34,11.0,2023,2,21,23,1.84,292.0
