heart_rate,timestamp,battery_soc,cadence,calories,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
107.0,2023-03-15 22:14:14,,27.0,0.0,20.0,2.0,79.5,143.0,16.5,60.0,16.0,0.0,0.0,10.0,50.5389466,-84.821925,0.0,,,,,,2023,3,15,22,2.9,268.0
106.0,2023-03-15 22:14:15,,18.0,1.0,16.5,21.0,66.0,108.0,12.5,60.5,16.0,20.04,49.861,9.0,50.5385068,-84.821508,49.861,,,,,,2023,3,15,22,2.9,268.0
106.0,2023-03-15 22:14:16,,19.0,1.0,9.0,48.0,36.0,86.0,6.0,63.0,16.0,40.09,34.186,8.0,50.538067,-84.821091,34.186,,,,,,2023,3,15,22,2.9,268.0
107.0,2023-03-15 22:14:17,,21.0,1.0,2.0,74.0,8.0,64.0,0.0,65.5,16.0,61.01,39.96,8.0,50.5377604,-84.8208586,39.96,,,,,,2023,3,15,22,2.9,268.0
106.0,2023-03-15 22:14:18,,23.0,1.0,5.5,100.0,23.0,41.0,3.0,67.5,16.0,93.1,22.025,8.0,50.5374405,-84.8206836,22.025,,,,,,2023,3,15,22,2.9,268.0
106.0,2023-03-15 22:14:19,,24.0,1.0,9.0,90.0,38.0,17.0,6.5,70.0,16.0,117.39,0.86,7.0,50.5376084,-84.8208479,0.86,,,,,,2023,3,15,22,2.9,268.0
106.0,2023-03-15 22:14:20,,22.0,1.0,12.5,81.0,53.0,22.0,9.5,72.5,16.0,131.73,40.482,7.0,50.5381449,-84.8212661,40.482,,,,,,2023,3,15,22,2.9,268.0
105.0,2023-03-15 22:14:21,,19.0,1.0,16.0,72.0,68.0,31.0,12.5,75.0,16.0,150.29,22.77,6.0,50.5384873,-84.8214974,22.77,,,,,,2023,3,15,22,2.9,268.0
105.0,2023-03-15 22:14:22,,20.0,1.0,19.5,62.0,82.5,32.0,15.5,77.5,16.0,164.52,13.913,6.0,50.5386345,-84.8215427,13.913,,,,,,2023,3,15,22,2.9,268.0
104.0,2023-03-15 22:14:23,,21.0,1.0,20.0,53.0,79.0,33.0,15.5,74.0,16.0,173.62,8.549,6.0,50.538731,-84.8215591,8.549,,,,,,2023,3,15,22,2.9,268.0
106.0,2023-03-15 22:14:24,,22.0,1.0,20.0,43.0,75.5,34.0,15.5,70.5,16.0,181.2,5.083,6.0,50.5388072,-84.8215918,5.083,,,,,,2023,3,15,22,2.9,268.0
105.0,2023-03-15 22:14:25,,17.0,1.0,20.5,36.0,72.5,31.0,15.5,67.5,16.0,188.99,2.674,5.0,50.5388867,-84.821628,2.674,,,,,,2023,3,15,22,2.9,268.0
105.0,2023-03-15 22:14:26,,11.0,1.0,21.0,39.0,74.0,26.0,16.0,69.5,16.0,194.29,1.604,5.0,50.53894,-84.8216536,1.604,,,,,,2023,3,15,22,2.9,268.0
104.0,2023-03-15 22:14:27,,4.0,1.0,21.5,41.0,76.0,0.0,16.5,71.0,16.0,197.07,1.106,5.0,50.5389647,-84.8216719,1.106,,,,,,2023,3,15,22,2.9,268.0
102.0,2023-03-15 22:14:28,,0.0,1.0,22.0,44.0,77.5,0.0,16.5,73.0,16.0,198.13,0.337,5.0,50.5390011,-84.8216738,0.337,,,,,,2023,3,15,22,2.9,268.0
103.0,2023-03-15 22:14:29,,0.0,1.0,22.5,47.0,79.0,0.0,17.0,75.0,16.0,198.13,0.0,5.0,50.5390301,-84.8216647,0.0,,,,,,2023,3,15,22,2.9,268.0
103.0,2023-03-15 22:14:30,,0.0,1.0,23.0,50.0,81.0,0.0,17.5,76.5,16.0,198.13,0.0,5.0,50.5390511,-84.821661,0.0,,,,,,2023,3,15,22,2.9,268.0
104.0,2023-03-15 22:14:31,,0.0,1.0,23.5,53.0,82.5,0.0,17.5,78.5,16.0,198.13,0.0,5.0,50.5390907,-84.8216307,0.0,,,,,,2023,3,15,22,2.9,268.0
