altitude,cadence,calories,distance,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,power,speed,timestamp,ascent,battery_soc,descent,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
53.200000000000045,94,0,3.86,53.200000000000045,8.912,3,50.5368243,-84.8188808,207,8.912,2023-03-16 22:09:02,,,,,,,,,,,2023,3,16,22,4.9,51.0
53.200000000000045,95,0,7.73,53.200000000000045,8.925,3,50.536791,-84.8188495,212,8.925,2023-03-16 22:09:03,0.0,82.0,0.0,0.0,,,,,,,2023,3,16,22,4.9,51.0
53.200000000000045,97,0,18.17,53.200000000000045,9.563,3,50.5367,-84.8187634,222,9.563,2023-03-16 22:09:04,0.0,,0.0,0.0,22.0,54.0,74.0,23.5,83.0,16.0,2023,3,16,22,4.9,51.0
53.200000000000045,97,0,28.39,53.200000000000045,9.653,3,50.5366062,-84.8186856,212,9.653,2023-03-16 22:09:05,0.0,,0.0,0.0,23.5,53.0,78.5,23.5,81.0,16.0,2023,3,16,22,4.9,51.0
53.200000000000045,97,0,38.38,53.200000000000045,9.684,3,50.5365141,-84.8186098,204,9.684,2023-03-16 22:09:06,0.0,,0.0,0.0,25.5,53.0,83.0,23.5,79.0,16.0,2023,3,16,22,4.9,51.0
53.200000000000045,98,0,47.24,53.200000000000045,9.275,3,50.5364334,-84.8185381,222,9.275,2023-03-16 22:09:07,0.0,,0.0,0.0,27.0,54.0,87.5,23.5,77.0,16.0,2023,3,16,22,4.9,51.0
53.200000000000045,99,1,56.4,53.200000000000045,9.061,3,50.5363506,-84.8184643,254,9.061,2023-03-16 22:09:08,0.0,,0.0,0.0,30.0,54.0,92.5,23.5,77.0,16.0,2023,3,16,22,4.9,51.0
53.200000000000045,79,1,65.98,53.200000000000045,9.543,3,50.5362694,-84.8183834,250,9.543,2023-03-16 22:09:09,0.0,,0.0,0.0,17.5,65.0,58.0,23.0,78.5,15.0,2023,3,16,22,4.9,51.0
53.39999999999998,56,1,75.18,53.39999999999998,9.125,3,50.5361817,-84.818318,188,9.125,2023-03-16 22:09:10,0.0,,0.0,0.0,6.0,77.0,44.0,20.0,70.0,15.0,2023,3,16,22,4.9,51.0
53.39999999999998,34,1,84.29,53.39999999999998,9.151,3,50.536106,-84.8182379,127,9.151,2023-03-16 22:09:11,0.0,,0.0,0.0,3.5,88.0,69.0,14.0,49.5,15.0,2023,3,16,22,4.9,51.0
53.39999999999998,36,1,92.49,53.39999999999998,8.561,3,50.5360334,-84.8181654,50,8.561,2023-03-16 22:09:12,0.0,,0.0,0.0,0.5,100.0,93.5,8.5,29.5,15.0,2023,3,16,22,4.9,51.0
53.60000000000002,63,1,100.7,53.60000000000002,8.17,3,50.5359588,-84.8181094,108,8.17,2023-03-16 22:09:13,0.0,,0.0,0.0,7.5,79.0,96.5,13.0,44.0,15.0,2023,3,16,22,4.9,51.0
53.60000000000002,91,1,109.36,53.60000000000002,8.623,3,50.5358777,-84.8180463,166,8.623,2023-03-16 22:09:14,0.0,,0.0,0.0,18.0,58.0,92.0,21.0,71.5,15.0,2023,3,16,22,4.9,51.0
53.60000000000002,96,2,118.05,53.60000000000002,8.677,3,50.5357958,-84.8179828,234,8.677,2023-03-16 22:09:15,0.0,,0.0,0.0,26.0,48.0,87.5,26.5,91.5,15.0,2023,3,16,22,4.9,51.0
53.39999999999998,97,2,127.0,53.39999999999998,8.74,3,50.5357084,-84.8179275,277,8.74,2023-03-16 22:09:16,0.0,,0.0,0.0,27.0,51.0,84.0,25.5,88.0,15.0,2023,3,16,22,4.9,51.0
53.200000000000045,98,2,135.63,53.200000000000045,8.784,3,50.5356279,-84.8178739,286,8.784,2023-03-16 22:09:17,0.0,,0.0,0.0,27.5,54.0,86.5,26.5,88.5,15.0,2023,3,16,22,4.9,51.0
53.0,98,3,144.91,53.0,8.95,3,50.5355347,-84.8178186,289,8.95,2023-03-16 22:09:18,0.0,,0.0,0.0,27.0,49.0,86.5,26.5,88.0,15.0,2023,3,16,22,4.9,51.0
53.0,97,3,153.08,53.0,8.681,3,50.5354525,-84.817784,288,8.681,2023-03-16 22:09:19,0.0,,0.0,0.0,26.5,50.0,85.5,26.0,87.0,15.0,2023,3,16,22,4.9,51.0
53.0,97,3,162.09,53.0,8.839,3,50.5353637,-84.8177375,276,8.839,2023-03-16 22:09:20,0.0,,0.0,0.0,25.5,50.0,83.5,25.5,85.5,15.0,2023,3,16,22,4.9,51.0
53.0,97,3,170.57,53.0,8.707,3,50.5352734,-84.8177014,254,8.707,2023-03-16 22:09:21,0.0,,0.0,0.0,24.5,48.0,77.5,23.5,80.0,15.0,2023,3,16,22,4.9,51.0
53.0,97,4,180.1,53.0,8.863,3,50.5351797,-84.8176545,237,8.863,2023-03-16 22:09:22,0.0,,0.0,0.0,26.5,51.0,84.0,22.5,79.0,15.0,2023,3,16,22,4.9,51.0
53.0,99,4,188.63,53.0,8.85,3,50.5350925,-84.8176109,257,8.85,2023-03-16 22:09:23,0.0,,0.0,0.0,28.5,49.0,90.5,21.5,77.5,15.0,2023,3,16,22,4.9,51.0
53.200000000000045,95,4,197.78,53.200000000000045,8.842,3,50.5349986,-84.8175728,303,8.842,2023-03-16 22:09:24,0.0,,0.0,0.0,28.5,45.0,91.0,23.5,83.0,15.0,2023,3,16,22,4.9,51.0
53.39999999999998,72,4,206.59,53.39999999999998,8.559,3,50.5349124,-84.8175186,300,8.559,2023-03-16 22:09:25,0.0,,0.0,0.0,27.0,37.0,88.0,27.0,91.5,15.0,2023,3,16,22,4.9,51.0
53.39999999999998,50,5,215.5,53.39999999999998,8.537,3,50.5348223,-84.8174734,298,8.537,2023-03-16 22:09:26,0.0,,0.0,0.0,28.0,26.0,89.5,26.0,90.5,15.0,2023,3,16,22,4.9,51.0
53.60000000000002,31,5,223.86,53.60000000000002,7.997,3,50.5347402,-84.8174187,261,7.997,2023-03-16 22:09:27,0.0,,0.0,0.0,29.0,14.0,91.0,25.0,89.5,15.0,2023,3,16,22,4.9,51.0
53.60000000000002,21,5,231.73,53.60000000000002,7.98,3,50.534664,-84.8173739,203,7.98,2023-03-16 22:09:28,0.0,,0.0,0.0,29.5,3.0,91.0,22.0,90.0,15.0,2023,3,16,22,4.9,51.0
53.60000000000002,12,5,239.34,53.60000000000002,7.578,3,50.5345905,-84.8173281,145,7.578,2023-03-16 22:09:29,0.0,,0.0,0.0,30.0,7.0,90.5,18.5,92.0,15.0,2023,3,16,22,4.9,51.0
53.60000000000002,2,5,246.75,53.60000000000002,7.382,3,50.5345141,-84.8172921,0,7.382,2023-03-16 22:09:30,0.0,,0.0,0.0,30.0,17.0,90.0,14.5,93.5,15.0,2023,3,16,22,4.9,51.0
53.60000000000002,0,5,253.65,53.60000000000002,6.962,3,50.5344469,-84.8172563,0,6.962,2023-03-16 22:09:31,0.0,,0.0,0.0,30.0,26.0,89.5,10.5,95.5,15.0,2023,3,16,22,4.9,51.0
53.799999999999955,0,5,260.2,53.799999999999955,5.793,3,50.5343806,-84.8172271,0,5.793,2023-03-16 22:09:32,0.0,,0.0,0.0,30.0,36.0,89.0,6.5,97.0,15.0,2023,3,16,22,4.9,51.0
54.0,10,5,264.08,54.0,4.451,3,50.5343453,-84.8171916,1,4.451,2023-03-16 22:09:33,0.0,,0.0,0.0,30.5,45.0,88.5,3.0,98.5,15.0,2023,3,16,22,4.9,51.0
54.0,27,5,267.83,54.0,3.604,3,50.5343225,-84.8171552,6,3.604,2023-03-16 22:09:34,0.0,,0.0,0.0,29.0,53.0,84.5,0.0,96.0,15.0,2023,3,16,22,4.9,51.0
54.200000000000045,47,5,271.72,54.200000000000045,3.386,3,50.5342907,-84.8171099,11,3.386,2023-03-16 22:09:35,0.0,,0.0,0.0,23.0,57.0,72.0,0.0,80.0,15.0,2023,3,16,22,4.9,51.0
54.200000000000045,55,5,275.59,54.200000000000045,3.594,3,50.5342541,-84.8170825,57,3.594,2023-03-16 22:09:36,0.0,,0.0,0.0,23.5,55.0,87.0,15.5,64.0,15.0,2023,3,16,22,4.9,51.0
54.39999999999998,64,5,280.41,54.39999999999998,4.287,3,50.5342035,-84.8170641,190,4.287,2023-03-16 22:09:37,0.0,,0.0,0.0,27.5,53.0,92.5,22.0,72.0,15.0,2023,3,16,22,4.9,51.0
54.39999999999998,77,6,285.44,54.39999999999998,4.803,3,50.534154,-84.817046,267,4.803,2023-03-16 22:09:38,0.0,,0.0,1.76,30.0,52.0,94.5,26.5,84.5,15.0,2023,3,16,22,4.9,51.0
54.39999999999998,83,6,290.89,54.39999999999998,5.305,3,50.5340992,-84.8170187,278,5.305,2023-03-16 22:09:39,0.0,,0.0,2.04,28.0,48.0,91.5,30.5,91.5,15.0,2023,3,16,22,4.9,51.0
54.39999999999998,83,6,296.37,54.39999999999998,5.315,3,50.534041,-84.8169918,251,5.315,2023-03-16 22:09:40,0.0,,0.0,1.95,23.0,46.0,77.0,29.0,89.0,15.0,2023,3,16,22,4.9,51.0
54.39999999999998,76,6,301.95,54.39999999999998,5.061,3,50.5339893,-84.8169634,162,5.061,2023-03-16 22:09:41,0.0,,0.0,0.11,18.0,55.0,62.5,27.5,86.5,15.0,2023,3,16,22,4.9,51.0
54.39999999999998,71,6,306.72,54.39999999999998,4.174,3,50.5339439,-84.8169271,108,4.174,2023-03-16 22:09:42,0.0,,0.0,0.0,15.5,60.0,52.0,20.0,65.0,15.0,2023,3,16,22,4.9,51.0
54.60000000000002,62,6,310.43,54.60000000000002,2.779,3,50.5339088,-84.8169008,37,2.779,2023-03-16 22:09:43,0.0,,0.0,0.78,13.5,65.0,43.0,11.0,37.0,15.0,2023,3,16,22,4.9,51.0
54.60000000000002,46,6,312.86,54.60000000000002,1.516,3,50.5338856,-84.8168823,32,1.516,2023-03-16 22:09:44,0.0,,0.0,0.68,12.5,65.0,38.5,5.0,19.5,15.0,2023,3,16,22,4.9,51.0
54.60000000000002,33,6,315.22,54.60000000000002,2.472,3,50.5338629,-84.8168732,29,2.472,2023-03-16 22:09:45,0.0,,0.0,0.69,13.5,60.0,45.0,7.5,28.0,14.0,2023,3,16,22,4.9,51.0
54.799999999999955,21,6,316.63,54.799999999999955,1.669,3,50.5338493,-84.8168641,26,1.669,2023-03-16 22:09:46,0.0,,0.0,0.87,,55.0,,,,14.0,2023,3,16,22,4.9,51.0
55.60000000000002,0,6,316.66,55.60000000000002,2.668,4,50.5339355,-84.8169277,0,2.668,2023-03-16 22:10:01,0.0,,0.0,0.0,,60.0,,,,14.0,2023,3,16,22,4.9,51.0
55.60000000000002,0,6,319.15,55.60000000000002,2.55,4,50.5339126,-84.8169185,0,2.55,2023-03-16 22:10:02,0.0,,0.0,0.0,,60.0,,,,14.0,2023,3,16,22,4.9,51.0
55.60000000000002,2,6,321.85,55.60000000000002,2.676,3,50.5338814,-84.8169007,0,2.676,2023-03-16 22:10:03,0.0,,0.0,0.0,,60.0,,,,14.0,2023,3,16,22,4.9,51.0
55.39999999999998,45,6,325.86,55.39999999999998,3.679,3,50.5338487,-84.8168728,82,3.679,2023-03-16 22:10:04,0.0,,0.0,0.0,,61.0,,,,14.0,2023,3,16,22,4.9,51.0
55.39999999999998,58,7,330.99,55.39999999999998,4.727,3,50.5337991,-84.8168367,175,4.727,2023-03-16 22:10:05,0.0,,0.0,0.0,,60.0,,,,14.0,2023,3,16,22,4.9,51.0
55.39999999999998,71,7,337.69,55.39999999999998,6.272,3,50.5337348,-84.816791,338,6.272,2023-03-16 22:10:06,0.0,,0.0,0.0,22.0,56.0,82.0,18.0,81.5,14.0,2023,3,16,22,4.9,51.0
55.39999999999998,79,8,343.57,55.39999999999998,5.96,3,50.5336755,-84.8167635,381,5.96,2023-03-16 22:10:07,0.0,,0.0,0.0,23.0,52.0,83.5,18.0,81.5,14.0,2023,3,16,22,4.9,51.0
55.39999999999998,84,8,351.02,55.39999999999998,7.064,3,50.533603,-84.8167182,416,7.064,2023-03-16 22:10:08,0.0,,0.0,0.0,24.5,48.0,87.0,19.5,85.0,14.0,2023,3,16,22,4.9,51.0
55.39999999999998,94,8,357.55,55.39999999999998,6.764,3,50.5335354,-84.8166821,431,6.764,2023-03-16 22:10:09,0.0,,0.0,0.0,27.0,44.0,94.5,25.5,97.5,14.0,2023,3,16,22,4.9,51.0
55.60000000000002,97,9,364.17,55.60000000000002,6.617,3,50.5334729,-84.8166465,377,6.617,2023-03-16 22:10:10,0.0,,0.0,0.0,27.5,41.0,95.0,25.0,96.0,14.0,2023,3,16,22,4.9,51.0
55.60000000000002,94,9,372.29,55.60000000000002,7.828,3,50.533391,-84.8166009,305,7.828,2023-03-16 22:10:11,0.0,,0.0,0.0,24.0,37.0,92.0,26.5,95.5,14.0,2023,3,16,22,4.9,51.0
55.60000000000002,91,9,380.42,55.60000000000002,8.085,3,50.5333094,-84.8165556,291,8.085,2023-03-16 22:10:12,0.0,,0.0,0.0,27.5,51.0,93.5,26.5,88.0,14.0,2023,3,16,22,4.9,51.0
55.799999999999955,92,10,387.78,55.799999999999955,7.435,3,50.5332341,-84.8165179,310,7.435,2023-03-16 22:10:13,0.0,,0.0,0.0,34.0,60.0,97.0,26.0,83.0,14.0,2023,3,16,22,4.9,51.0
55.799999999999955,93,10,395.02,55.799999999999955,7.211,3,50.5331617,-84.8164817,315,7.211,2023-03-16 22:10:14,0.0,,0.0,0.0,30.5,59.0,95.0,28.0,96.0,14.0,2023,3,16,22,4.9,51.0
56.0,93,10,402.35,56.0,7.314,2,50.5330884,-84.8164451,285,7.314,2023-03-16 22:10:15,0.0,,0.0,0.0,31.5,55.0,94.5,24.5,87.0,14.0,2023,3,16,22,4.9,51.0
56.0,94,10,409.22,56.0,7.066,2,50.5330171,-84.8164184,267,7.066,2023-03-16 22:10:16,0.0,,0.0,0.0,30.5,55.0,93.0,24.5,86.0,14.0,2023,3,16,22,4.9,51.0
