altitude,enhanced_altitude,timestamp,ascent,battery_soc,cadence,calories,descent,distance,enhanced_speed,gps_accuracy,grade,left_right_balance,position_lat,position_long,power,speed,temperature,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,year,month,day,hour,wind_speed,wind_direction
44.200000000000045,44.200000000000045,2023-03-17 17:38:01,0.0,76.0,88.0,0.0,0.0,0.0,6.927,2.0,0.0,59.0,50.5359019,-84.8176378,195.0,6.927,,,,,,2023,3,17,17,7.39,30.0
44.200000000000045,44.200000000000045,2023-03-17 17:38:02,0.0,,87.0,0.0,0.0,8.19,6.726,2.0,0.0,62.0,50.5358182,-84.8175978,191.0,6.726,,,,,,2023,3,17,17,7.39,30.0
44.39999999999998,44.39999999999998,2023-03-17 17:38:03,0.0,,87.0,0.0,0.0,14.7,6.555,2.0,0.0,63.0,50.5357541,-84.8175612,205.0,6.555,,,,,,2023,3,17,17,7.39,30.0
44.39999999999998,44.39999999999998,2023-03-17 17:38:04,0.0,,87.0,0.0,0.0,21.15,6.584,2.0,0.0,60.0,50.5356906,-84.8175252,220.0,6.584,17.0,,,,,2023,3,17,17,7.39,30.0
44.39999999999998,44.39999999999998,2023-03-17 17:38:05,0.0,,87.0,0.0,0.0,28.09,6.835,2.0,0.0,57.0,50.5356218,-84.8174887,228.0,6.835,17.0,,,,,2023,3,17,17,7.39,30.0
44.39999999999998,44.39999999999998,2023-03-17 17:38:06,0.0,,87.0,0.0,0.0,34.93,6.97,2.0,0.0,56.0,50.5355493,-84.8174522,234.0,6.97,17.0,,,,,2023,3,17,17,7.39,30.0
44.39999999999998,44.39999999999998,2023-03-17 17:38:07,0.0,,88.0,1.0,0.0,41.7,6.955,2.0,0.0,57.0,50.535481,-84.8174169,237.0,6.955,17.0,30.0,90.0,24.0,86.5,2023,3,17,17,7.39,30.0
44.39999999999998,44.39999999999998,2023-03-17 17:38:08,0.0,,88.0,1.0,0.0,48.96,6.922,2.0,0.0,59.0,50.5354081,-84.8173885,219.0,6.922,17.0,29.5,91.0,22.5,83.0,2023,3,17,17,7.39,30.0
44.200000000000045,44.200000000000045,2023-03-17 17:38:09,0.0,,89.0,1.0,0.0,55.92,6.861,2.0,0.0,60.0,50.5353394,-84.817353,210.0,6.861,17.0,29.0,92.5,21.5,79.5,2023,3,17,17,7.39,30.0
43.799999999999955,43.799999999999955,2023-03-17 17:38:10,0.0,,88.0,1.0,0.0,62.72,6.629,2.0,0.0,61.0,50.535267,-84.8173256,197.0,6.629,16.0,26.5,86.5,21.0,79.0,2023,3,17,17,7.39,30.0
43.60000000000002,43.60000000000002,2023-03-17 17:38:11,0.0,,86.0,1.0,0.0,69.51,6.554,2.0,0.0,59.0,50.535199,-84.8172982,199.0,6.554,16.0,26.0,85.0,20.5,78.5,2023,3,17,17,7.39,30.0
43.799999999999955,43.799999999999955,2023-03-17 17:38:12,0.0,,83.0,2.0,0.0,75.9,6.17,2.0,0.0,59.0,50.5351354,-84.8172701,206.0,6.17,16.0,28.5,88.0,20.0,77.0,2023,3,17,17,7.39,30.0
44.0,44.0,2023-03-17 17:38:13,0.0,,87.0,2.0,0.0,82.0,5.984,2.0,0.0,58.0,50.5350719,-84.8172347,217.0,5.984,16.0,30.5,90.5,19.5,76.5,2023,3,17,17,7.39,30.0
44.0,44.0,2023-03-17 17:38:14,0.0,,91.0,2.0,0.0,88.36,6.178,2.0,0.0,54.0,50.5350077,-84.8172065,229.0,6.178,16.0,26.5,83.5,21.0,80.5,2023,3,17,17,7.39,30.0
