cadence,calories,timestamp,altitude,ascent,battery_soc,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,temperature,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,year,month,day,hour,wind_speed,wind_direction
83,0,2023-03-20 22:42:38,89.39999999999998,0.0,56.0,0.0,0.0,89.39999999999998,6.421,4.0,-8.66,50.5378224,-84.8207781,6.421,16.0,,,,,,,2023,3,20,22,2.75,327.0
83,0,2023-03-20 22:42:39,89.0,0.0,,1.0,8.19,89.0,6.339,4.0,-8.35,50.5377701,-84.8206871,6.339,16.0,24.5,54.0,83.0,214.0,19.5,66.5,2023,3,20,22,2.75,327.0
85,0,2023-03-20 22:42:40,88.60000000000002,0.0,,1.0,15.69,88.60000000000002,6.534,4.0,-7.83,50.53772,-84.8206038,6.534,16.0,25.5,57.0,85.0,194.0,21.0,74.0,2023,3,20,22,2.75,327.0
86,0,2023-03-20 22:42:41,88.39999999999998,0.0,,1.0,22.66,88.39999999999998,6.585,4.0,-7.21,50.5376731,-84.8205221,6.585,16.0,27.0,59.0,87.5,193.0,22.5,81.0,2023,3,20,22,2.75,327.0
87,0,2023-03-20 22:42:42,88.20000000000005,0.0,,2.0,29.73,88.20000000000005,6.614,4.0,-6.52,50.5376233,-84.8204438,6.614,16.0,25.0,59.0,79.5,192.0,20.5,79.0,2023,3,20,22,2.75,327.0
79,0,2023-03-20 22:42:43,88.0,0.0,,2.0,36.78,88.0,6.44,4.0,-5.72,50.5375747,-84.8203677,6.44,15.0,22.5,60.0,73.0,184.0,18.5,71.0,2023,3,20,22,2.75,327.0
57,0,2023-03-20 22:42:44,87.79999999999995,0.0,,2.0,43.52,87.79999999999995,6.341,4.0,-4.9,50.5375277,-84.820289,6.341,15.0,21.0,61.0,70.5,179.0,17.0,62.0,2023,3,20,22,2.75,327.0
35,0,2023-03-20 22:42:45,87.79999999999995,0.0,,2.0,50.06,87.79999999999995,6.038,4.0,-4.11,50.5374808,-84.8202194,6.038,15.0,22.0,62.0,72.5,174.0,15.0,55.5,2023,3,20,22,2.75,327.0
13,0,2023-03-20 22:42:46,87.79999999999995,0.0,,3.0,55.95,87.79999999999995,5.561,4.0,-3.36,50.5374402,-84.8201562,5.561,15.0,22.5,62.0,74.5,169.0,13.5,49.0,2023,3,20,22,2.75,327.0
0,0,2023-03-20 22:42:47,88.0,0.0,,3.0,61.08,88.0,4.639,4.0,-2.65,50.537402,-84.8200982,4.639,15.0,23.0,63.0,76.5,0.0,11.5,42.5,2023,3,20,22,2.75,327.0
0,0,2023-03-20 22:42:48,88.0,0.0,,3.0,65.14,88.0,3.606,4.0,-0.38,50.5373733,-84.8200558,3.606,15.0,23.5,63.0,78.0,0.0,10.0,36.0,2023,3,20,22,2.75,327.0
0,0,2023-03-20 22:42:49,88.0,0.0,,3.0,68.27,88.0,2.735,4.0,0.0,50.5373506,-84.8200226,2.735,15.0,24.0,64.0,80.0,0.0,8.0,29.5,2023,3,20,22,2.75,327.0
0,0,2023-03-20 22:42:50,88.0,0.0,,3.0,70.73,88.0,2.278,4.0,0.0,50.5373309,-84.8199984,2.278,15.0,24.5,64.0,82.0,0.0,6.5,23.5,2023,3,20,22,2.75,327.0
0,0,2023-03-20 22:42:51,88.0,0.0,,3.0,72.86,88.0,2.324,4.0,0.0,50.537316,-84.8199775,2.324,15.0,25.0,65.0,83.5,0.0,4.5,17.0,2023,3,20,22,2.75,327.0
15,0,2023-03-20 22:42:52,87.79999999999995,0.0,,3.0,75.52,87.79999999999995,2.884,4.0,0.0,50.5372984,-84.8199485,2.884,15.0,25.5,65.0,85.5,7.0,3.0,10.5,2023,3,20,22,2.75,327.0
41,1,2023-03-20 22:42:53,87.60000000000002,0.0,,3.0,79.05,87.60000000000002,3.602,4.0,0.0,50.5372778,-84.8199073,3.602,15.0,26.0,66.0,87.5,50.0,1.0,4.0,2023,3,20,22,2.75,327.0
