altitude,distance,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,ascent,battery_soc,descent,grade,cadence,calories,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,left_right_balance,year,month,day,hour,wind_speed,wind_direction
-71.0,0.0,-71.0,6.188,2,50.5337856,-84.8164727,6.188,2023-03-22 23:00:30,,,,,,,,,,,,,,2023,3,22,23,4.04,99.0
-71.0,3.8,-71.0,6.299,2,50.5337474,-84.8164564,6.299,2023-03-22 23:00:31,0.0,45.0,0.0,0.0,,,,,,,,,,2023,3,22,23,4.04,99.0
-70.80000000000001,8.53,-70.80000000000001,6.237,2,50.5336989,-84.8164363,6.237,2023-03-22 23:00:32,0.0,,0.0,0.0,21.0,0.0,9.0,93.0,86.0,18.5,70.0,13.0,,2023,3,22,23,4.04,99.0
-70.60000000000002,15.02,-70.60000000000002,5.927,2,50.5336305,-84.8164089,5.927,2023-03-22 23:00:33,0.0,,0.0,0.0,52.0,0.0,2.5,98.0,78.0,17.5,67.0,13.0,100.0,2023,3,22,23,4.04,99.0
-70.19999999999999,21.26,-70.19999999999999,5.911,2,50.5335659,-84.8163819,5.911,2023-03-22 23:00:34,0.0,,0.0,0.0,74.0,0.0,12.0,95.5,73.0,17.5,61.0,13.0,84.0,2023,3,22,23,4.04,99.0
-70.19999999999999,27.53,-70.19999999999999,6.117,2,50.5335037,-84.8163515,6.117,2023-03-22 23:00:35,0.0,,0.0,0.0,78.0,0.0,27.0,91.5,160.0,18.5,56.5,13.0,70.0,2023,3,22,23,4.04,99.0
-70.0,34.14,-70.0,6.301,2,50.5334368,-84.8163151,6.301,2023-03-22 23:00:36,0.0,,0.0,0.0,86.0,0.0,29.5,93.5,236.0,19.5,61.0,13.0,60.0,2023,3,22,23,4.04,99.0
-69.80000000000001,40.81,-69.80000000000001,6.398,2,50.5333719,-84.8162818,6.398,2023-03-22 23:00:37,0.0,,0.0,0.0,89.0,0.0,31.0,95.0,266.0,26.5,82.5,13.0,56.0,2023,3,22,23,4.04,99.0
-69.60000000000002,47.58,-69.60000000000002,6.517,2,50.5333026,-84.8162517,6.517,2023-03-22 23:00:38,0.0,,0.0,0.0,90.0,1.0,30.5,94.0,282.0,26.5,86.0,13.0,58.0,2023,3,22,23,4.04,99.0
-69.60000000000002,54.81,-69.60000000000002,6.73,2,50.5332291,-84.816215,6.73,2023-03-22 23:00:39,0.0,,0.0,0.0,87.0,1.0,31.0,95.5,289.0,25.5,86.5,13.0,59.0,2023,3,22,23,4.04,99.0
-69.39999999999998,62.37,-69.39999999999998,6.796,2,50.5331517,-84.8161815,6.796,2023-03-22 23:00:40,0.0,,0.0,0.0,85.0,1.0,33.0,100.0,287.0,25.5,86.5,13.0,61.0,2023,3,22,23,4.04,99.0
-69.19999999999999,70.62,-69.19999999999999,7.383,2,50.5330651,-84.8161512,7.383,2023-03-22 23:00:41,0.0,,0.0,0.0,87.0,1.0,32.5,100.0,287.0,25.0,86.0,13.0,62.0,2023,3,22,23,4.04,99.0
-69.19999999999999,78.87,-69.19999999999999,8.209,2,50.5329806,-84.816118,8.209,2023-03-22 23:00:42,0.0,,0.0,0.0,88.0,2.0,31.5,99.5,285.0,24.0,85.0,13.0,60.0,2023,3,22,23,4.04,99.0
-69.19999999999999,86.68,-69.19999999999999,7.908,2,50.532899,-84.8160878,7.908,2023-03-22 23:00:43,0.0,,0.0,1.04,89.0,2.0,31.0,96.5,280.0,23.5,85.0,12.0,59.0,2023,3,22,23,4.04,99.0
-69.0,94.71,-69.0,7.964,2,50.5328166,-84.8160542,7.964,2023-03-22 23:00:44,0.0,,0.0,1.54,89.0,2.0,30.0,93.5,273.0,23.0,84.5,12.0,59.0,2023,3,22,23,4.04,99.0
-69.0,102.46,-69.0,7.8,2,50.5327368,-84.8160242,7.8,2023-03-22 23:00:45,0.0,,0.0,1.4,89.0,3.0,29.5,94.0,267.0,22.5,82.5,12.0,58.0,2023,3,22,23,4.04,99.0
-69.0,110.27,-69.0,7.834,2,50.5326577,-84.8159935,7.834,2023-03-22 23:00:46,0.0,,0.0,1.28,89.0,3.0,29.5,94.5,232.0,22.0,81.0,12.0,60.0,2023,3,22,23,4.04,99.0
-68.80000000000001,117.93,-68.80000000000001,7.714,2,50.5325751,-84.8159752,7.714,2023-03-22 23:00:47,0.0,,0.0,1.21,89.0,3.0,28.0,90.5,215.0,20.5,77.5,12.0,61.0,2023,3,22,23,4.04,99.0
-68.60000000000002,125.37,-68.60000000000002,7.538,2,50.5324972,-84.8159543,7.538,2023-03-22 23:00:48,0.0,,0.0,1.15,89.0,3.0,26.0,85.5,199.0,19.0,74.0,12.0,60.0,2023,3,22,23,4.04,99.0
-68.60000000000002,132.55,-68.60000000000002,7.307,2,50.5324241,-84.8159274,7.307,2023-03-22 23:00:49,1.0,,0.0,1.1,88.0,3.0,25.0,82.0,187.0,17.5,70.5,12.0,62.0,2023,3,22,23,4.04,99.0
-68.60000000000002,140.06,-68.60000000000002,7.477,2,50.5323456,-84.8158997,7.477,2023-03-22 23:00:50,1.0,,0.0,1.07,88.0,3.0,25.5,82.5,176.0,16.5,67.5,12.0,64.0,2023,3,22,23,4.04,99.0
