altitude,ascent,battery_soc,descent,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,timestamp,distance,temperature,cadence,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,calories,left_right_balance,year,month,day,hour,wind_speed,wind_direction
-5.800000000000011,0,13.0,0,-5.800000000000011,6.768,2,6.67,50.5378907,-84.8204049,6.768,2023-03-23 23:12:56,,,,,,,,,,,2023,3,23,23,3.58,297.0
-5.399999999999977,0,,0,-5.399999999999977,6.678,2,6.72,50.5378679,-84.8203594,6.678,2023-03-23 23:12:57,0.0,19.0,,,,,,,,,2023,3,23,23,3.58,297.0
-5.0,0,,0,-5.0,6.54,2,6.75,50.5378224,-84.8202775,6.54,2023-03-23 23:12:58,7.45,19.0,0.0,21.5,75.5,0.0,21.5,69.0,,,2023,3,23,23,3.58,297.0
-4.800000000000011,0,,0,-4.800000000000011,6.065,2,6.7,50.5377951,-84.8202047,6.065,2023-03-23 23:12:59,13.3,19.0,0.0,23.0,79.5,0.0,23.0,71.0,0.0,,2023,3,23,23,3.58,297.0
-4.399999999999977,1,,0,-4.399999999999977,5.762,2,6.46,50.5377633,-84.8201318,5.762,2023-03-23 23:13:00,18.84,19.0,0.0,25.0,84.0,0.0,24.0,72.5,0.0,,2023,3,23,23,3.58,297.0
-4.399999999999977,1,,0,-4.399999999999977,5.872,2,6.05,50.537736,-84.820059,5.872,2023-03-23 23:13:01,24.73,19.0,8.0,26.5,88.0,1.0,25.5,74.5,0.0,,2023,3,23,23,3.58,297.0
-4.199999999999989,1,,0,-4.199999999999989,5.968,2,5.47,50.5377041,-84.8199862,5.968,2023-03-23 23:13:02,30.23,18.0,27.0,28.5,92.0,25.0,27.0,76.5,0.0,,2023,3,23,23,3.58,297.0
-4.199999999999989,1,,0,-4.199999999999989,6.528,2,4.73,50.5376631,-84.8199225,6.528,2023-03-23 23:13:03,36.23,18.0,52.0,30.0,96.5,79.0,28.5,78.0,0.0,,2023,3,23,23,3.58,297.0
-4.199999999999989,2,,0,-4.199999999999989,6.958,2,3.86,50.5376222,-84.8198406,6.958,2023-03-23 23:13:04,43.06,18.0,85.0,31.0,99.5,292.0,29.0,81.0,0.0,53.0,2023,3,23,23,3.58,297.0
-4.199999999999989,2,,0,-4.199999999999989,7.201,2,2.91,50.5375767,-84.8197586,7.201,2023-03-23 23:13:05,50.47,18.0,89.0,29.5,99.0,295.0,27.5,86.0,0.0,54.0,2023,3,23,23,3.58,297.0
-4.399999999999977,2,,0,-4.399999999999977,7.092,2,1.4,50.5375312,-84.8196676,7.092,2023-03-23 23:13:06,57.62,18.0,92.0,28.0,98.5,289.0,26.5,91.5,1.0,55.0,2023,3,23,23,3.58,297.0
-4.399999999999977,2,,0,-4.399999999999977,6.904,2,0.0,50.5374857,-84.8195948,6.904,2023-03-23 23:13:07,64.45,18.0,92.0,26.5,95.0,283.0,25.0,90.5,1.0,55.0,2023,3,23,23,3.58,297.0
-4.399999999999977,2,,0,-4.399999999999977,7.232,2,0.0,50.5374356,-84.8195129,7.232,2023-03-23 23:13:08,71.63,18.0,93.0,25.5,91.0,279.0,24.0,88.0,1.0,56.0,2023,3,23,23,3.58,297.0
-4.399999999999977,2,,0,-4.399999999999977,7.454,2,0.0,50.5373855,-84.819431,7.454,2023-03-23 23:13:09,79.05,18.0,93.0,24.0,87.0,254.0,22.5,85.5,1.0,55.0,2023,3,23,23,3.58,297.0
-4.399999999999977,2,,0,-4.399999999999977,7.457,2,0.0,50.5373355,-84.8193399,7.457,2023-03-23 23:13:10,86.68,18.0,94.0,23.0,82.5,239.0,21.5,83.0,2.0,54.0,2023,3,23,23,3.58,297.0
-4.199999999999989,2,,0,-4.199999999999989,7.425,2,0.0,50.5372763,-84.8192671,7.425,2023-03-23 23:13:11,94.3,18.0,93.0,21.5,78.5,227.0,20.0,80.5,2.0,56.0,2023,3,23,23,3.58,297.0
-4.399999999999977,2,,0,-4.399999999999977,7.335,2,0.0,50.5372262,-84.8191761,7.335,2023-03-23 23:13:12,101.79,18.0,90.0,22.5,82.5,205.0,19.5,76.0,2.0,58.0,2023,3,23,23,3.58,297.0
-4.399999999999977,2,,0,-4.399999999999977,7.688,2,0.0,50.5371716,-84.8190942,7.688,2023-03-23 23:13:13,109.45,18.0,91.0,24.5,90.0,235.0,20.0,75.0,2.0,56.0,2023,3,23,23,3.58,297.0
-4.399999999999977,2,,0,-4.399999999999977,7.86,2,0.0,50.5371125,-84.8190123,7.86,2023-03-23 23:13:14,117.59,18.0,92.0,24.5,86.0,242.0,23.5,87.5,3.0,52.0,2023,3,23,23,3.58,297.0
-4.600000000000023,2,,0,-4.600000000000023,7.962,2,0.0,50.5370578,-84.8189303,7.962,2023-03-23 23:13:15,125.4,18.0,93.0,25.5,87.5,253.0,23.5,87.5,3.0,53.0,2023,3,23,23,3.58,297.0
-4.600000000000023,2,,0,-4.600000000000023,7.974,2,0.0,50.5369941,-84.8188393,7.974,2023-03-23 23:13:16,134.01,18.0,93.0,25.0,87.0,264.0,23.5,86.5,3.0,54.0,2023,3,23,23,3.58,297.0
-4.600000000000023,2,,0,-4.600000000000023,8.077,2,0.0,50.536935,-84.8187483,8.077,2023-03-23 23:13:17,142.25,18.0,94.0,24.5,85.5,265.0,23.0,85.0,3.0,55.0,2023,3,23,23,3.58,297.0
-4.600000000000023,2,,0,-4.600000000000023,8.089,2,0.0,50.5368713,-84.8186664,8.089,2023-03-23 23:13:18,150.59,18.0,94.0,24.0,85.0,266.0,23.0,83.5,4.0,56.0,2023,3,23,23,3.58,297.0
-4.600000000000023,2,,0,-4.600000000000023,8.109,2,0.0,50.536803,-84.8185754,8.109,2023-03-23 23:13:19,159.13,18.0,95.0,24.0,86.0,257.0,22.5,81.5,4.0,56.0,2023,3,23,23,3.58,297.0
-4.600000000000023,2,,0,-4.600000000000023,8.061,2,0.0,50.5367393,-84.8184934,8.061,2023-03-23 23:13:20,167.45,18.0,95.0,23.5,83.5,247.0,22.0,82.5,4.0,54.0,2023,3,23,23,3.58,297.0
-4.800000000000011,2,,0,-4.800000000000011,7.951,2,0.0,50.536671,-84.8184206,7.951,2023-03-23 23:13:21,175.66,18.0,95.0,21.0,75.0,236.0,20.5,78.5,4.0,51.0,2023,3,23,23,3.58,297.0
-4.800000000000011,2,,0,-4.800000000000011,8.005,2,0.0,50.5366027,-84.8183478,8.005,2023-03-23 23:13:22,183.81,18.0,95.0,20.0,75.5,223.0,18.5,72.0,5.0,59.0,2023,3,23,23,3.58,297.0
