altitude,ascent,battery_soc,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,temperature,timestamp,cadence,calories,left_right_balance,power,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,year,month,day,hour,wind_speed,wind_direction
23.200000000000045,0,98.0,0,3.71,23.200000000000045,7.412,4,0.0,50.5106788,-84.8176935,7.412,23,2023-04-17 02:29:40,,,,,,,,,2023,4,17,2,5.28,19.0
23.0,0,,0,7.78,23.0,7.364,4,0.0,50.5106471,-84.817733,7.364,23,2023-04-17 02:29:41,37.0,0.0,45.0,105.0,,,,,2023,4,17,2,5.28,19.0
23.0,0,,0,16.86,23.0,7.526,4,0.0,50.5105642,-84.8177994,7.526,23,2023-04-17 02:29:42,54.0,0.0,35.0,106.0,24.5,88.5,21.5,77.0,2023,4,17,2,5.28,19.0
22.799999999999955,0,,0,24.31,22.799999999999955,6.966,4,0.0,50.5104898,-84.817843,6.966,23,2023-04-17 02:29:43,71.0,0.0,25.0,114.0,22.0,81.5,22.0,76.5,2023,4,17,2,5.28,19.0
22.600000000000023,0,,0,33.86,22.600000000000023,6.458,4,0.0,50.5103886,-84.8178535,6.458,23,2023-04-17 02:29:44,88.0,0.0,26.0,122.0,20.0,74.0,22.0,76.5,2023,4,17,2,5.28,19.0
22.600000000000023,0,,0,42.37,22.600000000000023,5.149,4,0.0,50.5102992,-84.8178526,5.149,23,2023-04-17 02:29:45,72.0,0.0,27.0,132.0,17.5,67.0,22.5,76.0,2023,4,17,2,5.28,19.0
22.799999999999955,0,,0,47.05,22.799999999999955,3.758,4,0.0,50.5102513,-84.8178736,3.758,23,2023-04-17 02:29:46,52.0,0.0,29.0,130.0,15.0,59.5,22.5,76.0,2023,4,17,2,5.28,19.0
22.799999999999955,0,,0,50.68,22.799999999999955,3.409,3,0.0,50.5102196,-84.8179035,3.409,23,2023-04-17 02:29:47,32.0,0.0,31.0,128.0,13.0,52.5,23.0,75.5,2023,4,17,2,5.28,19.0
23.0,0,,0,54.43,23.0,3.392,3,0.0,50.5101894,-84.8179421,3.392,23,2023-04-17 02:29:48,21.0,0.0,32.0,119.0,20.0,70.0,11.0,88.0,2023,4,17,2,5.28,19.0
23.0,0,,0,58.46,23.0,3.992,3,0.0,50.5101637,-84.8179895,3.992,23,2023-04-17 02:29:49,25.0,0.0,65.0,60.0,30.5,92.0,1.0,71.5,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,62.97,23.200000000000045,4.391,3,0.0,50.5101458,-84.8180475,4.391,23,2023-04-17 02:29:50,45.0,1.0,87.0,123.0,36.5,97.5,2.5,11.0,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,67.45,23.200000000000045,4.454,3,0.0,50.5101452,-84.8181089,4.454,23,2023-04-17 02:29:51,58.0,1.0,69.0,174.0,29.0,85.5,2.5,11.0,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,71.43,23.200000000000045,4.081,3,0.0,50.5101558,-84.8181666,4.081,23,2023-04-17 02:29:52,69.0,1.0,52.0,227.0,25.0,80.5,19.0,70.0,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,76.12,23.200000000000045,4.541,3,0.0,50.5101693,-84.8182354,4.541,23,2023-04-17 02:29:53,77.0,1.0,50.0,268.0,24.5,88.0,26.5,93.5,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,82.31,23.200000000000045,5.777,3,0.0,50.5101816,-84.818322,5.777,23,2023-04-17 02:29:54,81.0,2.0,49.0,290.0,27.0,97.0,25.5,92.5,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,89.49,23.200000000000045,6.835,3,0.0,50.5101961,-84.8184201,6.835,23,2023-04-17 02:29:55,86.0,2.0,49.0,313.0,31.0,97.0,22.0,89.5,2023,4,17,2,5.28,19.0
23.0,0,,0,96.19,23.0,6.744,3,0.0,50.5102261,-84.8185111,6.744,23,2023-04-17 02:29:56,86.0,2.0,48.0,352.0,26.5,89.5,27.5,98.5,2023,4,17,2,5.28,19.0
23.0,0,,0,103.2,23.0,6.922,3,0.0,50.5102614,-84.8186027,6.922,23,2023-04-17 02:29:57,90.0,3.0,47.0,321.0,24.0,84.5,30.0,99.0,2023,4,17,2,5.28,19.0
22.799999999999955,0,,0,110.53,22.799999999999955,7.256,3,0.0,50.5102943,-84.8186956,7.256,23,2023-04-17 02:29:58,91.0,3.0,48.0,277.0,23.0,78.5,27.5,96.5,2023,4,17,2,5.28,19.0
22.799999999999955,0,,0,118.08,22.799999999999955,7.533,3,0.0,50.5103302,-84.8187944,7.533,23,2023-04-17 02:29:59,90.0,3.0,55.0,200.0,22.5,74.0,22.0,86.5,2023,4,17,2,5.28,19.0
22.600000000000023,0,,0,125.66,22.600000000000023,7.661,3,0.0,50.5103647,-84.8188926,7.661,23,2023-04-17 02:30:00,89.0,3.0,59.0,201.0,22.5,74.0,16.5,68.5,2023,4,17,2,5.28,19.0
22.600000000000023,0,,0,133.44,22.600000000000023,7.878,3,0.0,50.5103983,-84.8189934,7.878,23,2023-04-17 02:30:01,91.0,4.0,55.0,222.0,25.5,83.5,14.5,63.5,2023,4,17,2,5.28,19.0
22.600000000000023,0,,0,141.73,22.600000000000023,8.006,3,0.0,50.5104405,-84.8191035,8.006,23,2023-04-17 02:30:02,93.0,4.0,52.0,241.0,25.5,83.5,18.0,74.0,2023,4,17,2,5.28,19.0
22.600000000000023,0,,0,150.01,22.600000000000023,8.156,3,0.0,50.5104818,-84.8192069,8.156,23,2023-04-17 02:30:03,90.0,4.0,51.0,253.0,25.0,82.5,21.5,85.5,2023,4,17,2,5.28,19.0
22.399999999999977,0,,0,158.2,22.399999999999977,8.099,3,0.0,50.5105216,-84.8193166,8.099,23,2023-04-17 02:30:04,63.0,4.0,52.0,181.0,25.0,82.0,23.5,92.5,2023,4,17,2,5.28,19.0
22.600000000000023,0,,0,166.2,22.600000000000023,7.971,3,0.0,50.5105584,-84.8194209,7.971,23,2023-04-17 02:30:05,36.0,4.0,53.0,109.0,25.0,83.0,24.0,92.5,2023,4,17,2,5.28,19.0
22.600000000000023,0,,0,174.1,22.600000000000023,7.644,3,0.0,50.5105976,-84.8195195,7.644,23,2023-04-17 02:30:06,9.0,4.0,54.0,37.0,25.5,83.5,24.5,93.0,2023,4,17,2,5.28,19.0
22.600000000000023,0,,0,181.59,22.600000000000023,6.938,3,0.0,50.5106345,-84.8196161,6.938,22,2023-04-17 02:30:07,0.0,4.0,55.0,0.0,25.5,84.0,25.0,93.0,2023,4,17,2,5.28,19.0
22.600000000000023,0,,0,188.15,22.600000000000023,5.984,3,0.0,50.5106685,-84.8196981,5.984,22,2023-04-17 02:30:08,0.0,4.0,56.0,0.0,25.5,84.5,25.5,93.0,2023,4,17,2,5.28,19.0
22.799999999999955,0,,0,193.75,22.799999999999955,4.96,3,0.0,50.5106948,-84.8197757,4.96,22,2023-04-17 02:30:09,0.0,4.0,57.0,0.0,25.5,85.0,26.0,93.5,2023,4,17,2,5.28,19.0
22.799999999999955,0,,0,198.25,22.799999999999955,4.061,3,0.0,50.5107163,-84.8198344,4.061,22,2023-04-17 02:30:10,0.0,4.0,57.0,0.0,25.5,85.5,26.5,93.5,2023,4,17,2,5.28,19.0
22.799999999999955,0,,0,201.79,22.799999999999955,3.328,3,0.0,50.5107334,-84.8198777,3.328,22,2023-04-17 02:30:11,0.0,4.0,58.0,0.0,26.0,86.5,27.0,93.5,2023,4,17,2,5.28,19.0
22.799999999999955,0,,0,204.51,22.799999999999955,2.275,3,0.0,50.5107445,-84.8199139,2.275,22,2023-04-17 02:30:12,0.0,4.0,59.0,0.0,26.0,87.0,27.5,94.0,2023,4,17,2,5.28,19.0
23.0,0,,0,206.62,23.0,1.587,3,0.0,50.5107491,-84.8199456,1.587,22,2023-04-17 02:30:13,0.0,4.0,60.0,0.0,26.0,87.5,28.0,94.0,2023,4,17,2,5.28,19.0
23.0,0,,0,208.16,23.0,1.399,3,0.0,50.5107549,-84.8199639,1.399,22,2023-04-17 02:30:14,0.0,4.0,61.0,0.0,26.0,88.0,28.5,94.0,2023,4,17,2,5.28,19.0
23.0,0,,0,209.49,23.0,1.298,3,0.0,50.5107628,-84.8199821,1.298,22,2023-04-17 02:30:15,0.0,4.0,62.0,0.0,26.0,88.5,29.0,94.5,2023,4,17,2,5.28,19.0
23.0,0,,0,210.73,23.0,1.158,3,0.0,50.5107673,-84.8200003,1.158,22,2023-04-17 02:30:16,0.0,4.0,63.0,0.0,26.5,89.0,29.5,94.5,2023,4,17,2,5.28,19.0
23.0,0,,0,212.08,23.0,1.107,3,0.0,50.5107706,-84.8200185,1.107,22,2023-04-17 02:30:17,0.0,4.0,64.0,0.0,26.5,90.0,30.0,94.5,2023,4,17,2,5.28,19.0
23.0,0,,0,213.59,23.0,1.47,3,0.0,50.5107718,-84.8200366,1.47,22,2023-04-17 02:30:18,0.0,4.0,65.0,0.0,26.5,90.5,30.5,95.0,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,215.45,23.200000000000045,1.841,3,0.0,50.5107788,-84.8200596,1.841,22,2023-04-17 02:30:19,0.0,4.0,66.0,0.0,26.5,91.0,31.0,95.0,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,218.32,23.200000000000045,3.008,3,0.0,50.5107947,-84.8200981,3.008,22,2023-04-17 02:30:20,0.0,4.0,67.0,0.0,26.5,91.5,31.5,95.0,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,221.97,23.200000000000045,3.503,3,0.0,50.5108179,-84.8201444,3.503,22,2023-04-17 02:30:21,32.0,4.0,66.0,28.0,27.0,92.0,32.0,95.5,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,225.9,23.200000000000045,3.724,3,0.0,50.5108425,-84.8201909,3.724,22,2023-04-17 02:30:22,46.0,4.0,56.0,58.0,27.0,92.5,32.5,95.5,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,230.01,23.200000000000045,4.045,3,0.0,50.5108682,-84.8202387,4.045,22,2023-04-17 02:30:23,64.0,5.0,51.0,189.0,25.5,87.0,30.5,92.0,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,234.45,23.200000000000045,4.359,3,0.0,50.5108922,-84.820293,4.359,21,2023-04-17 02:30:24,70.0,5.0,50.0,238.0,22.5,78.5,26.5,84.5,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,239.31,23.200000000000045,4.719,3,0.0,50.5109181,-84.82035,4.719,21,2023-04-17 02:30:25,81.0,5.0,50.0,306.0,23.0,93.0,25.5,81.5,2023,4,17,2,5.28,19.0
23.200000000000045,0,,0,244.4,23.200000000000045,5.042,3,0.0,50.510942,-84.8204184,5.042,21,2023-04-17 02:30:26,92.0,5.0,51.0,358.0,25.5,94.5,25.0,86.5,2023,4,17,2,5.28,19.0
23.0,0,,0,250.5,23.0,6.021,3,0.0,50.5109702,-84.8204994,6.021,21,2023-04-17 02:30:27,97.0,6.0,51.0,381.0,28.0,95.0,24.5,91.5,2023,4,17,2,5.28,19.0
23.0,0,,0,257.75,23.0,7.383,3,0.0,50.5110032,-84.8205885,7.383,21,2023-04-17 02:30:28,96.0,6.0,57.0,374.0,29.0,93.5,25.0,95.5,2023,4,17,2,5.28,19.0
22.799999999999955,0,,0,265.92,22.799999999999955,7.941,3,0.0,50.5110398,-84.8206982,7.941,21,2023-04-17 02:30:29,94.0,7.0,58.0,332.0,27.5,91.0,26.5,96.5,2023,4,17,2,5.28,19.0
