timestamp,altitude,ascent,battery_soc,cadence,calories,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,left_pedal_smoothness,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,left_right_balance,temperature,year,month,day,hour,wind_speed,wind_direction
2023-04-18 22:53:14,124.0,0.0,68.0,86.0,0.0,0.0,0.0,124.0,6.533,2.0,-1.51,21.0,75.0,50.5415452,-84.8266035,183.0,17.0,67.0,6.533,,,2023,4,18,22,5.94,315.0
2023-04-18 22:53:15,124.0,0.0,,87.0,0.0,0.0,5.22,124.0,6.761,2.0,-0.64,22.0,76.0,50.5415156,-84.8265369,151.0,19.0,67.0,6.761,44.0,,2023,4,18,22,5.94,315.0
2023-04-18 22:53:16,124.0,0.0,,88.0,0.0,0.0,11.51,124.0,7.382,3.0,0.0,23.0,77.5,50.5414843,-84.8264585,163.0,21.5,67.5,7.382,38.0,,2023,4,18,22,5.94,315.0
2023-04-18 22:53:17,124.0,0.0,,88.0,0.0,0.0,18.65,124.0,7.545,3.0,0.0,21.5,70.5,50.5414495,-84.826371,165.0,22.0,78.0,7.545,32.0,,2023,4,18,22,5.94,315.0
2023-04-18 22:53:18,124.0,0.0,,76.0,0.0,0.0,25.81,124.0,7.121,3.0,0.0,16.5,58.0,50.5414336,-84.8262725,152.0,21.0,74.0,7.121,25.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:19,124.20000000000005,0.0,,54.0,0.0,0.0,32.33,124.20000000000005,6.98,2.0,0.0,12.5,50.0,50.5414176,-84.8261794,128.0,20.5,66.0,6.98,19.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:20,124.39999999999998,0.0,,31.0,0.0,0.0,38.8,124.39999999999998,5.928,2.0,0.0,13.0,52.0,50.5414098,-84.8260881,105.0,19.5,67.0,5.928,13.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:21,124.39999999999998,0.0,,8.0,0.0,0.0,45.3,124.39999999999998,6.408,2.0,0.0,14.0,54.5,50.5414053,-84.8259911,82.0,19.0,67.5,6.408,7.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:22,124.39999999999998,0.0,,22.0,0.0,0.0,51.87,124.39999999999998,6.562,2.0,0.0,14.5,56.5,50.5413871,-84.8258981,2.0,18.5,68.0,6.562,1.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:23,124.20000000000005,0.0,,40.0,0.0,0.0,58.63,124.20000000000005,6.692,2.0,0.0,15.5,59.0,50.5413538,-84.8258133,26.0,18.0,68.5,6.692,72.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:24,124.20000000000005,0.0,,73.0,0.0,0.0,64.84,124.20000000000005,6.443,2.0,0.0,16.5,61.0,50.5413207,-84.825738,96.0,17.5,69.0,6.443,66.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:25,124.20000000000005,0.0,,65.0,0.0,0.0,70.33,124.20000000000005,5.709,2.0,0.0,17.0,63.5,50.5412927,-84.8256661,113.0,16.5,70.0,5.709,51.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:26,124.20000000000005,0.0,,67.0,0.0,0.0,75.57,124.20000000000005,5.334,2.0,0.0,18.0,66.0,50.5412652,-84.8255997,110.0,16.0,70.5,5.334,82.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:27,124.0,0.0,,71.0,1.0,0.0,80.94,124.0,5.613,2.0,0.0,27.5,90.5,50.5412344,-84.8255359,170.0,8.0,35.0,5.613,61.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:28,124.0,0.0,,77.0,1.0,0.0,86.37,124.0,5.936,2.0,0.0,31.0,98.5,50.5412025,-84.8254719,238.0,19.0,62.0,5.936,55.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:29,124.0,0.0,,79.0,1.0,0.0,92.14,124.0,6.172,2.0,0.0,30.5,96.0,50.5411602,-84.8254082,275.0,31.0,98.5,6.172,54.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:30,124.0,0.0,,81.0,1.0,0.0,98.19,124.0,6.448,2.0,0.0,28.5,92.5,50.5411111,-84.8253513,268.0,29.5,97.0,6.448,54.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:31,124.0,0.0,,83.0,2.0,0.0,104.35,124.0,6.744,2.0,0.0,26.5,89.0,50.5410578,-84.8252969,238.0,28.0,95.5,6.744,55.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:32,124.0,0.0,,86.0,2.0,0.0,111.14,124.0,6.982,2.0,0.0,25.0,85.5,50.541003,-84.8252282,226.0,27.0,94.0,6.982,55.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:33,124.0,0.0,,88.0,2.0,0.0,118.23,124.0,6.726,2.0,0.0,23.0,82.0,50.5409518,-84.8251553,214.0,25.5,92.5,6.726,56.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:34,124.0,0.0,,88.0,2.0,0.0,124.58,124.0,6.122,2.0,0.0,22.0,80.0,50.5409056,-84.82509,205.0,23.5,88.0,6.122,58.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:35,124.0,0.0,,88.0,3.0,0.0,130.85,124.0,6.306,2.0,0.0,21.5,79.0,50.5408635,-84.8250193,176.0,21.0,79.5,6.306,58.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:36,124.20000000000005,0.0,,90.0,3.0,0.0,137.1,124.20000000000005,6.137,2.0,0.0,21.0,78.5,50.5408257,-84.824946,168.0,18.0,71.0,6.137,61.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:37,124.20000000000005,0.0,,90.0,3.0,0.0,143.28,124.20000000000005,6.365,2.0,0.0,23.5,77.0,50.5407893,-84.8248732,166.0,20.0,72.5,6.365,70.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:38,124.20000000000005,0.0,,89.0,3.0,0.0,149.52,124.20000000000005,6.614,3.0,0.0,25.5,79.5,50.5407532,-84.824794,165.0,21.0,75.5,6.614,62.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:39,124.0,0.0,,88.0,3.0,0.0,156.6,124.0,6.764,3.0,0.0,26.5,84.5,50.5407132,-84.824705,165.0,21.0,79.0,6.764,56.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:40,124.0,0.0,,86.0,3.0,0.0,163.44,124.0,6.766,2.0,0.0,27.0,87.5,50.5406793,-84.8246144,164.0,21.5,81.5,6.766,54.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:41,124.20000000000005,0.0,,87.0,4.0,0.0,170.67,124.20000000000005,6.622,2.0,0.0,24.0,82.0,50.5406438,-84.824523,171.0,21.0,81.5,6.622,53.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:42,124.20000000000005,0.0,,87.0,4.0,0.0,177.21,124.20000000000005,6.481,2.0,0.0,23.0,76.5,50.5406076,-84.824446,160.0,19.0,76.5,6.481,56.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:43,124.20000000000005,0.0,,87.0,4.0,0.0,183.79,124.20000000000005,6.604,2.0,0.0,25.0,83.5,50.5405675,-84.8243658,150.0,18.5,71.0,6.604,60.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:44,124.20000000000005,0.0,,88.0,4.0,0.0,190.13,124.20000000000005,6.655,2.0,0.0,27.0,92.0,50.5405273,-84.8242922,155.0,19.5,72.0,6.655,57.0,14.0,2023,4,18,22,5.94,315.0
2023-04-18 22:53:45,124.20000000000005,0.0,,89.0,4.0,0.0,197.12,124.20000000000005,7.019,2.0,0.0,27.5,92.0,50.5404823,-84.8242115,196.0,21.0,80.5,7.019,55.0,14.0,2023,4,18,22,5.94,315.0
