ascent,descent,timestamp,battery_soc,cadence,left_right_balance,power,calories,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_torque_effectiveness,position_lat,position_long,right_pedal_smoothness,right_torque_effectiveness,speed,distance,temperature,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
0,0,2023-04-20 22:08:13,,77.0,52.0,162.0,0.0,7.162,2.0,25.5,85.5,50.5387054,-84.8215245,22.0,73.5,7.162,,,,,,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:14,,80.0,54.0,183.0,0.0,7.122,2.0,25.5,84.5,50.5386644,-84.821479,22.0,76.5,7.122,0.0,,,,,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:15,,82.0,53.0,238.0,0.0,7.04,2.0,25.5,83.5,50.5386234,-84.8214244,22.0,80.0,7.04,5.73,,,,,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:16,,83.0,53.0,247.0,0.0,7.085,2.0,25.0,82.0,50.5385688,-84.8213515,21.5,83.0,7.085,12.81,17.0,,,,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:17,,83.0,55.0,228.0,1.0,7.347,2.0,25.0,81.0,50.5385188,-84.8212696,21.5,86.5,7.347,20.21,17.0,,,,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:18,,84.0,55.0,222.0,1.0,7.364,2.0,24.5,81.0,50.5384687,-84.8211877,24.5,88.5,7.364,27.6,17.0,,,,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:19,,84.0,56.0,219.0,1.0,7.153,2.0,25.0,82.5,50.5384186,-84.8211058,25.0,88.5,7.153,34.65,17.0,,,,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:20,,85.0,57.0,214.0,1.0,7.135,2.0,26.0,85.0,50.5383686,-84.821033,24.5,87.5,7.135,41.74,17.0,30.799999999999955,30.799999999999955,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:21,,86.0,56.0,215.0,1.0,7.334,2.0,27.0,87.0,50.5383231,-84.8209419,23.5,86.5,7.334,49.21,17.0,30.799999999999955,30.799999999999955,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:22,,87.0,53.0,234.0,2.0,7.575,2.0,27.5,89.5,50.538273,-84.82086,23.0,86.0,7.575,56.86,17.0,30.799999999999955,30.799999999999955,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:23,,88.0,54.0,237.0,2.0,7.437,2.0,28.5,91.5,50.5382229,-84.820769,22.5,85.0,7.437,64.27,17.0,30.799999999999955,30.799999999999955,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:24,,89.0,56.0,236.0,2.0,7.277,2.0,26.5,88.0,50.5381774,-84.8206871,22.5,82.5,7.277,71.5,17.0,30.799999999999955,30.799999999999955,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:25,,89.0,57.0,231.0,2.0,7.247,2.0,21.5,78.0,50.5381319,-84.8206052,23.0,78.0,7.247,78.72,17.0,30.799999999999955,30.799999999999955,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:26,,89.0,58.0,194.0,3.0,7.052,2.0,20.5,75.0,50.5380864,-84.8205232,22.0,73.5,7.052,85.68,17.0,30.799999999999955,30.799999999999955,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:27,,90.0,59.0,185.0,3.0,6.727,2.0,21.5,77.0,50.5380454,-84.8204413,22.0,73.5,6.727,92.3,17.0,30.799999999999955,30.799999999999955,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:28,,90.0,56.0,206.0,3.0,6.77,2.0,22.5,79.5,50.538009,-84.8203685,22.5,77.5,6.77,98.55,16.0,31.0,31.0,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:29,,91.0,55.0,252.0,3.0,7.201,3.0,24.0,83.0,50.5379726,-84.8203048,23.5,83.0,7.201,104.23,16.0,31.0,31.0,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:30,,92.0,55.0,266.0,3.0,7.281,3.0,25.0,86.0,50.5379317,-84.8202411,24.0,87.5,7.281,109.86,16.0,30.600000000000023,30.600000000000023,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:31,,90.0,55.0,265.0,4.0,7.283,3.0,25.5,89.5,50.5378953,-84.8201682,24.0,86.5,7.283,116.15,16.0,30.600000000000023,30.600000000000023,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:32,,83.0,55.0,265.0,4.0,7.254,3.0,26.5,93.0,50.5378497,-84.8200954,23.5,86.0,7.254,122.81,16.0,30.600000000000023,30.600000000000023,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:33,,79.0,56.0,268.0,4.0,7.223,3.0,27.0,95.0,50.5378088,-84.8200135,25.0,87.0,7.223,129.72,16.0,30.600000000000023,30.600000000000023,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:34,,79.0,57.0,269.0,5.0,7.321,3.0,28.0,97.0,50.5377633,-84.8199316,27.0,90.0,7.321,136.58,16.0,30.799999999999955,30.799999999999955,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:35,,81.0,57.0,271.0,5.0,7.532,2.0,29.5,98.5,50.5377178,-84.8198406,29.0,92.0,7.532,144.0,16.0,30.799999999999955,30.799999999999955,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:36,,82.0,54.0,315.0,5.0,7.622,2.0,31.5,99.0,50.5376631,-84.8197586,29.0,92.0,7.622,151.74,16.0,31.0,31.0,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:37,,85.0,56.0,337.0,6.0,7.721,2.0,30.0,99.5,50.5376131,-84.8196676,29.5,96.5,7.721,159.53,16.0,31.0,31.0,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:38,,86.0,55.0,352.0,6.0,7.895,2.0,30.5,99.0,50.5375585,-84.8195766,27.5,97.5,7.895,167.4,16.0,31.200000000000045,31.200000000000045,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:39,,88.0,54.0,346.0,6.0,7.981,2.0,29.5,96.5,50.5375039,-84.8194856,26.0,97.0,7.981,175.36,16.0,31.200000000000045,31.200000000000045,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:40,,89.0,52.0,317.0,7.0,8.049,2.0,27.0,90.5,50.5374492,-84.8193946,26.0,96.5,8.049,183.44,16.0,31.399999999999977,31.399999999999977,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:41,,90.0,49.0,299.0,7.0,8.097,2.0,24.0,83.0,50.5373946,-84.8193126,25.0,94.5,8.097,191.46,16.0,31.399999999999977,31.399999999999977,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:42,,90.0,50.0,276.0,7.0,8.167,2.0,21.0,77.0,50.5373355,-84.8192216,24.5,94.0,8.167,199.66,16.0,31.399999999999977,31.399999999999977,0.0,2023,4,20,22,2.77,49.0
0,0,2023-04-20 22:08:43,,90.0,51.0,247.0,7.0,8.156,2.0,20.5,76.0,50.5372763,-84.8191397,23.0,89.0,8.156,207.78,16.0,31.399999999999977,31.399999999999977,0.0,2023,4,20,22,2.77,49.0
