cadence,calories,power,timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
54,0,149,2023-04-22 02:29:53,78.0,0.0,0.0,4.0,20.5,52.0,74.0,50.5122634,-84.8160631,22.0,85.0,0.0,,,,,,,2023,4,22,2,2.89,14.0
56,0,144,2023-04-22 02:29:54,,5.62,4.845,4.0,19.5,48.0,70.5,50.5123127,-84.8160183,21.5,82.5,4.845,,,,,,,2023,4,22,2,2.89,14.0
58,0,135,2023-04-22 02:29:55,,12.53,5.176,4.0,18.5,45.0,67.5,50.5123724,-84.8159541,21.0,80.0,5.176,,,,,,,2023,4,22,2,2.89,14.0
60,0,141,2023-04-22 02:29:56,,19.23,5.031,4.0,22.5,49.0,75.0,50.5124181,-84.8158811,21.5,79.0,5.031,21.0,,,,,,2023,4,22,2,2.89,14.0
62,0,145,2023-04-22 02:29:57,,28.04,5.731,4.0,25.0,55.0,82.5,50.5125078,-84.8158273,21.0,78.5,5.731,21.0,,,,,,2023,4,22,2,2.89,14.0
63,0,158,2023-04-22 02:29:58,,32.61,5.388,4.0,25.5,60.0,85.0,50.5125453,-84.8157903,20.5,77.0,5.388,21.0,,,,,,2023,4,22,2,2.89,14.0
65,0,159,2023-04-22 02:29:59,,38.38,6.11,4.0,24.5,59.0,82.0,50.5126036,-84.8157544,20.5,76.0,6.11,21.0,,,,,,2023,4,22,2,2.89,14.0
59,1,149,2023-04-22 02:30:00,,49.19,5.299,4.0,22.5,50.0,72.0,50.5124875,-84.8157356,23.0,83.5,5.299,21.0,,,,,,2023,4,22,2,2.89,14.0
43,1,132,2023-04-22 02:30:01,,56.32,4.209,4.0,23.0,53.0,73.0,50.5125632,-84.8157535,21.5,77.5,4.209,21.0,,,,,,2023,4,22,2,2.89,14.0
26,1,115,2023-04-22 02:30:02,,62.55,4.214,4.0,23.0,55.0,75.0,50.5126308,-84.8157537,19.5,70.0,4.214,21.0,,,,,,2023,4,22,2,2.89,14.0
10,1,98,2023-04-22 02:30:03,,69.29,3.239,4.0,23.5,58.0,77.5,50.5127043,-84.8157446,17.5,63.0,3.239,21.0,,,,,,2023,4,22,2,2.89,14.0
0,1,0,2023-04-22 02:30:04,,75.52,2.598,4.0,24.0,60.0,79.5,50.5127673,-84.8157535,15.5,55.5,2.598,21.0,,,,,,2023,4,22,2,2.89,14.0
0,1,0,2023-04-22 02:30:05,,83.42,2.431,4.0,24.5,63.0,81.5,50.5128544,-84.8157627,13.5,48.0,2.431,21.0,,,,,,2023,4,22,2,2.89,14.0
0,1,0,2023-04-22 02:30:06,,89.92,3.295,3.0,25.0,65.0,84.0,50.5129228,-84.8157718,11.5,41.0,3.295,21.0,,,,,,2023,4,22,2,2.89,14.0
0,1,0,2023-04-22 02:30:07,,92.9,2.925,3.0,25.0,68.0,86.0,50.5129547,-84.8157719,9.5,33.5,2.925,21.0,,,,,,2023,4,22,2,2.89,14.0
0,1,0,2023-04-22 02:30:08,,96.92,3.841,3.0,25.5,71.0,88.0,50.5129996,-84.8157719,7.5,26.0,3.841,21.0,,,,,,2023,4,22,2,2.89,14.0
0,1,0,2023-04-22 02:30:09,,99.6,3.659,3.0,26.0,73.0,90.5,50.5130273,-84.815763,5.5,19.0,3.659,21.0,,,,,,2023,4,22,2,2.89,14.0
6,1,7,2023-04-22 02:30:10,,102.38,3.777,3.0,26.5,76.0,92.5,50.5130503,-84.815736,3.0,11.5,3.777,21.0,,,,,,2023,4,22,2,2.89,14.0
41,1,31,2023-04-22 02:30:11,,105.6,4.036,3.0,27.0,78.0,94.5,50.5130733,-84.8157084,1.0,4.5,4.036,21.0,,,,,,2023,4,22,2,2.89,14.0
55,1,120,2023-04-22 02:30:12,,109.57,4.171,3.0,27.0,68.0,96.0,50.5131044,-84.8156696,4.0,16.0,4.171,21.0,,,,,,2023,4,22,2,2.89,14.0
61,1,211,2023-04-22 02:30:13,,114.52,4.332,3.0,27.0,55.0,95.5,50.5131457,-84.8156178,14.0,54.0,4.332,21.0,,,,,,2023,4,22,2,2.89,14.0
65,1,264,2023-04-22 02:30:14,,118.11,3.755,3.0,27.0,52.0,95.5,50.5131373,-84.815572,24.0,92.5,3.755,21.0,,,,,,2023,4,22,2,2.89,14.0
69,2,260,2023-04-22 02:30:15,,122.41,4.156,3.0,28.0,53.0,95.0,50.5131552,-84.8155177,25.5,96.0,4.156,21.0,,,,,,2023,4,22,2,2.89,14.0
74,2,251,2023-04-22 02:30:16,,127.23,4.661,3.0,24.5,46.0,87.0,50.5131509,-84.8154448,25.0,94.0,4.661,21.0,,,,,,2023,4,22,2,2.89,14.0
76,2,242,2023-04-22 02:30:17,,132.35,5.007,3.0,21.0,42.0,79.0,50.5131599,-84.8153722,24.5,92.5,5.007,21.0,,,,,,2023,4,22,2,2.89,14.0
79,2,217,2023-04-22 02:30:18,,139.36,6.502,3.0,21.5,44.0,78.0,50.5131103,-84.8152991,24.5,92.5,6.502,21.0,,,,,,2023,4,22,2,2.89,14.0
80,2,193,2023-04-22 02:30:19,,145.03,5.922,3.0,25.5,51.0,81.5,50.5130832,-84.8152184,25.5,92.5,5.922,21.0,,,,,,2023,4,22,2,2.89,14.0
79,3,184,2023-04-22 02:30:20,,150.78,5.766,3.0,21.5,52.0,78.5,50.5130736,-84.8151355,22.5,86.5,5.766,21.0,,,,,,2023,4,22,2,2.89,14.0
77,3,183,2023-04-22 02:30:21,,157.16,6.299,3.0,21.0,51.0,77.5,50.5130911,-84.8150465,19.5,78.5,6.299,21.0,,,,,,2023,4,22,2,2.89,14.0
78,3,185,2023-04-22 02:30:22,,165.26,7.574,3.0,23.0,51.0,78.0,50.5131278,-84.8149445,16.5,71.5,7.574,21.0,,,,,,2023,4,22,2,2.89,14.0
