altitude,cadence,calories,enhanced_altitude,timestamp,ascent,battery_soc,descent,distance,enhanced_speed,gps_accuracy,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,year,month,day,hour,wind_speed,wind_direction
10.0,87,0,10.0,2023-04-25 14:04:56,0.0,45.0,0.0,0.0,6.825,2.0,-4.9,24.5,55.0,86.0,50.5171649,-84.8079804,211.0,27.0,87.0,6.825,20.0,2023,4,25,14,3.44,8.0
9.800000000000011,88,0,9.800000000000011,2023-04-25 14:04:57,0.0,,0.0,8.25,6.864,2.0,-4.32,23.5,51.0,83.5,50.5172306,-84.808068,178.0,26.0,87.0,6.864,20.0,2023,4,25,14,3.44,8.0
9.800000000000011,89,0,9.800000000000011,2023-04-25 14:04:58,0.0,,1.0,15.38,7.08,2.0,-3.81,23.0,47.0,80.5,50.5172849,-84.8081404,191.0,24.5,87.0,7.08,20.0,2023,4,25,14,3.44,8.0
9.800000000000011,90,0,9.800000000000011,2023-04-25 14:04:59,0.0,,1.0,22.7,7.294,2.0,-3.34,22.0,44.0,78.0,50.5173394,-84.8082129,193.0,23.5,87.0,7.294,20.0,2023,4,25,14,3.44,8.0
9.600000000000023,91,0,9.600000000000023,2023-04-25 14:05:00,0.0,,1.0,29.99,7.287,2.0,-2.9,21.5,50.0,75.5,50.5173939,-84.8082857,186.0,22.5,87.0,7.287,20.0,2023,4,25,14,3.44,8.0
9.600000000000023,91,0,9.600000000000023,2023-04-25 14:05:01,0.0,,1.0,37.26,7.239,2.0,-2.42,21.0,50.0,71.0,50.5174484,-84.8083601,177.0,22.0,84.5,7.239,20.0,2023,4,25,14,3.44,8.0
9.399999999999977,91,1,9.399999999999977,2023-04-25 14:05:02,0.0,,1.0,44.44,6.975,2.0,-1.86,19.0,49.0,64.0,50.517503,-84.8084403,173.0,22.0,80.0,6.975,20.0,2023,4,25,14,3.44,8.0
9.199999999999989,91,1,9.199999999999989,2023-04-25 14:05:03,0.0,,1.0,51.93,6.986,2.0,-1.5,15.0,50.0,58.0,50.5175593,-84.808513,159.0,21.0,75.0,6.986,20.0,2023,4,25,14,3.44,8.0
9.199999999999989,90,1,9.199999999999989,2023-04-25 14:05:04,0.0,,1.0,59.5,6.972,2.0,-1.34,20.0,51.0,73.5,50.5176234,-84.8085845,170.0,20.0,73.5,6.972,20.0,2023,4,25,14,3.44,8.0
9.0,91,1,9.0,2023-04-25 14:05:05,0.0,,1.0,66.6,6.845,2.0,-1.31,23.5,52.0,83.0,50.517686,-84.8086438,183.0,19.5,72.5,6.845,20.0,2023,4,25,14,3.44,8.0
9.0,91,1,9.0,2023-04-25 14:05:06,0.0,,1.0,73.69,6.865,2.0,-1.36,23.5,51.0,81.5,50.5177523,-84.80869,223.0,23.0,78.0,6.865,20.0,2023,4,25,14,3.44,8.0
9.0,91,2,9.0,2023-04-25 14:05:07,0.0,,2.0,80.9,6.941,2.0,-1.39,22.0,51.0,77.0,50.517825,-84.8087337,219.0,25.5,83.0,6.941,20.0,2023,4,25,14,3.44,8.0
9.0,90,2,9.0,2023-04-25 14:05:08,0.0,,2.0,88.19,6.935,2.0,-1.34,23.0,51.0,79.5,50.5178978,-84.80877,203.0,22.5,79.5,6.935,20.0,2023,4,25,14,3.44,8.0
9.0,90,2,9.0,2023-04-25 14:05:09,0.0,,2.0,95.48,7.049,2.0,-0.18,19.0,48.0,77.5,50.5179703,-84.8088063,202.0,22.5,78.0,7.049,20.0,2023,4,25,14,3.44,8.0
9.199999999999989,90,2,9.199999999999989,2023-04-25 14:05:10,0.0,,2.0,102.8,7.121,2.0,0.0,20.0,46.0,78.5,50.5180435,-84.8088429,204.0,23.0,77.0,7.121,20.0,2023,4,25,14,3.44,8.0
9.199999999999989,90,2,9.199999999999989,2023-04-25 14:05:11,0.0,,2.0,109.97,7.021,2.0,0.0,22.0,48.0,80.0,50.5181149,-84.808879,206.0,24.0,76.0,7.021,20.0,2023,4,25,14,3.44,8.0
9.199999999999989,91,3,9.199999999999989,2023-04-25 14:05:12,0.0,,2.0,116.97,6.653,2.0,0.0,23.5,49.0,80.5,50.5181838,-84.8089158,189.0,24.0,77.5,6.653,20.0,2023,4,25,14,3.44,8.0
9.199999999999989,91,3,9.199999999999989,2023-04-25 14:05:13,0.0,,2.0,123.68,6.96,2.0,0.0,23.0,50.0,79.5,50.5182521,-84.8089539,183.0,23.0,82.5,6.96,20.0,2023,4,25,14,3.44,8.0
9.199999999999989,91,3,9.199999999999989,2023-04-25 14:05:14,0.0,,2.0,130.53,6.713,2.0,0.0,22.5,50.0,80.5,50.5183204,-84.8089977,180.0,23.0,84.5,6.713,20.0,2023,4,25,14,3.44,8.0
9.199999999999989,91,3,9.199999999999989,2023-04-25 14:05:15,0.0,,2.0,137.5,6.58,2.0,0.0,22.0,49.0,81.0,50.5183888,-84.8090342,188.0,22.5,86.5,6.58,20.0,2023,4,25,14,3.44,8.0
9.199999999999989,91,3,9.199999999999989,2023-04-25 14:05:16,0.0,,2.0,144.64,7.136,2.0,0.0,22.5,47.0,81.5,50.5184579,-84.8090706,191.0,22.5,87.0,7.136,20.0,2023,4,25,14,3.44,8.0
9.199999999999989,91,4,9.199999999999989,2023-04-25 14:05:17,0.0,,2.0,151.91,7.098,2.0,0.0,22.0,45.0,78.0,50.5185316,-84.809107,196.0,23.5,86.5,7.098,20.0,2023,4,25,14,3.44,8.0
9.199999999999989,90,4,9.199999999999989,2023-04-25 14:05:18,0.0,,2.0,159.13,6.984,2.0,0.0,19.5,44.0,70.5,50.518607,-84.8091416,186.0,25.5,85.0,6.984,20.0,2023,4,25,14,3.44,8.0
9.199999999999989,90,4,9.199999999999989,2023-04-25 14:05:19,0.0,,2.0,166.14,7.103,2.0,0.0,20.5,46.0,73.5,50.5186765,-84.8091704,181.0,24.0,82.5,7.103,19.0,2023,4,25,14,3.44,8.0
9.199999999999989,90,4,9.199999999999989,2023-04-25 14:05:20,0.0,,2.0,173.4,7.115,2.0,0.0,21.0,50.0,76.5,50.5187528,-84.8092089,185.0,22.5,80.5,7.115,19.0,2023,4,25,14,3.44,8.0
9.199999999999989,91,4,9.199999999999989,2023-04-25 14:05:21,0.0,,2.0,180.45,7.081,2.0,0.0,21.5,50.0,77.0,50.5188211,-84.8092526,191.0,22.5,83.5,7.081,19.0,2023,4,25,14,3.44,8.0
9.199999999999989,91,5,9.199999999999989,2023-04-25 14:05:22,0.0,,2.0,187.57,7.079,2.0,0.0,22.0,47.0,74.0,50.5188894,-84.8092908,200.0,23.0,84.0,7.079,19.0,2023,4,25,14,3.44,8.0
9.199999999999989,91,5,9.199999999999989,2023-04-25 14:05:23,0.0,,2.0,194.8,7.114,2.0,0.0,20.5,45.0,69.5,50.5189586,-84.8093364,194.0,21.0,75.5,7.114,19.0,2023,4,25,14,3.44,8.0
9.199999999999989,92,5,9.199999999999989,2023-04-25 14:05:24,0.0,,2.0,202.05,7.164,2.0,0.0,18.5,43.0,66.0,50.5190311,-84.8093799,192.0,22.5,81.0,7.164,19.0,2023,4,25,14,3.44,8.0
9.199999999999989,92,5,9.199999999999989,2023-04-25 14:05:25,0.0,,2.0,209.32,7.24,2.0,0.0,20.5,42.0,72.5,50.5191031,-84.8094159,203.0,22.5,81.0,7.24,19.0,2023,4,25,14,3.44,8.0
9.0,93,5,9.0,2023-04-25 14:05:26,0.0,,2.0,216.42,7.214,2.0,0.0,21.5,45.0,75.5,50.5191749,-84.8094533,199.0,22.5,81.0,7.214,19.0,2023,4,25,14,3.44,8.0
9.0,93,6,9.0,2023-04-25 14:05:27,0.0,,2.0,223.84,7.189,2.0,0.0,21.0,48.0,76.0,50.5192496,-84.8095,195.0,22.0,82.0,7.189,19.0,2023,4,25,14,3.44,8.0
9.0,93,6,9.0,2023-04-25 14:05:28,0.0,,2.0,231.26,7.366,2.0,0.0,21.0,52.0,76.0,50.5193229,-84.809544,186.0,21.5,82.0,7.366,19.0,2023,4,25,14,3.44,8.0
9.0,93,6,9.0,2023-04-25 14:05:29,0.0,,2.0,238.85,7.299,2.0,0.0,22.0,55.0,73.5,50.519397,-84.8095802,181.0,19.5,76.5,7.299,19.0,2023,4,25,14,3.44,8.0
9.0,93,6,9.0,2023-04-25 14:05:30,0.0,,2.0,246.5,7.345,2.0,0.0,22.0,54.0,74.0,50.5194766,-84.8096163,175.0,19.0,75.0,7.345,19.0,2023,4,25,14,3.44,8.0
9.0,93,6,9.0,2023-04-25 14:05:31,0.0,,2.0,253.87,7.24,2.0,0.0,21.5,54.0,75.5,50.5195482,-84.8096542,158.0,18.5,74.0,7.24,19.0,2023,4,25,14,3.44,8.0
9.0,94,6,9.0,2023-04-25 14:05:32,0.0,,2.0,261.21,7.146,2.0,0.0,21.5,57.0,77.0,50.5196192,-84.8096986,163.0,18.5,73.0,7.146,19.0,2023,4,25,14,3.44,8.0
9.0,94,7,9.0,2023-04-25 14:05:33,0.0,,2.0,268.62,7.093,2.0,0.0,21.0,58.0,78.5,50.5196959,-84.8097369,170.0,18.0,72.0,7.093,19.0,2023,4,25,14,3.44,8.0
9.199999999999989,93,7,9.199999999999989,2023-04-25 14:05:34,0.0,,2.0,276.24,7.268,2.0,0.0,20.5,55.0,74.0,50.5197689,-84.8097807,165.0,18.0,71.0,7.268,19.0,2023,4,25,14,3.44,8.0
9.199999999999989,93,7,9.199999999999989,2023-04-25 14:05:35,0.0,,2.0,283.63,7.27,2.0,0.0,21.0,53.0,74.0,50.5198425,-84.8098171,161.0,18.0,69.0,7.27,19.0,2023,4,25,14,3.44,8.0
9.199999999999989,93,7,9.199999999999989,2023-04-25 14:05:36,0.0,,2.0,291.04,7.265,2.0,0.0,24.0,52.0,85.0,50.5199188,-84.8098534,165.0,17.5,68.0,7.265,19.0,2023,4,25,14,3.44,8.0
9.199999999999989,92,7,9.199999999999989,2023-04-25 14:05:37,0.0,,2.0,298.33,7.168,2.0,0.0,21.0,51.0,76.5,50.5199915,-84.8098897,167.0,18.5,72.5,7.168,19.0,2023,4,25,14,3.44,8.0
9.399999999999977,84,7,9.399999999999977,2023-04-25 14:05:38,0.0,,2.0,305.45,6.833,2.0,0.0,19.0,53.0,70.5,50.5200634,-84.8099296,164.0,14.0,70.0,6.833,19.0,2023,4,25,14,3.44,8.0
9.199999999999989,61,7,9.199999999999989,2023-04-25 14:05:39,0.0,,2.0,312.45,6.665,2.0,0.0,17.5,68.0,65.0,50.5201318,-84.809979,156.0,9.0,66.5,6.665,19.0,2023,4,25,14,3.44,8.0
9.199999999999989,39,7,9.199999999999989,2023-04-25 14:05:40,0.0,,2.0,319.21,6.53,3.0,0.0,16.5,88.0,59.5,50.5201997,-84.8100079,149.0,4.5,63.0,6.53,19.0,2023,4,25,14,3.44,8.0
9.399999999999977,79,8,9.399999999999977,2023-04-25 14:05:41,0.0,,2.0,326.0,6.684,3.0,0.0,15.5,84.0,56.0,50.5202671,-84.8100438,88.0,1.5,60.0,6.684,19.0,2023,4,25,14,3.44,8.0
9.399999999999977,86,8,9.399999999999977,2023-04-25 14:05:42,0.0,,2.0,333.04,6.545,3.0,0.0,18.0,44.0,68.0,50.5203374,-84.8100809,130.0,13.0,56.5,6.545,19.0,2023,4,25,14,3.44,8.0
9.399999999999977,86,8,9.399999999999977,2023-04-25 14:05:43,0.0,,2.0,340.05,6.763,3.0,0.0,21.0,48.0,77.5,50.5204092,-84.8101155,166.0,20.0,71.0,6.763,19.0,2023,4,25,14,3.44,8.0
9.399999999999977,86,8,9.399999999999977,2023-04-25 14:05:44,0.0,,2.0,346.94,6.67,3.0,0.0,24.5,46.0,86.0,50.5204785,-84.8101446,211.0,22.5,81.0,6.67,19.0,2023,4,25,14,3.44,8.0
9.399999999999977,87,8,9.399999999999977,2023-04-25 14:05:45,0.0,,2.0,353.79,6.68,3.0,0.0,25.0,43.0,88.5,50.5205506,-84.8101793,250.0,23.5,87.5,6.68,19.0,2023,4,25,14,3.44,8.0
9.600000000000023,87,9,9.600000000000023,2023-04-25 14:05:46,0.0,,2.0,360.67,6.713,3.0,0.0,20.5,41.0,82.0,50.5206186,-84.8102083,245.0,26.5,96.0,6.713,19.0,2023,4,25,14,3.44,8.0
9.600000000000023,88,9,9.600000000000023,2023-04-25 14:05:47,0.0,,2.0,367.6,6.511,3.0,0.0,18.5,41.0,78.0,50.52069,-84.8102426,224.0,26.5,96.0,6.511,19.0,2023,4,25,14,3.44,8.0
9.600000000000023,88,9,9.600000000000023,2023-04-25 14:05:48,0.0,,2.0,376.8,7.425,2.0,0.0,21.0,48.0,80.5,50.5207834,-84.8102722,216.0,25.0,89.0,7.425,19.0,2023,4,25,14,3.44,8.0
9.600000000000023,88,9,9.600000000000023,2023-04-25 14:05:49,0.0,,2.0,387.89,10.351,2.0,0.0,22.5,46.0,82.0,50.5208989,-84.810314,216.0,24.5,88.5,10.351,19.0,2023,4,25,14,3.44,8.0
9.600000000000023,88,10,9.600000000000023,2023-04-25 14:05:50,0.0,,2.0,395.41,8.256,2.0,0.0,23.0,45.0,83.0,50.5209801,-84.8103321,220.0,25.0,92.0,8.256,19.0,2023,4,25,14,3.44,8.0
9.800000000000011,87,10,9.800000000000011,2023-04-25 14:05:51,0.0,,2.0,403.3,7.991,2.0,0.0,23.5,47.0,84.0,50.5210611,-84.8103569,222.0,25.0,95.0,7.991,19.0,2023,4,25,14,3.44,8.0
10.0,87,10,10.0,2023-04-25 14:05:52,0.0,,2.0,411.27,7.937,2.0,0.0,27.0,50.0,94.5,50.5211391,-84.810412,233.0,23.5,88.5,7.937,19.0,2023,4,25,14,3.44,8.0
10.199999999999989,88,10,10.199999999999989,2023-04-25 14:05:53,0.0,,2.0,419.46,8.085,2.0,0.0,28.0,50.0,95.5,50.521217,-84.8104651,281.0,23.5,87.0,8.085,19.0,2023,4,25,14,3.44,8.0
10.399999999999977,88,11,10.399999999999977,2023-04-25 14:05:54,0.0,,2.0,427.27,7.922,2.0,0.0,27.0,49.0,91.5,50.5212924,-84.81051,296.0,24.0,88.5,7.922,19.0,2023,4,25,14,3.44,8.0
10.399999999999977,87,11,10.399999999999977,2023-04-25 14:05:55,0.0,,2.0,434.78,7.613,2.0,0.0,25.5,47.0,86.5,50.5213644,-84.8105572,277.0,24.5,89.5,7.613,19.0,2023,4,25,14,3.44,8.0
10.600000000000023,87,11,10.600000000000023,2023-04-25 14:05:56,0.0,,2.0,442.06,7.364,2.0,0.0,20.5,44.0,80.0,50.5214332,-84.8106104,258.0,24.5,89.5,7.364,19.0,2023,4,25,14,3.44,8.0
11.0,86,11,11.0,2023-04-25 14:05:57,0.0,,2.0,449.13,7.14,2.0,0.0,20.5,49.0,78.5,50.5215015,-84.8106543,227.0,24.0,85.0,7.14,19.0,2023,4,25,14,3.44,8.0
11.199999999999989,83,12,11.199999999999989,2023-04-25 14:05:58,0.0,,2.0,455.88,6.86,2.0,0.0,23.5,52.0,83.5,50.5215684,-84.8106904,221.0,24.5,83.5,6.86,19.0,2023,4,25,14,3.44,8.0
11.399999999999977,83,12,11.399999999999977,2023-04-25 14:05:59,0.0,,2.0,462.3,6.562,2.0,0.0,28.5,55.0,92.0,50.5216319,-84.8107247,234.0,25.5,83.5,6.562,19.0,2023,4,25,14,3.44,8.0
11.600000000000023,83,12,11.600000000000023,2023-04-25 14:06:00,0.0,,2.0,469.01,6.643,2.0,0.0,32.0,54.0,99.5,50.5217006,-84.8107542,239.0,26.0,84.0,6.643,19.0,2023,4,25,14,3.44,8.0
11.600000000000023,84,12,11.600000000000023,2023-04-25 14:06:01,0.0,,2.0,475.19,6.314,2.0,0.0,30.0,47.0,98.5,50.521763,-84.8107904,243.0,26.0,84.0,6.314,19.0,2023,4,25,14,3.44,8.0
11.800000000000011,84,12,11.800000000000011,2023-04-25 14:06:02,1.0,,2.0,481.31,6.153,3.0,1.98,26.5,47.0,92.5,50.5218225,-84.810827,238.0,26.0,84.0,6.153,19.0,2023,4,25,14,3.44,8.0
11.800000000000011,84,13,11.800000000000011,2023-04-25 14:06:03,1.0,,2.0,487.56,6.184,3.0,2.53,24.0,49.0,87.0,50.5218826,-84.8108658,209.0,25.0,87.5,6.184,19.0,2023,4,25,14,3.44,8.0
12.0,80,13,12.0,2023-04-25 14:06:04,1.0,,2.0,493.64,6.151,3.0,2.47,22.5,51.0,82.0,50.5219412,-84.8109074,183.0,23.5,89.0,6.151,18.0,2023,4,25,14,3.44,8.0
12.200000000000045,63,13,12.200000000000045,2023-04-25 14:06:05,1.0,,2.0,499.39,5.847,3.0,2.37,21.0,57.0,80.0,50.5219996,-84.810933,158.0,22.5,84.5,5.847,18.0,2023,4,25,14,3.44,8.0
12.399999999999977,46,13,12.399999999999977,2023-04-25 14:06:06,1.0,,2.0,504.09,5.03,3.0,2.15,15.5,69.0,85.0,50.5220503,-84.8109493,134.0,21.5,81.5,5.03,18.0,2023,4,25,14,3.44,8.0
12.600000000000023,29,13,12.600000000000023,2023-04-25 14:06:07,2.0,,2.0,507.82,4.048,3.0,1.98,10.0,81.0,90.5,50.5220867,-84.8109601,109.0,21.0,78.5,4.048,18.0,2023,4,25,14,3.44,8.0
12.799999999999955,14,13,12.799999999999955,2023-04-25 14:06:08,2.0,,2.0,510.99,3.39,3.0,1.93,4.5,93.0,95.5,50.5221215,-84.810975,83.0,20.0,75.0,3.39,18.0,2023,4,25,14,3.44,8.0
13.0,11,13,13.0,2023-04-25 14:06:09,2.0,,2.0,513.69,2.911,2.0,2.06,0.5,94.0,98.0,50.5221482,-84.8109765,62.0,19.5,71.5,2.911,18.0,2023,4,25,14,3.44,8.0
13.0,7,13,13.0,2023-04-25 14:06:10,2.0,,2.0,516.2,2.562,2.0,2.35,2.5,80.0,83.5,50.5221754,-84.8109858,42.0,19.0,66.0,2.562,18.0,2023,4,25,14,3.44,8.0
13.200000000000045,3,13,13.200000000000045,2023-04-25 14:06:11,2.0,,2.0,518.09,2.091,2.0,2.8,4.5,66.0,69.0,50.5221947,-84.8109963,0.0,18.5,60.0,2.091,18.0,2023,4,25,14,3.44,8.0
13.399999999999977,2,13,13.399999999999977,2023-04-25 14:06:12,2.0,,2.0,518.88,1.197,2.0,3.3,7.0,53.0,54.5,50.522199,-84.8110114,0.0,18.0,54.5,1.197,18.0,2023,4,25,14,3.44,8.0
13.399999999999977,21,13,13.399999999999977,2023-04-25 14:06:13,3.0,,2.0,519.99,1.061,2.0,3.89,10.0,48.0,52.0,50.522211,-84.8110097,14.0,19.5,56.5,1.061,18.0,2023,4,25,14,3.44,8.0
13.399999999999977,22,13,13.399999999999977,2023-04-25 14:06:14,3.0,,2.0,521.63,1.502,2.0,4.55,15.5,48.0,66.0,50.5222258,-84.8110023,38.0,24.0,69.0,1.502,18.0,2023,4,25,14,3.44,8.0
13.600000000000023,22,13,13.600000000000023,2023-04-25 14:06:15,3.0,,2.0,521.63,0.792,2.0,5.23,20.5,48.0,80.0,50.5222258,-84.8110023,61.0,29.0,82.0,0.792,18.0,2023,4,25,14,3.44,8.0
13.600000000000023,24,13,13.600000000000023,2023-04-25 14:06:16,3.0,,2.0,522.67,2.764,2.0,1.05,26.0,48.0,94.0,50.522237,-84.8110023,76.0,33.5,95.0,2.764,18.0,2023,4,25,14,3.44,8.0
13.600000000000023,29,14,13.600000000000023,2023-04-25 14:06:17,3.0,,2.0,528.45,4.502,2.0,0.0,32.0,48.0,99.5,50.5222997,-84.8110037,80.0,35.0,99.0,4.502,18.0,2023,4,25,14,3.44,8.0
13.600000000000023,33,14,13.600000000000023,2023-04-25 14:06:18,3.0,,2.0,531.89,3.677,2.0,0.0,35.5,48.0,99.0,50.5223364,-84.8110114,83.0,33.5,97.0,3.677,18.0,2023,4,25,14,3.44,8.0
13.799999999999955,38,14,13.799999999999955,2023-04-25 14:06:19,3.0,,2.0,534.76,3.11,2.0,0.0,35.0,45.0,96.5,50.5223655,-84.8110098,86.0,30.0,92.5,3.11,18.0,2023,4,25,14,3.44,8.0
13.799999999999955,44,14,13.799999999999955,2023-04-25 14:06:20,3.0,,2.0,536.81,2.289,2.0,0.0,34.0,39.0,94.0,50.5223865,-84.8110023,132.0,26.5,88.5,2.289,18.0,2023,4,25,14,3.44,8.0
13.799999999999955,50,14,13.799999999999955,2023-04-25 14:06:21,3.0,,2.0,539.79,2.83,2.0,0.0,33.5,41.0,91.5,50.5224181,-84.8110056,138.0,23.0,84.0,2.83,18.0,2023,4,25,14,3.44,8.0
14.0,59,14,14.0,2023-04-25 14:06:22,3.0,,2.0,543.23,3.259,2.0,1.05,32.5,42.0,95.5,50.5224526,-84.8110239,182.0,26.5,87.5,3.259,18.0,2023,4,25,14,3.44,8.0
14.0,71,15,14.0,2023-04-25 14:06:23,3.0,,2.0,547.67,4.12,2.0,1.44,32.0,44.0,99.5,50.5224986,-84.8110422,208.0,29.0,94.0,4.12,18.0,2023,4,25,14,3.44,8.0
