altitude,distance,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,ascent,battery_soc,cadence,calories,descent,grade,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,temperature,year,month,day,hour,wind_speed,wind_direction
52.0,0.0,52.0,8.552,3,50.517256,-84.8077983,8.552,2023-04-26 14:02:42,,,,,,,,,,,,,,2023,4,26,14,3.02,304.0
52.0,5.25,52.0,8.65,3,50.5172912,-84.8078579,8.65,2023-04-26 14:02:43,0.0,38.0,88.0,0.0,0.0,0.0,24.5,86.5,203.0,24.0,86.5,,,2023,4,26,14,3.02,304.0
52.0,12.36,52.0,8.782,3,50.5173403,-84.8079362,8.782,2023-04-26 14:02:44,0.0,,89.0,0.0,0.0,0.0,22.5,84.5,225.0,23.0,84.0,56.0,,2023,4,26,14,3.02,304.0
52.0,23.4,52.0,8.984,3,50.5174193,-84.8080547,8.984,2023-04-26 14:02:45,0.0,,90.0,0.0,0.0,0.0,25.5,87.5,245.0,22.5,79.0,55.0,,2023,4,26,14,3.02,304.0
51.799999999999955,32.92,51.799999999999955,8.88,3,50.5174903,-84.8081532,8.88,2023-04-26 14:02:46,0.0,,91.0,0.0,0.0,0.0,26.0,86.0,260.0,22.0,77.5,55.0,15.0,2023,4,26,14,3.02,304.0
51.799999999999955,42.01,51.799999999999955,9.147,3,50.5175716,-84.8082254,9.147,2023-04-26 14:02:47,0.0,,89.0,0.0,0.0,0.0,24.5,81.5,220.0,22.0,78.0,54.0,15.0,2023,4,26,14,3.02,304.0
51.60000000000002,51.36,51.60000000000002,9.264,3,50.5176617,-84.8082894,9.264,2023-04-26 14:02:48,0.0,,85.0,1.0,0.0,0.0,23.5,78.5,223.0,22.5,79.5,53.0,15.0,2023,4,26,14,3.02,304.0
51.39999999999998,60.81,51.39999999999998,9.126,3,50.5177548,-84.808346,9.126,2023-04-26 14:02:49,0.0,,85.0,1.0,0.0,0.0,28.0,94.5,241.0,25.0,89.0,52.0,15.0,2023,4,26,14,3.02,304.0
51.39999999999998,69.67,51.39999999999998,8.759,3,50.5178442,-84.808388,8.759,2023-04-26 14:02:50,0.0,,85.0,1.0,0.0,0.0,27.0,94.0,252.0,24.0,90.0,49.0,15.0,2023,4,26,14,3.02,304.0
51.39999999999998,77.85,51.39999999999998,8.605,3,50.5179246,-84.8084352,8.605,2023-04-26 14:02:51,0.0,,85.0,1.0,0.0,0.0,27.5,92.5,247.0,23.0,89.0,49.0,15.0,2023,4,26,14,3.02,304.0
51.39999999999998,86.28,51.39999999999998,8.933,3,50.5180114,-84.8084786,8.933,2023-04-26 14:02:52,0.0,,85.0,2.0,0.0,-0.56,29.0,93.0,238.0,22.0,87.0,49.0,15.0,2023,4,26,14,3.02,304.0
51.200000000000045,94.74,51.200000000000045,9.101,3,50.5180992,-84.8085155,9.101,2023-04-26 14:02:53,0.0,,84.0,2.0,0.0,-0.85,30.5,93.5,226.0,21.0,85.5,51.0,15.0,2023,4,26,14,3.02,304.0
51.200000000000045,103.03,51.200000000000045,8.791,3,50.5181793,-84.8085583,8.791,2023-04-26 14:02:54,0.0,,83.0,2.0,0.0,-0.75,30.5,93.5,222.0,21.5,86.5,52.0,15.0,2023,4,26,14,3.02,304.0
51.200000000000045,111.4,51.200000000000045,8.664,3,50.5182629,-84.8086038,8.664,2023-04-26 14:02:55,0.0,,83.0,2.0,0.0,-0.27,30.0,93.5,223.0,22.5,88.0,52.0,15.0,2023,4,26,14,3.02,304.0
51.200000000000045,119.87,51.200000000000045,8.685,3,50.5183482,-84.8086548,8.685,2023-04-26 14:02:56,0.0,,82.0,3.0,0.0,0.0,29.0,93.5,241.0,23.5,89.0,51.0,15.0,2023,4,26,14,3.02,304.0
51.200000000000045,129.0,51.200000000000045,8.832,3,50.5184388,-84.8087038,8.832,2023-04-26 14:02:57,0.0,,82.0,3.0,0.0,0.0,26.5,94.0,255.0,25.0,89.5,50.0,15.0,2023,4,26,14,3.02,304.0
51.0,138.32,51.0,8.891,3,50.5185307,-84.8087497,8.891,2023-04-26 14:02:58,0.0,,82.0,3.0,0.0,0.0,28.5,97.0,266.0,28.5,96.5,49.0,15.0,2023,4,26,14,3.02,304.0
51.0,146.97,51.0,8.583,3,50.5186149,-84.8088014,8.583,2023-04-26 14:02:59,0.0,,82.0,3.0,1.0,-0.26,28.0,96.0,273.0,30.5,99.0,52.0,15.0,2023,4,26,14,3.02,304.0
51.0,169.88,51.0,8.339,6,50.5187181,-84.8090946,8.339,2023-04-26 14:03:00,0.0,,82.0,4.0,1.0,-0.46,28.5,97.0,279.0,30.5,98.5,52.0,15.0,2023,4,26,14,3.02,304.0
51.0,184.58,51.0,8.269,6,50.5188103,-84.8092436,8.269,2023-04-26 14:03:01,0.0,,81.0,4.0,1.0,-0.18,29.0,98.0,272.0,28.5,95.0,52.0,15.0,2023,4,26,14,3.02,304.0
51.200000000000045,193.18,51.200000000000045,8.461,5,50.5188969,-84.8092855,8.461,2023-04-26 14:03:02,0.0,,81.0,4.0,1.0,0.0,27.5,96.0,266.0,25.0,89.5,52.0,15.0,2023,4,26,14,3.02,304.0
51.200000000000045,202.84,51.200000000000045,8.49,5,50.5189916,-84.8093438,8.49,2023-04-26 14:03:03,0.0,,86.0,4.0,1.0,0.0,26.5,93.0,266.0,25.5,88.5,51.0,15.0,2023,4,26,14,3.02,304.0
51.200000000000045,215.54,51.200000000000045,8.439,4,50.5190981,-84.8094593,8.439,2023-04-26 14:03:04,0.0,,89.0,5.0,1.0,0.0,25.5,89.0,279.0,27.0,91.5,51.0,15.0,2023,4,26,14,3.02,304.0
51.200000000000045,225.33,51.200000000000045,8.544,4,50.5191884,-84.809526,8.544,2023-04-26 14:03:05,0.0,,89.0,5.0,1.0,0.0,24.5,86.5,297.0,26.5,91.5,49.0,15.0,2023,4,26,14,3.02,304.0
51.200000000000045,232.26,51.200000000000045,8.986,4,50.5192575,-84.809556,8.986,2023-04-26 14:03:06,0.0,,90.0,5.0,1.0,0.0,23.5,83.0,311.0,25.0,90.0,48.0,15.0,2023,4,26,14,3.02,304.0
51.200000000000045,240.23,51.200000000000045,9.312,4,50.5193325,-84.8096057,9.312,2023-04-26 14:03:07,0.0,,89.0,6.0,1.0,0.0,23.5,79.0,288.0,24.5,88.5,49.0,15.0,2023,4,26,14,3.02,304.0
51.200000000000045,248.85,51.200000000000045,9.536,4,50.5194124,-84.809665,9.536,2023-04-26 14:03:08,0.0,,90.0,6.0,1.0,0.0,24.5,81.0,276.0,24.5,88.5,52.0,15.0,2023,4,26,14,3.02,304.0
51.0,263.83,51.0,8.902,4,50.519547,-84.8097874,8.902,2023-04-26 14:03:09,0.0,,91.0,6.0,1.0,0.0,26.5,92.0,270.0,24.5,88.5,52.0,15.0,2023,4,26,14,3.02,304.0
51.0,277.32,51.0,8.585,4,50.5196784,-84.8098624,8.585,2023-04-26 14:03:10,0.0,,91.0,6.0,1.0,0.0,27.0,94.0,268.0,24.5,89.0,51.0,14.0,2023,4,26,14,3.02,304.0
51.0,287.65,51.0,8.597,4,50.5197832,-84.8099053,8.597,2023-04-26 14:03:11,0.0,,91.0,7.0,1.0,0.0,27.5,90.5,277.0,25.0,89.5,51.0,14.0,2023,4,26,14,3.02,304.0
51.0,297.69,51.0,8.468,3,50.51989,-84.8099382,8.468,2023-04-26 14:03:12,0.0,,91.0,7.0,1.0,0.0,26.0,88.5,273.0,24.0,88.0,51.0,14.0,2023,4,26,14,3.02,304.0
51.200000000000045,307.06,51.200000000000045,8.635,3,50.5199865,-84.8099719,8.635,2023-04-26 14:03:13,0.0,,90.0,7.0,1.0,0.0,25.0,86.5,267.0,23.5,86.5,49.0,14.0,2023,4,26,14,3.02,304.0
51.39999999999998,316.07,51.39999999999998,8.588,3,50.5200777,-84.8100084,8.588,2023-04-26 14:03:14,0.0,,90.0,8.0,1.0,0.0,23.5,83.5,244.0,22.0,83.0,53.0,14.0,2023,4,26,14,3.02,304.0
51.39999999999998,324.79,51.39999999999998,8.629,3,50.5201649,-84.8100571,8.629,2023-04-26 14:03:15,0.0,,91.0,8.0,1.0,0.0,23.0,81.0,234.0,22.0,80.5,54.0,14.0,2023,4,26,14,3.02,304.0
