cadence,calories,distance,enhanced_speed,gps_accuracy,position_lat,position_long,power,speed,timestamp,battery_soc,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,left_right_balance,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
79,0,0.0,6.793,2,50.5126457,-84.8148252,161,6.793,2023-04-27 14:31:50,,,,,,,,,,,,,2023,4,27,14,2.56,149.0
80,0,4.29,6.883,2,50.5126708,-84.814775,160,6.883,2023-04-27 14:31:51,5.0,20.0,77.5,23.5,86.0,,,,,,,,2023,4,27,14,2.56,149.0
81,0,10.08,7.038,2,50.5127022,-84.8147043,159,7.038,2023-04-27 14:31:52,,18.5,73.5,23.5,85.0,20.0,,,,,,,2023,4,27,14,2.56,149.0
82,0,17.69,7.071,2,50.5127435,-84.8146068,170,7.071,2023-04-27 14:31:53,,17.5,69.5,23.0,84.5,20.0,,,,,,,2023,4,27,14,2.56,149.0
82,0,24.56,6.931,2,50.5127792,-84.8145178,172,6.931,2023-04-27 14:31:54,,16.0,66.0,23.0,83.5,20.0,47.0,,,,,,2023,4,27,14,2.56,149.0
82,0,31.61,6.894,2,50.5128111,-84.8144267,176,6.894,2023-04-27 14:31:55,,19.5,71.5,24.0,79.5,20.0,51.0,,,,,,2023,4,27,14,2.56,149.0
82,0,38.72,6.987,2,50.512841,-84.814335,184,6.987,2023-04-27 14:31:56,,24.0,78.5,25.5,78.5,20.0,51.0,,,,,,2023,4,27,14,2.56,149.0
83,1,45.91,7.121,2,50.5128705,-84.8142396,175,7.121,2023-04-27 14:31:57,,20.5,65.5,26.5,92.0,20.0,52.0,,,,,,2023,4,27,14,2.56,149.0
85,1,53.23,7.158,2,50.5129048,-84.8141432,165,7.158,2023-04-27 14:31:58,,19.5,62.0,19.5,76.5,20.0,67.0,,,,,,2023,4,27,14,2.56,149.0
85,1,60.5,7.159,2,50.5129435,-84.8140523,157,7.159,2023-04-27 14:31:59,,21.5,70.5,17.0,65.0,20.0,61.0,,,,,,2023,4,27,14,2.56,149.0
85,1,69.52,8.498,3,50.5129981,-84.8139429,163,8.498,2023-04-27 14:32:00,,22.0,74.5,17.0,64.0,20.0,56.0,,,,,,2023,4,27,14,2.56,149.0
85,1,79.17,9.387,3,50.5130572,-84.8138249,150,9.387,2023-04-27 14:32:01,,20.5,71.0,18.5,69.0,20.0,55.0,,,,,,2023,4,27,14,2.56,149.0
75,1,87.34,8.458,3,50.5131029,-84.8137242,145,8.458,2023-04-27 14:32:02,,19.5,68.0,19.5,70.0,20.0,57.0,,,,,,2023,4,27,14,2.56,149.0
56,1,94.77,7.678,3,50.5131463,-84.8136374,143,7.678,2023-04-27 14:32:03,,19.5,68.0,20.5,72.5,20.0,59.0,,,,,,2023,4,27,14,2.56,149.0
36,1,101.83,7.223,3,50.5131894,-84.8135513,141,7.223,2023-04-27 14:32:04,,19.5,68.0,21.0,75.0,19.0,56.0,,,,,,2023,4,27,14,2.56,149.0
19,2,108.67,6.957,3,50.5132279,-84.8134652,100,6.957,2023-04-27 14:32:05,,20.0,67.5,22.0,78.0,19.0,53.0,,,,,,2023,4,27,14,2.56,149.0
68,2,115.48,6.887,3,50.5132682,-84.8133843,104,6.887,2023-04-27 14:32:06,,20.0,67.5,22.5,80.5,19.0,50.0,,,,,,2023,4,27,14,2.56,149.0
79,2,122.42,6.936,3,50.5133114,-84.8133027,120,6.936,2023-04-27 14:32:07,,20.0,67.5,23.5,83.0,19.0,49.0,,,,,,2023,4,27,14,2.56,149.0
