distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,cadence,calories,heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
0.0,5.303,3,50.509419,-84.8162725,5.303,2023-05-14 14:27:58,,,,,,,,,,,,,,,,,2023,5,14,14,1.81,276.0
5.12,5.324,3,50.5093986,-84.8162047,5.324,2023-05-14 14:27:59,66.0,80.0,0.0,107.0,23.5,61.0,83.0,205.0,21.5,80.0,,,,,,,2023,5,14,14,1.81,276.0
10.24,5.344,3,50.5093783,-84.8161368,5.344,2023-05-14 14:28:00,,82.0,0.0,107.0,23.0,55.0,82.5,207.0,20.5,72.5,22.0,,,,,,2023,5,14,14,1.81,276.0
15.34,4.753,3,50.5093667,-84.8160645,4.753,2023-05-14 14:28:01,,85.0,0.0,108.0,23.0,52.0,81.5,212.0,19.5,66.0,22.0,,,,,,2023,5,14,14,1.81,276.0
21.43,5.733,3,50.5093438,-84.8159827,5.733,2023-05-14 14:28:02,,86.0,0.0,108.0,22.0,54.0,79.5,226.0,20.0,70.0,22.0,,,,,,2023,5,14,14,1.81,276.0
27.33,5.865,3,50.5093206,-84.8159083,5.865,2023-05-14 14:28:03,,87.0,0.0,108.0,21.5,55.0,77.0,231.0,21.0,74.0,22.0,,,,,,2023,5,14,14,1.81,276.0
33.94,6.404,3,50.5092922,-84.8158167,6.404,2023-05-14 14:28:04,,88.0,0.0,108.0,20.5,52.0,75.0,229.0,21.5,77.5,22.0,,,,,,2023,5,14,14,1.81,276.0
41.36,7.211,3,50.5092555,-84.8157263,7.211,2023-05-14 14:28:05,,89.0,1.0,108.0,19.5,51.0,72.5,216.0,22.0,81.5,22.0,,,,,,2023,5,14,14,1.81,276.0
48.41,7.154,3,50.5092155,-84.8156372,7.154,2023-05-14 14:28:06,,89.0,1.0,108.0,19.5,51.0,71.5,199.0,22.0,83.5,22.0,,,,,,2023,5,14,14,1.81,276.0
55.13,6.681,3,50.5091783,-84.8155527,6.681,2023-05-14 14:28:07,,90.0,1.0,108.0,22.0,55.0,81.0,195.0,19.5,70.0,22.0,,,,,,2023,5,14,14,1.81,276.0
63.01,7.287,3,50.5091376,-84.8154522,7.287,2023-05-14 14:28:08,,90.0,1.0,108.0,22.0,51.0,82.0,199.0,22.0,78.5,22.0,,,,,,2023,5,14,14,1.81,276.0
70.96,7.387,3,50.5091017,-84.8153535,7.387,2023-05-14 14:28:09,,90.0,1.0,109.0,24.0,55.0,85.0,215.0,23.5,83.0,22.0,,,,,,2023,5,14,14,1.81,276.0
78.16,6.76,3,50.509065,-84.8152542,6.76,2023-05-14 14:28:10,,89.0,2.0,111.0,27.5,57.0,91.0,218.0,25.0,86.0,22.0,,,,,,2023,5,14,14,1.81,276.0
84.89,6.659,3,50.5090301,-84.8151752,6.659,2023-05-14 14:28:11,,89.0,2.0,112.0,31.0,56.0,98.0,221.0,28.5,91.5,22.0,,,,,,2023,5,14,14,1.81,276.0
92.14,6.704,3,50.5089917,-84.8150812,6.704,2023-05-14 14:28:12,,86.0,2.0,113.0,29.0,52.0,92.0,241.0,26.5,93.5,22.0,,,,,,2023,5,14,14,1.81,276.0
99.39,6.373,3,50.508947,-84.8149911,6.373,2023-05-14 14:28:13,,85.0,2.0,115.0,26.5,53.0,91.0,251.0,25.5,91.0,22.0,,,,,,2023,5,14,14,1.81,276.0
106.53,6.254,3,50.5089109,-84.8149057,6.254,2023-05-14 14:28:14,,83.0,3.0,116.0,25.5,53.0,92.0,250.0,25.5,88.5,22.0,,,,,,2023,5,14,14,1.81,276.0
113.64,6.621,3,50.5088847,-84.8148074,6.621,2023-05-14 14:28:15,,80.0,3.0,117.0,25.0,53.0,94.0,251.0,25.0,86.0,22.0,,,,,,2023,5,14,14,1.81,276.0
120.39,6.331,3,50.5088662,-84.8147169,6.331,2023-05-14 14:28:16,,79.0,3.0,118.0,24.5,54.0,95.5,271.0,25.0,84.0,22.0,,,,,,2023,5,14,14,1.81,276.0
127.19,6.332,3,50.5088427,-84.8146237,6.332,2023-05-14 14:28:17,,78.0,3.0,120.0,25.0,55.0,94.0,284.0,24.0,85.5,22.0,,,,,,2023,5,14,14,1.81,276.0
134.41,6.135,3,50.5088164,-84.8145249,6.135,2023-05-14 14:28:18,,77.0,4.0,121.0,27.0,53.0,92.0,285.0,26.0,92.0,22.0,,,,,,2023,5,14,14,1.81,276.0
140.8,6.535,3,50.5087981,-84.8144336,6.535,2023-05-14 14:28:19,,75.0,4.0,122.0,26.0,52.0,88.5,225.0,25.5,92.0,22.0,,,,,,2023,5,14,14,1.81,276.0
147.05,6.312,2,50.5087783,-84.8143428,6.312,2023-05-14 14:28:20,,67.0,4.0,123.0,23.0,55.0,84.0,206.0,24.0,88.0,22.0,,,,,,2023,5,14,14,1.81,276.0
153.65,6.557,2,50.5087462,-84.8142616,6.557,2023-05-14 14:28:21,,59.0,4.0,123.0,21.0,61.0,80.0,188.0,22.5,84.5,22.0,,,,,,2023,5,14,14,1.81,276.0
159.96,6.372,2,50.5087097,-84.8141805,6.372,2023-05-14 14:28:22,,51.0,4.0,124.0,22.5,67.0,80.5,169.0,20.5,83.0,22.0,,,,,,2023,5,14,14,1.81,276.0
165.98,6.116,2,50.5086734,-84.8141087,6.116,2023-05-14 14:28:23,,43.0,4.0,124.0,23.5,73.0,81.0,128.0,18.0,81.5,22.0,,,,,,2023,5,14,14,1.81,276.0
171.48,5.663,2,50.5086366,-84.8140461,5.663,2023-05-14 14:28:24,,37.0,5.0,125.0,18.5,32.0,69.0,92.0,20.5,87.5,22.0,,,,,,2023,5,14,14,1.81,276.0
176.91,5.515,2,50.5085965,-84.8139926,5.515,2023-05-14 14:28:25,,38.0,5.0,125.0,13.0,54.0,57.5,83.0,23.5,93.5,22.0,,,,,,2023,5,14,14,1.81,276.0
181.96,5.342,2,50.5085573,-84.8139397,5.342,2023-05-14 14:28:26,,56.0,5.0,126.0,13.5,78.0,56.5,71.0,22.0,89.5,22.0,,,,,,2023,5,14,14,1.81,276.0
186.88,4.826,2,50.5085246,-84.813883,4.826,2023-05-14 14:28:27,,44.0,5.0,126.0,15.5,49.0,54.5,62.0,13.0,64.5,22.0,,,,,,2023,5,14,14,1.81,276.0
190.56,3.971,2,50.5085023,-84.8138385,3.971,2023-05-14 14:28:28,,28.0,5.0,126.0,16.5,46.0,58.0,54.0,13.0,62.0,22.0,,,,,,2023,5,14,14,1.81,276.0
193.6,3.267,2,50.5084846,-84.8138031,3.267,2023-05-14 14:28:29,,13.0,5.0,125.0,17.5,43.0,62.0,46.0,13.5,62.0,22.0,,,,,,2023,5,14,14,1.81,276.0
196.44,2.955,2,50.5084672,-84.813781,2.955,2023-05-14 14:28:30,,0.0,5.0,125.0,18.5,40.0,66.0,0.0,14.5,61.5,22.0,,,,,,2023,5,14,14,1.81,276.0
201.74,4.714,3,50.508415,-84.813804,4.714,2023-05-14 14:28:31,,0.0,5.0,124.0,19.5,37.0,70.0,0.0,15.5,61.5,22.0,-6.399999999999977,-6.399999999999977,,,,2023,5,14,14,1.81,276.0
204.91,3.57,3,50.5083874,-84.8137833,3.57,2023-05-14 14:28:32,,0.0,5.0,123.0,20.0,34.0,74.0,0.0,16.0,61.5,22.0,-6.399999999999977,-6.399999999999977,0.0,0.0,0.0,2023,5,14,14,1.81,276.0
209.17,4.065,3,50.5083557,-84.8137374,4.065,2023-05-14 14:28:33,,8.0,5.0,123.0,21.0,32.0,78.0,12.0,17.0,61.0,22.0,-6.399999999999977,-6.399999999999977,0.0,0.0,0.0,2023,5,14,14,1.81,276.0
213.34,4.13,3,50.5083278,-84.8136907,4.13,2023-05-14 14:28:34,,23.0,5.0,123.0,22.0,29.0,81.5,37.0,18.0,61.0,22.0,-6.600000000000023,-6.600000000000023,0.0,0.0,0.0,2023,5,14,14,1.81,276.0
218.05,4.567,3,50.5082958,-84.8136375,4.567,2023-05-14 14:28:35,,22.0,5.0,123.0,23.5,26.0,85.5,40.0,18.5,62.0,22.0,-6.800000000000011,-6.800000000000011,0.0,0.0,0.0,2023,5,14,14,1.81,276.0
222.8,4.716,3,50.5082594,-84.813592,4.716,2023-05-14 14:28:36,,20.0,5.0,123.0,25.5,23.0,88.0,42.0,19.5,68.0,22.0,-6.800000000000011,-6.800000000000011,0.0,0.0,0.0,2023,5,14,14,1.81,276.0
227.2,4.487,3,50.5082234,-84.8135473,4.487,2023-05-14 14:28:37,,18.0,5.0,122.0,27.5,20.0,90.5,45.0,21.0,73.5,22.0,-7.0,-7.0,0.0,0.0,0.0,2023,5,14,14,1.81,276.0
231.52,4.37,3,50.5081916,-84.8135092,4.37,2023-05-14 14:28:38,,20.0,5.0,122.0,29.5,78.0,93.0,48.0,22.0,79.5,22.0,-7.0,-7.0,0.0,0.0,0.0,2023,5,14,14,1.81,276.0
235.93,4.391,3,50.5081614,-84.8134543,4.391,2023-05-14 14:28:39,,26.0,5.0,121.0,27.5,99.0,88.0,46.0,23.0,83.0,22.0,-7.199999999999989,-7.199999999999989,0.0,1.0,-1.72,2023,5,14,14,1.81,276.0
240.12,4.256,3,50.508152,-84.8134004,4.256,2023-05-14 14:28:40,,32.0,5.0,121.0,20.0,96.0,71.5,44.0,25.0,83.5,22.0,-7.399999999999977,-7.399999999999977,0.0,1.0,-2.5,2023,5,14,14,1.81,276.0
244.97,4.688,3,50.5081854,-84.8133455,4.688,2023-05-14 14:28:41,,35.0,5.0,121.0,12.5,94.0,55.5,48.0,27.0,84.0,22.0,-7.399999999999977,-7.399999999999977,0.0,1.0,-2.57,2023,5,14,14,1.81,276.0
250.7,5.463,3,50.5082298,-84.8132878,5.463,2023-05-14 14:28:42,,54.0,5.0,122.0,23.0,92.0,85.5,88.0,27.0,84.0,22.0,-7.399999999999977,-7.399999999999977,0.0,1.0,-2.42,2023,5,14,14,1.81,276.0
257.14,6.202,3,50.5082611,-84.8132051,6.202,2023-05-14 14:28:43,,72.0,5.0,122.0,25.0,76.0,87.0,205.0,25.5,86.0,22.0,-7.399999999999977,-7.399999999999977,0.0,1.0,-2.12,2023,5,14,14,1.81,276.0
264.06,6.753,3,50.508288,-84.8131141,6.753,2023-05-14 14:28:44,,77.0,6.0,122.0,21.0,58.0,73.5,214.0,24.5,88.0,22.0,-7.399999999999977,-7.399999999999977,0.0,1.0,-0.54,2023,5,14,14,1.81,276.0
270.58,6.568,3,50.5083098,-84.813023,6.568,2023-05-14 14:28:45,,81.0,6.0,122.0,17.0,47.0,63.5,198.0,24.0,86.5,22.0,-7.399999999999977,-7.399999999999977,0.0,1.0,0.0,2023,5,14,14,1.81,276.0
277.12,6.55,3,50.508323,-84.812932,6.55,2023-05-14 14:28:46,,67.0,6.0,122.0,16.5,49.0,60.5,180.0,22.0,76.5,22.0,-7.600000000000023,-7.600000000000023,0.0,1.0,0.0,2023,5,14,14,1.81,276.0
283.25,6.224,3,50.5083325,-84.8128423,6.224,2023-05-14 14:28:47,,43.0,6.0,122.0,18.0,50.0,63.5,163.0,20.0,78.0,22.0,-7.800000000000011,-7.800000000000011,0.0,1.0,-0.51,2023,5,14,14,1.81,276.0
289.02,5.927,3,50.5083472,-84.8127599,5.927,2023-05-14 14:28:48,,19.0,6.0,122.0,19.5,50.0,66.5,146.0,18.0,80.5,22.0,-7.800000000000011,-7.800000000000011,0.0,1.0,-0.71,2023,5,14,14,1.81,276.0
295.3,6.492,3,50.5083731,-84.8126789,6.492,2023-05-14 14:28:49,,0.0,6.0,123.0,21.0,49.0,70.0,0.0,15.5,83.0,22.0,-7.600000000000023,-7.600000000000023,0.0,2.0,-0.73,2023,5,14,14,1.81,276.0
302.34,6.815,3,50.5084257,-84.8126046,6.815,2023-05-14 14:28:50,,0.0,6.0,123.0,22.0,49.0,73.0,0.0,13.5,85.0,22.0,-7.600000000000023,-7.600000000000023,0.0,2.0,-0.2,2023,5,14,14,1.81,276.0
308.56,6.381,3,50.5084559,-84.8125243,6.381,2023-05-14 14:28:51,,0.0,6.0,124.0,23.5,49.0,76.5,0.0,11.5,87.5,22.0,-7.199999999999989,-7.199999999999989,0.0,2.0,0.0,2023,5,14,14,1.81,276.0
