calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,power,speed,timestamp,battery_soc,cadence,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,left_right_balance,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
0,0.0,8.941,3,129,50.5136014,-84.813205,171,8.941,2023-05-15 14:34:58,,,,,,,,,,,,,,2023,5,15,14,4.06,280.0
0,7.83,8.874,3,129,50.5136422,-84.813103,172,8.874,2023-05-15 14:34:59,32.0,82.0,18.5,73.5,21.5,78.0,,,,,,,,2023,5,15,14,4.06,280.0
0,15.66,8.808,3,130,50.5136831,-84.813001,172,8.808,2023-05-15 14:35:00,,81.0,18.5,76.0,21.5,78.0,21.0,,,,,,,2023,5,15,14,4.06,280.0
0,26.15,9.033,3,130,50.5137404,-84.8128729,173,9.033,2023-05-15 14:35:01,,81.0,18.5,77.5,21.5,78.0,21.0,59.0,,,,,,2023,5,15,14,4.06,280.0
0,34.9,8.789,3,130,50.5137863,-84.8127633,173,8.789,2023-05-15 14:35:02,,81.0,19.0,78.5,21.5,77.5,21.0,58.0,,,,,,2023,5,15,14,4.06,280.0
0,43.44,8.604,3,131,50.5138362,-84.812654,189,8.604,2023-05-15 14:35:03,,80.0,19.5,79.5,21.5,77.0,21.0,56.0,,,,,,2023,5,15,14,4.06,280.0
1,52.0,8.599,3,131,50.5138819,-84.8125534,189,8.599,2023-05-15 14:35:04,,80.0,20.0,80.0,21.0,76.5,21.0,55.0,,,,,,2023,5,15,14,4.06,280.0
1,60.64,8.729,3,131,50.5139222,-84.8124381,189,8.729,2023-05-15 14:35:05,,81.0,20.0,81.0,21.0,76.5,21.0,54.0,,,,,,2023,5,15,14,4.06,280.0
1,69.54,8.821,3,131,50.5139631,-84.8123199,182,8.821,2023-05-15 14:35:06,,82.0,21.0,80.0,20.5,76.5,21.0,53.0,,,,,,2023,5,15,14,4.06,280.0
1,78.37,8.757,3,131,50.514009,-84.8122087,170,8.757,2023-05-15 14:35:07,,82.0,22.5,75.0,19.5,78.5,21.0,51.0,,,,,,2023,5,15,14,4.06,280.0
1,87.68,9.176,3,131,50.5140503,-84.8120905,161,9.176,2023-05-15 14:35:08,,83.0,19.5,71.5,20.0,73.5,21.0,48.0,,,,,,2023,5,15,14,4.06,280.0
1,96.61,8.991,3,131,50.5140956,-84.8119721,152,8.991,2023-05-15 14:35:09,,83.0,19.0,70.0,19.0,70.0,21.0,45.0,,,,,,2023,5,15,14,4.06,280.0
1,105.05,8.69,3,131,50.5141402,-84.8118646,126,8.69,2023-05-15 14:35:10,,83.0,19.0,68.5,18.0,66.5,21.0,52.0,,,,,,2023,5,15,14,4.06,280.0
2,113.65,8.525,3,131,50.5141821,-84.8117536,118,8.525,2023-05-15 14:35:11,,83.0,19.5,68.5,17.0,64.5,21.0,55.0,,,,,,2023,5,15,14,4.06,280.0
2,122.38,8.685,3,132,50.5142274,-84.8116444,132,8.685,2023-05-15 14:35:12,,83.0,20.5,72.5,16.5,66.0,21.0,52.0,25.0,25.0,,,,2023,5,15,14,4.06,280.0
2,130.6,8.516,3,133,50.5142632,-84.8115384,144,8.516,2023-05-15 14:35:13,,83.0,22.0,74.5,21.0,79.5,21.0,54.0,25.0,25.0,0.0,0.0,0.0,2023,5,15,14,4.06,280.0
2,139.57,8.682,3,134,50.5143095,-84.8114256,152,8.682,2023-05-15 14:35:14,,83.0,21.0,71.5,20.5,75.0,21.0,54.0,25.200000000000045,25.200000000000045,0.0,0.0,0.0,2023,5,15,14,4.06,280.0
2,148.06,8.522,3,134,50.5143548,-84.8113169,151,8.522,2023-05-15 14:35:15,,82.0,22.0,75.5,19.0,70.0,21.0,53.0,25.200000000000045,25.200000000000045,0.0,0.0,0.0,2023,5,15,14,4.06,280.0
2,156.64,8.56,3,134,50.5144009,-84.8112062,150,8.56,2023-05-15 14:35:16,,82.0,24.5,85.0,18.0,68.5,21.0,53.0,25.200000000000045,25.200000000000045,0.0,0.0,0.0,2023,5,15,14,4.06,280.0
3,164.72,8.218,3,135,50.5144417,-84.8111065,149,8.218,2023-05-15 14:35:17,,82.0,23.0,85.0,18.0,68.0,21.0,53.0,25.200000000000045,25.200000000000045,0.0,0.0,0.0,2023,5,15,14,4.06,280.0
3,173.22,8.423,3,135,50.5144826,-84.8109979,158,8.423,2023-05-15 14:35:18,,82.0,21.5,78.5,18.0,68.0,21.0,52.0,25.399999999999977,25.399999999999977,0.0,0.0,0.0,2023,5,15,14,4.06,280.0
3,181.48,8.316,3,134,50.5145275,-84.8108896,153,8.316,2023-05-15 14:35:19,,81.0,21.0,72.0,18.0,68.0,21.0,51.0,25.399999999999977,25.399999999999977,0.0,0.0,0.0,2023,5,15,14,4.06,280.0
3,190.04,8.495,3,134,50.5145691,-84.8107794,147,8.495,2023-05-15 14:35:20,,72.0,19.5,73.0,18.0,68.0,21.0,48.0,25.399999999999977,25.399999999999977,0.0,0.0,0.0,2023,5,15,14,4.06,280.0
3,198.17,8.209,3,133,50.5146056,-84.8106704,140,8.209,2023-05-15 14:35:21,,64.0,3.0,78.0,18.0,66.5,21.0,46.0,25.399999999999977,25.399999999999977,0.0,0.0,0.0,2023,5,15,14,4.06,280.0
3,206.54,8.319,3,133,50.5146422,-84.8105606,133,8.319,2023-05-15 14:35:22,,55.0,14.5,83.5,18.0,66.0,21.0,43.0,25.399999999999977,25.399999999999977,0.0,0.0,0.0,2023,5,15,14,4.06,280.0
