cadence,calories,distance,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,timestamp,battery_soc,heart_rate,left_right_balance,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
74,0,0.0,7.945,3,18.5,70.0,50.5120176,-84.8161269,127,27.5,85.0,7.945,2023-05-16 13:36:47,,,,,,,,,,2023,5,16,13,4.46,16.0
75,0,7.66,7.838,3,19.0,70.5,50.5120684,-84.8160386,110,26.5,83.0,7.838,2023-05-16 13:36:48,98.0,118.0,49.0,,,,,,,2023,5,16,13,4.46,16.0
77,0,15.32,7.731,3,19.5,70.5,50.5121191,-84.8159504,116,25.5,81.0,7.731,2023-05-16 13:36:49,,118.0,50.0,23.0,,,,,,2023,5,16,13,4.46,16.0
79,0,22.8,7.511,2,20.0,71.0,50.5121725,-84.8158718,127,24.0,78.5,7.511,2023-05-16 13:36:50,,118.0,51.0,23.0,,,,,,2023,5,16,13,4.46,16.0
81,0,29.42,6.939,2,20.5,71.5,50.5122172,-84.8157913,138,23.0,76.5,6.939,2023-05-16 13:36:51,,119.0,52.0,23.0,,,,,,2023,5,16,13,4.46,16.0
79,0,37.15,7.505,2,21.0,72.0,50.5122761,-84.8157184,139,22.0,74.5,7.505,2023-05-16 13:36:52,,119.0,53.0,23.0,,,,,,2023,5,16,13,4.46,16.0
75,0,44.66,7.479,2,21.5,72.0,50.5123315,-84.8156356,129,21.0,72.5,7.479,2023-05-16 13:36:53,,119.0,54.0,23.0,,,,,,2023,5,16,13,4.46,16.0
75,0,51.63,7.15,2,22.0,73.0,50.512372,-84.8155547,129,20.5,71.0,7.15,2023-05-16 13:36:54,,119.0,56.0,23.0,,,,,,2023,5,16,13,4.46,16.0
75,0,58.65,6.968,2,22.5,78.5,50.5124178,-84.8154721,149,22.5,74.5,6.968,2023-05-16 13:36:55,,119.0,57.0,23.0,,,,,,2023,5,16,13,4.46,16.0
75,1,65.51,6.953,2,20.0,66.5,50.5124542,-84.8153813,145,21.0,75.0,6.953,2023-05-16 13:36:56,,120.0,42.0,23.0,,,,,,2023,5,16,13,4.46,16.0
76,1,72.46,6.92,2,19.0,64.5,50.5124908,-84.8152988,140,20.0,75.0,6.92,2023-05-16 13:36:57,,120.0,47.0,23.0,,,,,,2023,5,16,13,4.46,16.0
76,1,79.93,7.448,2,21.0,80.0,50.5125393,-84.8152107,137,20.0,75.0,7.448,2023-05-16 13:36:58,,120.0,53.0,23.0,,,,,,2023,5,16,13,4.46,16.0
57,1,88.31,7.99,2,14.0,52.5,50.5126002,-84.8151256,100,17.5,70.0,7.99,2023-05-16 13:36:59,,119.0,45.0,23.0,,,,,,2023,5,16,13,4.46,16.0
35,1,95.12,7.374,2,11.5,45.5,50.5126394,-84.8150384,77,17.0,65.5,7.374,2023-05-16 13:37:00,,119.0,61.0,23.0,,,,,,2023,5,16,13,4.46,16.0
39,1,102.33,7.061,2,9.0,41.0,50.5126772,-84.8149534,55,17.0,61.0,7.061,2023-05-16 13:37:01,,119.0,77.0,23.0,,,,,,2023,5,16,13,4.46,16.0
72,1,109.18,6.903,2,11.0,48.5,50.512718,-84.8148627,61,16.0,56.0,6.903,2023-05-16 13:37:02,,119.0,67.0,23.0,,,,,,2023,5,16,13,4.46,16.0
52,1,116.1,6.938,2,19.0,68.5,50.51275,-84.8147806,64,13.5,51.5,6.938,2023-05-16 13:37:03,,120.0,49.0,23.0,,,,,,2023,5,16,13,4.46,16.0
32,1,122.85,6.83,2,19.5,69.5,50.5127861,-84.8146904,66,14.5,53.0,6.83,2023-05-16 13:37:04,,120.0,39.0,23.0,,,,,,2023,5,16,13,4.46,16.0
12,1,129.43,6.575,2,20.0,70.5,50.5128185,-84.8146072,68,15.0,54.0,6.575,2023-05-16 13:37:05,,120.0,30.0,23.0,,,,,,2023,5,16,13,4.46,16.0
0,1,136.07,6.608,2,20.5,71.5,50.5128548,-84.8145254,0,16.0,55.5,6.608,2023-05-16 13:37:06,,120.0,20.0,23.0,,,,,,2023,5,16,13,4.46,16.0
23,1,142.78,6.713,2,20.5,72.0,50.5128956,-84.8144437,13,17.0,56.5,6.713,2023-05-16 13:37:07,,120.0,11.0,23.0,,,,,,2023,5,16,13,4.46,16.0
30,1,150.39,7.384,2,21.0,73.0,50.5129411,-84.8143527,27,17.5,57.5,7.384,2023-05-16 13:37:08,,121.0,12.0,23.0,,,,,,2023,5,16,13,4.46,16.0
59,1,158.48,7.895,2,21.5,74.0,50.5129959,-84.8142613,113,18.5,59.0,7.895,2023-05-16 13:37:09,,121.0,30.0,23.0,,,,,,2023,5,16,13,4.46,16.0
75,2,172.35,12.388,3,21.0,70.0,50.5131089,-84.8141346,153,20.5,68.0,12.388,2023-05-16 13:37:10,,121.0,49.0,23.0,,,,,,2023,5,16,13,4.46,16.0
78,2,183.47,11.602,3,20.0,69.0,50.5131883,-84.8140116,180,22.0,74.0,11.602,2023-05-16 13:37:11,,122.0,49.0,23.0,,,,,,2023,5,16,13,4.46,16.0
81,2,193.13,9.914,3,19.0,69.0,50.5132417,-84.8138881,187,23.0,78.0,9.914,2023-05-16 13:37:12,,122.0,50.0,23.0,-21.600000000000023,0.0,0.0,-21.600000000000023,0.0,2023,5,16,13,4.46,16.0
82,2,202.3,9.351,3,18.0,68.5,50.5132917,-84.813779,182,23.0,79.0,9.351,2023-05-16 13:37:13,,122.0,50.0,23.0,-21.600000000000023,0.0,0.0,-21.600000000000023,0.0,2023,5,16,13,4.46,16.0
83,2,210.55,8.498,3,18.5,62.5,50.5133421,-84.8136781,162,19.5,64.0,8.498,2023-05-16 13:37:14,,122.0,50.0,23.0,-21.399999999999977,0.0,0.0,-21.399999999999977,0.0,2023,5,16,13,4.46,16.0
79,2,219.47,8.874,3,20.5,69.0,50.5133919,-84.8135605,148,18.5,64.0,8.874,2023-05-16 13:37:15,,122.0,59.0,23.0,-21.399999999999977,0.0,0.0,-21.399999999999977,0.0,2023,5,16,13,4.46,16.0
77,3,227.8,8.459,3,22.5,76.5,50.5134328,-84.8134605,171,18.0,65.5,8.459,2023-05-16 13:37:16,,122.0,59.0,23.0,-21.399999999999977,0.0,0.0,-21.399999999999977,0.0,2023,5,16,13,4.46,16.0
78,3,236.28,8.478,3,24.0,82.5,50.5134737,-84.8133514,192,18.5,69.5,8.478,2023-05-16 13:37:17,,122.0,55.0,23.0,-21.399999999999977,0.0,0.0,-21.399999999999977,0.0,2023,5,16,13,4.46,16.0
79,3,244.97,8.645,3,24.0,81.5,50.5135191,-84.8132424,192,24.5,89.5,8.645,2023-05-16 13:37:18,,122.0,52.0,23.0,-21.399999999999977,0.0,0.0,-21.399999999999977,0.0,2023,5,16,13,4.46,16.0
80,3,253.66,8.664,3,22.0,76.0,50.5135647,-84.813133,187,25.0,91.0,8.664,2023-05-16 13:37:19,,122.0,49.0,23.0,-21.399999999999977,0.0,0.0,-21.399999999999977,0.0,2023,5,16,13,4.46,16.0
82,3,262.38,8.724,3,21.0,74.5,50.5136146,-84.813024,177,24.5,89.5,8.724,2023-05-16 13:37:20,,122.0,49.0,23.0,-21.600000000000023,0.0,0.0,-21.600000000000023,0.0,2023,5,16,13,4.46,16.0
82,3,270.98,8.621,3,21.5,75.5,50.5136604,-84.8129142,177,24.0,87.0,8.621,2023-05-16 13:37:21,,121.0,50.0,23.0,-21.600000000000023,0.0,0.0,-21.600000000000023,0.0,2023,5,16,13,4.46,16.0
82,4,279.24,8.372,3,22.0,77.0,50.5137102,-84.8128145,178,23.5,85.0,8.372,2023-05-16 13:37:22,,120.0,52.0,23.0,-21.80000000000001,0.0,0.0,-21.80000000000001,0.0,2023,5,16,13,4.46,16.0
81,4,286.68,7.644,3,22.0,78.0,50.5137378,-84.812714,177,23.0,82.5,7.644,2023-05-16 13:37:23,,120.0,53.0,23.0,-21.80000000000001,0.0,0.0,-21.80000000000001,0.0,2023,5,16,13,4.46,16.0
80,4,295.0,8.167,2,22.5,79.0,50.5137785,-84.8126055,180,22.5,80.5,8.167,2023-05-16 13:37:24,,120.0,53.0,23.0,-21.80000000000001,0.0,0.0,-21.80000000000001,0.0,2023,5,16,13,4.46,16.0
80,4,303.03,8.064,2,23.0,80.0,50.5138241,-84.812505,182,22.0,78.5,8.064,2023-05-16 13:37:25,,120.0,55.0,23.0,-21.80000000000001,0.0,0.0,-21.80000000000001,0.0,2023,5,16,13,4.46,16.0
80,4,311.17,8.239,2,23.0,79.0,50.5138641,-84.8123985,184,22.0,77.5,8.239,2023-05-16 13:37:26,,120.0,55.0,23.0,-21.80000000000001,0.0,0.0,-21.80000000000001,0.0,2023,5,16,13,4.46,16.0
80,5,319.95,8.534,2,23.0,75.5,50.5139015,-84.8122866,184,22.5,78.5,8.534,2023-05-16 13:37:27,,120.0,54.0,23.0,-21.600000000000023,0.0,0.0,-21.600000000000023,0.0,2023,5,16,13,4.46,16.0
80,5,328.15,8.387,2,21.0,70.5,50.5139371,-84.8121798,183,21.5,77.0,8.387,2023-05-16 13:37:28,,120.0,52.0,23.0,-21.600000000000023,0.0,0.0,-21.600000000000023,0.0,2023,5,16,13,4.46,16.0
82,5,337.16,8.741,2,24.5,82.5,50.5139835,-84.8120677,202,23.0,79.5,8.741,2023-05-16 13:37:29,,120.0,51.0,23.0,-21.600000000000023,0.0,0.0,-21.600000000000023,0.0,2023,5,16,13,4.46,16.0
83,5,345.84,8.718,2,20.5,78.5,50.5140287,-84.8119502,248,26.5,88.5,8.718,2023-05-16 13:37:30,,120.0,52.0,23.0,-21.600000000000023,0.0,0.0,-21.600000000000023,0.0,2023,5,16,13,4.46,16.0
84,5,352.84,7.407,2,18.0,74.5,50.5140563,-84.8118587,242,27.5,91.0,7.407,2023-05-16 13:37:31,,119.0,53.0,23.0,-21.600000000000023,0.0,0.0,-21.600000000000023,0.0,2023,5,16,13,4.46,16.0
85,6,360.99,8.706,2,21.0,78.5,50.5141016,-84.8117588,227,25.0,85.0,8.706,2023-05-16 13:37:32,,119.0,53.0,22.0,-21.80000000000001,0.0,0.0,-21.80000000000001,0.0,2023,5,16,13,4.46,16.0
86,6,368.71,8.521,2,21.0,81.0,50.5141423,-84.8116595,233,25.0,92.0,8.521,2023-05-16 13:37:33,,120.0,53.0,22.0,-21.80000000000001,0.0,0.0,-21.80000000000001,0.0,2023,5,16,13,4.46,16.0
86,6,376.18,8.631,2,22.5,80.0,50.514178,-84.8115615,226,24.5,90.5,8.631,2023-05-16 13:37:34,,120.0,53.0,22.0,-21.80000000000001,0.0,0.0,-21.80000000000001,0.0,2023,5,16,13,4.46,16.0
86,6,384.63,8.657,2,22.5,77.0,50.5142245,-84.8114582,221,24.0,90.5,8.657,2023-05-16 13:37:35,,121.0,53.0,22.0,-21.600000000000023,0.0,0.0,-21.600000000000023,0.0,2023,5,16,13,4.46,16.0
86,7,392.61,8.637,2,20.5,71.5,50.5142611,-84.8113579,226,24.0,92.0,8.637,2023-05-16 13:37:36,,121.0,46.0,22.0,-21.80000000000001,0.0,0.0,-21.80000000000001,0.0,2023,5,16,13,4.46,16.0
