ascent,cadence,descent,enhanced_speed,gps_accuracy,left_right_balance,position_lat,position_long,power,speed,timestamp,battery_soc,calories,distance,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,heart_rate,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
0,81.0,0,0.0,3,48.0,50.5382184,-84.8203867,249.0,0.0,2023-05-16 00:10:43,,,,,,,,,,,,,2023,5,16,0,3.82,47.0
0,80.0,0,2.566,3,58.0,50.538182,-84.8203321,234.0,2.566,2023-05-16 00:10:44,27.0,0.0,0.0,26.5,89.0,23.5,84.5,19.0,,,,,2023,5,16,0,3.82,47.0
0,80.0,0,5.132,3,58.0,50.5381456,-84.8202775,220.0,5.132,2023-05-16 00:10:45,,0.0,2.67,27.5,90.5,23.5,86.5,19.0,112.0,,,,2023,5,16,0,3.82,47.0
0,82.0,0,5.628,3,55.0,50.5381092,-84.8202229,226.0,5.628,2023-05-16 00:10:46,,0.0,8.22,28.5,92.0,23.5,88.0,19.0,112.0,,,,2023,5,16,0,3.82,47.0
0,79.0,0,5.991,3,59.0,50.5380682,-84.8201682,226.0,5.991,2023-05-16 00:10:47,,0.0,13.95,29.0,94.0,23.5,90.0,19.0,112.0,,,,2023,5,16,0,3.82,47.0
0,81.0,0,5.956,3,56.0,50.5380272,-84.8200863,234.0,5.956,2023-05-16 00:10:48,,0.0,20.13,28.5,95.5,26.0,94.0,19.0,112.0,,,,2023,5,16,0,3.82,47.0
0,84.0,0,7.086,3,55.0,50.5379726,-84.8200135,251.0,7.086,2023-05-16 00:10:49,,1.0,27.21,27.5,96.0,29.5,98.5,19.0,112.0,,,,2023,5,16,0,3.82,47.0
0,89.0,0,7.433,3,57.0,50.537918,-84.8199407,261.0,7.433,2023-05-16 00:10:50,,1.0,34.64,28.0,93.0,30.0,99.5,19.0,112.0,,,,2023,5,16,0,3.82,47.0
0,87.0,0,7.344,3,58.0,50.5378497,-84.8198497,273.0,7.344,2023-05-16 00:10:51,,1.0,43.28,28.0,94.0,27.0,99.0,19.0,112.0,,,,2023,5,16,0,3.82,47.0
0,87.0,0,7.355,3,59.0,50.5377997,-84.8197769,285.0,7.355,2023-05-16 00:10:52,,2.0,50.88,28.0,95.0,24.5,98.5,19.0,112.0,,,,2023,5,16,0,3.82,47.0
0,88.0,0,7.109,3,58.0,50.5377542,-84.8196858,274.0,7.109,2023-05-16 00:10:53,,2.0,58.32,28.0,95.0,22.0,94.0,19.0,112.0,,,,2023,5,16,0,3.82,47.0
0,84.0,0,7.158,3,59.0,50.5377041,-84.8195948,237.0,7.158,2023-05-16 00:10:54,,2.0,65.83,27.5,93.5,21.0,86.5,19.0,112.0,,,,2023,5,16,0,3.82,47.0
0,85.0,0,7.359,3,59.0,50.537654,-84.8195038,215.0,7.359,2023-05-16 00:10:55,,2.0,73.34,26.5,91.5,20.5,81.0,19.0,112.0,,,,2023,5,16,0,3.82,47.0
0,79.0,0,7.599,3,57.0,50.5375994,-84.8194219,212.0,7.599,2023-05-16 00:10:56,,2.0,81.14,23.0,79.0,30.5,94.5,19.0,112.0,,,,2023,5,16,0,3.82,47.0
0,73.0,0,7.644,3,54.0,50.5375266,-84.8193399,209.0,7.644,2023-05-16 00:10:57,,3.0,89.87,25.0,84.0,31.0,97.0,19.0,112.0,,,,2023,5,16,0,3.82,47.0
