distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,heart_rate,cadence,calories,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
0.0,8.502,2,50.5295349,-84.814361,8.502,2023-05-16 23:07:47,,,,,,,,,,,,,,,,,2023,5,16,23,2.83,352.0
6.65,8.422,2,50.5294673,-84.814331,8.422,2023-05-16 23:07:48,91.0,148.0,,,,,,,,,,,,,,,2023,5,16,23,2.83,352.0
13.29,8.342,2,50.5293997,-84.814301,8.342,2023-05-16 23:07:49,,148.0,94.0,0.0,18.5,49.0,67.5,148.0,17.0,61.5,,,,,,,2023,5,16,23,2.83,352.0
20.77,8.304,2,50.5293246,-84.8142624,8.304,2023-05-16 23:07:50,,148.0,94.0,0.0,18.5,61.0,69.0,165.0,17.5,64.0,21.0,,,,,,2023,5,16,23,2.83,352.0
28.98,8.391,2,50.5292429,-84.8142119,8.391,2023-05-16 23:07:51,,147.0,93.0,0.0,18.5,57.0,70.0,171.0,18.0,67.0,21.0,,,,,,2023,5,16,23,2.83,352.0
37.46,8.47,2,50.529158,-84.8141622,8.47,2023-05-16 23:07:52,,147.0,93.0,0.0,18.5,53.0,70.0,175.0,18.5,68.5,21.0,,,,,,2023,5,16,23,2.83,352.0
45.72,8.419,2,50.5290759,-84.8141226,8.419,2023-05-16 23:07:53,,147.0,93.0,0.0,19.0,53.0,67.0,180.0,18.5,68.5,21.0,,,,,,2023,5,16,23,2.83,352.0
55.03,8.371,3,50.5289793,-84.8140863,8.371,2023-05-16 23:07:54,,147.0,93.0,0.0,18.0,54.0,65.0,169.0,19.0,67.0,21.0,,,,,,2023,5,16,23,2.83,352.0
64.97,8.358,3,50.5288759,-84.8140493,8.358,2023-05-16 23:07:55,,148.0,93.0,0.0,18.5,53.0,68.5,163.0,17.5,60.0,21.0,,,,,,2023,5,16,23,2.83,352.0
74.29,8.29,3,50.52878,-84.8140128,8.29,2023-05-16 23:07:56,,148.0,92.0,1.0,19.0,51.0,67.5,157.0,17.5,62.0,21.0,,,,,,2023,5,16,23,2.83,352.0
83.43,8.314,3,50.5286871,-84.8139713,8.314,2023-05-16 23:07:57,,148.0,92.0,1.0,20.0,55.0,68.5,149.0,18.5,67.0,21.0,,,,,,2023,5,16,23,2.83,352.0
92.5,8.376,3,50.5285936,-84.8139309,8.376,2023-05-16 23:07:58,,149.0,91.0,1.0,21.5,57.0,76.5,161.0,19.0,68.5,21.0,,,,,,2023,5,16,23,2.83,352.0
101.69,8.457,3,50.528498,-84.8138945,8.457,2023-05-16 23:07:59,,149.0,89.0,1.0,21.5,56.0,78.0,175.0,20.5,73.5,21.0,,,,,,2023,5,16,23,2.83,352.0
111.07,8.599,3,50.5284027,-84.8138531,8.599,2023-05-16 23:08:00,,148.0,87.0,1.0,22.0,55.0,80.0,216.0,22.0,78.0,21.0,,,,,,2023,5,16,23,2.83,352.0
120.51,8.656,2,50.5283075,-84.8138027,8.656,2023-05-16 23:08:01,,148.0,88.0,2.0,22.0,54.0,81.5,239.0,23.0,83.0,21.0,9.800000000000011,9.800000000000011,,,,2023,5,16,23,2.83,352.0
129.64,8.65,2,50.5282154,-84.8137586,8.65,2023-05-16 23:08:02,,148.0,88.0,2.0,22.0,56.0,83.5,210.0,24.5,87.5,21.0,10.0,10.0,0.0,0.0,0.0,2023,5,16,23,2.83,352.0
138.89,8.645,2,50.5281234,-84.8137168,8.645,2023-05-16 23:08:03,,148.0,88.0,2.0,18.5,57.0,68.0,172.0,20.5,78.0,21.0,10.0,10.0,0.0,0.0,0.0,2023,5,16,23,2.83,352.0
148.28,8.629,2,50.5280288,-84.8136656,8.629,2023-05-16 23:08:04,,148.0,88.0,2.0,17.0,56.0,60.5,132.0,16.0,62.0,21.0,9.800000000000011,9.800000000000011,0.0,0.0,0.0,2023,5,16,23,2.83,352.0
