distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,enhanced_altitude,ascent,battery_soc,cadence,calories,descent,grade,heart_rate,left_right_balance,power,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
0.0,6.64,2.0,50.542501,-84.8279142,6.64,2023-05-17 22:46:55,,,,,,,,,,,,,,,,,2023,5,17,22,0.95,108.0
5.38,6.762,2.0,50.5424667,-84.8278528,6.762,2023-05-17 22:46:56,55.200000000000045,55.200000000000045,,,,,,,,,,,,,,,2023,5,17,22,0.95,108.0
10.77,6.884,2.0,50.5424323,-84.8277914,6.884,2023-05-17 22:46:57,55.200000000000045,55.200000000000045,0.0,76.0,78.0,0.0,0.0,0.0,107.0,42.0,150.0,,,,,,2023,5,17,22,0.95,108.0
16.97,6.993,2.0,50.5423948,-84.82772,6.993,2023-05-17 22:46:58,55.0,55.0,0.0,,80.0,0.0,0.0,0.0,107.0,48.0,153.0,22.5,70.0,21.5,72.0,22.0,2023,5,17,22,0.95,108.0
24.15,7.172,2.0,50.5423497,-84.8276385,7.172,2023-05-17 22:46:59,54.799999999999955,54.799999999999955,0.0,,80.0,0.0,0.0,0.0,107.0,54.0,158.0,23.5,72.5,20.0,68.0,22.0,2023,5,17,22,0.95,108.0
31.53,7.369,2.0,50.5422997,-84.8275568,7.369,2023-05-17 22:47:00,54.799999999999955,54.799999999999955,0.0,,78.0,0.0,0.0,0.0,107.0,49.0,142.0,25.0,75.5,18.5,64.0,22.0,2023,5,17,22,0.95,108.0
39.06,7.501,2.0,50.5422494,-84.8274701,7.501,2023-05-17 22:47:01,54.799999999999955,54.799999999999955,0.0,,75.0,0.0,0.0,0.0,107.0,49.0,140.0,26.0,78.0,17.0,60.0,22.0,2023,5,17,22,0.95,108.0
46.7,7.671,2.0,50.5421974,-84.8273794,7.671,2023-05-17 22:47:02,54.799999999999955,54.799999999999955,0.0,,76.0,0.0,0.0,0.0,107.0,51.0,145.0,26.5,79.0,16.0,58.5,22.0,2023,5,17,22,0.95,108.0
54.48,7.886,2.0,50.5421449,-84.8272927,7.886,2023-05-17 22:47:03,54.60000000000002,54.60000000000002,0.0,,78.0,0.0,0.0,0.0,107.0,56.0,158.0,24.5,74.0,18.0,64.5,22.0,2023,5,17,22,0.95,108.0
62.51,8.161,2.0,50.5420904,-84.8272063,8.161,2023-05-17 22:47:04,54.39999999999998,54.39999999999998,0.0,,82.0,1.0,0.0,0.0,108.0,66.0,178.0,30.5,92.5,17.5,65.0,22.0,2023,5,17,22,0.95,108.0
