battery_soc,cadence,calories,distance,enhanced_speed,gps_accuracy,left_right_balance,position_lat,position_long,power,speed,timestamp,temperature,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
86.0,48,0,0.0,2.92,2,59.0,50.510402,-84.8163362,122,2.92,2023-05-25 14:03:28,,,,,,,,,,,2023,5,25,14,1.94,192.0
,49,0,2.59,3.368,2,60.0,50.5104112,-84.8163732,119,3.368,2023-05-25 14:03:29,,,,,,,,,,,2023,5,25,14,1.94,192.0
,50,0,6.57,3.773,2,62.0,50.5104188,-84.8164291,116,3.773,2023-05-25 14:03:30,18.0,,,,,,,,,,2023,5,25,14,1.94,192.0
,51,0,10.81,3.924,2,56.0,50.5104308,-84.8164879,116,3.924,2023-05-25 14:03:31,18.0,22.5,79.5,19.0,68.0,,,,,,2023,5,25,14,1.94,192.0
,51,0,14.94,4.078,2,61.0,50.5104515,-84.8165353,111,4.078,2023-05-25 14:03:32,18.0,22.0,76.0,19.5,69.5,,,,,,2023,5,25,14,1.94,192.0
,52,0,19.19,4.215,3,66.0,50.5104848,-84.8165808,106,4.215,2023-05-25 14:03:33,18.0,21.0,72.5,19.0,69.0,,,,,,2023,5,25,14,1.94,192.0
,52,0,23.77,4.502,2,58.0,50.5105208,-84.8166258,92,4.502,2023-05-25 14:03:34,18.0,17.0,69.0,14.0,51.0,,,,,,2023,5,25,14,1.94,192.0
,53,0,28.84,4.917,2,64.0,50.5105644,-84.8166716,85,4.917,2023-05-25 14:03:35,18.0,17.0,65.5,12.5,48.0,,,,,,2023,5,25,14,1.94,192.0
,54,0,33.67,4.872,2,62.0,50.5106096,-84.8167029,80,4.872,2023-05-25 14:03:36,18.0,18.0,64.5,13.0,50.5,,,,,,2023,5,25,14,1.94,192.0
,55,0,37.95,4.407,2,58.0,50.5106484,-84.8167304,78,4.407,2023-05-25 14:03:37,18.0,18.0,64.0,14.5,54.0,,,,,,2023,5,25,14,1.94,192.0
,56,0,41.68,3.893,2,55.0,50.5106849,-84.8167577,71,3.893,2023-05-25 14:03:38,18.0,15.5,61.5,14.0,53.5,,,,,,2023,5,25,14,1.94,192.0
