distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,cadence,calories,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,battery_soc,temperature,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
0.0,9.462,3,50.5307136,-84.8152622,9.462,2023-05-25 22:10:38,,,,,,,,,,,,,,,,2023,5,25,22,3.19,212.0
8.26,9.415,3,50.5306294,-84.815223,9.415,2023-05-25 22:10:39,81.0,0.0,23.0,58.0,80.0,176.0,24.5,89.5,,,,,,,,2023,5,25,22,3.19,212.0
16.53,9.368,3,50.5305453,-84.8151839,9.368,2023-05-25 22:10:40,81.0,0.0,19.5,54.0,70.5,164.0,23.0,79.0,82.0,,,,,,,2023,5,25,22,3.19,212.0
28.32,9.51,3,50.5304239,-84.8151284,9.51,2023-05-25 22:10:41,81.0,0.0,18.0,53.0,65.0,152.0,20.5,70.0,,,,,,,,2023,5,25,22,3.19,212.0
37.98,9.346,3,50.5303267,-84.8150822,9.346,2023-05-25 22:10:42,81.0,0.0,20.0,54.0,66.0,147.0,17.0,66.5,,18.0,,,,,,2023,5,25,22,3.19,212.0
47.45,9.343,2,50.5302273,-84.8150456,9.343,2023-05-25 22:10:43,81.0,0.0,20.0,55.0,69.5,146.0,21.5,76.0,,18.0,,,,,,2023,5,25,22,3.19,212.0
56.89,9.375,2,50.530135,-84.8149915,9.375,2023-05-25 22:10:44,81.0,0.0,21.0,57.0,76.5,153.0,18.5,66.5,,18.0,-4.199999999999989,-4.199999999999989,,,,2023,5,25,22,3.19,212.0
65.87,9.212,2,50.5300439,-84.8149455,9.212,2023-05-25 22:10:45,81.0,0.0,21.0,55.0,76.0,157.0,17.0,63.0,,18.0,-4.199999999999989,-4.199999999999989,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
74.88,9.17,2,50.5299541,-84.8149006,9.17,2023-05-25 22:10:46,81.0,0.0,21.0,53.0,74.0,153.0,17.5,66.0,,18.0,-4.199999999999989,-4.199999999999989,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
84.04,9.197,2,50.5298628,-84.814855,9.197,2023-05-25 22:10:47,80.0,1.0,22.5,51.0,79.5,154.0,18.0,67.0,,18.0,-4.0,-4.0,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
92.63,9.189,2,50.5297764,-84.8148117,9.189,2023-05-25 22:10:48,80.0,1.0,24.5,50.0,84.5,157.0,18.0,68.0,,18.0,-4.199999999999989,-4.199999999999989,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
102.32,9.275,2,50.5296782,-84.8147648,9.275,2023-05-25 22:10:49,80.0,1.0,25.0,60.0,86.0,165.0,19.0,72.5,,18.0,-4.199999999999989,-4.199999999999989,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
112.03,9.316,2,50.5295768,-84.8147185,9.316,2023-05-25 22:10:50,80.0,1.0,24.0,58.0,82.5,170.0,19.5,74.0,,18.0,-4.199999999999989,-4.199999999999989,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
121.68,9.347,2,50.5294796,-84.8146724,9.347,2023-05-25 22:10:51,81.0,1.0,22.5,58.0,79.0,182.0,19.5,74.0,,18.0,-4.199999999999989,-4.199999999999989,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
130.47,9.344,2,50.5293909,-84.8146281,9.344,2023-05-25 22:10:52,81.0,1.0,23.0,59.0,80.5,183.0,20.0,75.5,,18.0,-4.0,-4.0,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
139.83,9.432,2,50.529296,-84.8145828,9.432,2023-05-25 22:10:53,82.0,2.0,23.5,60.0,82.0,184.0,21.0,77.0,,18.0,-4.199999999999989,-4.199999999999989,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
148.86,9.341,2,50.5292059,-84.8145379,9.341,2023-05-25 22:10:54,82.0,2.0,23.5,59.0,82.0,183.0,21.0,77.5,,18.0,-4.199999999999989,-4.199999999999989,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
157.89,9.418,2,50.5291164,-84.8144824,9.418,2023-05-25 22:10:55,82.0,2.0,23.0,57.0,81.0,179.0,20.0,76.0,,18.0,-4.199999999999989,-4.199999999999989,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
166.97,9.399,2,50.5290263,-84.8144282,9.399,2023-05-25 22:10:56,82.0,2.0,22.5,55.0,80.0,177.0,19.0,75.5,,18.0,-4.399999999999977,-4.399999999999977,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
175.96,9.415,2,50.5289393,-84.814382,9.415,2023-05-25 22:10:57,82.0,2.0,21.5,53.0,79.5,179.0,21.0,80.0,,18.0,-4.399999999999977,-4.399999999999977,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
184.67,9.43,2,50.5288542,-84.8143288,9.43,2023-05-25 22:10:58,82.0,3.0,22.0,57.0,80.0,197.0,23.5,86.0,,18.0,-4.399999999999977,-4.399999999999977,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
194.2,9.457,2,50.5287571,-84.8142815,9.457,2023-05-25 22:10:59,82.0,3.0,22.5,56.0,81.5,205.0,24.5,89.0,,18.0,-4.600000000000023,-4.600000000000023,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
203.2,9.445,2,50.5286685,-84.8142373,9.445,2023-05-25 22:11:00,82.0,3.0,23.0,53.0,81.5,202.0,23.5,86.5,,18.0,-4.600000000000023,-4.600000000000023,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
212.63,9.459,2,50.5285731,-84.8141917,9.459,2023-05-25 22:11:01,82.0,3.0,21.5,52.0,77.5,186.0,21.5,80.0,,18.0,-4.600000000000023,-4.600000000000023,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
222.47,9.482,2,50.5284707,-84.814145,9.482,2023-05-25 22:11:02,82.0,3.0,20.5,53.0,74.5,174.0,20.5,78.5,,18.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
231.66,9.561,2,50.5283801,-84.8140999,9.561,2023-05-25 22:11:03,81.0,4.0,20.0,52.0,71.0,167.0,21.5,77.0,,18.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
241.08,9.39,2,50.5282848,-84.8140544,9.39,2023-05-25 22:11:04,81.0,4.0,21.0,52.0,73.0,173.0,22.5,79.0,,18.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
250.1,9.222,2,50.5281917,-84.8140101,9.222,2023-05-25 22:11:05,81.0,4.0,22.5,51.0,77.0,177.0,23.5,82.5,,18.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
259.5,9.324,2,50.5280989,-84.8139639,9.324,2023-05-25 22:11:06,81.0,4.0,23.0,52.0,80.0,170.0,24.0,84.5,,18.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
268.9,9.354,2,50.5280044,-84.8139104,9.354,2023-05-25 22:11:07,81.0,4.0,20.0,53.0,71.5,157.0,19.5,72.5,,18.0,-5.0,-5.0,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
278.37,9.369,2,50.5279072,-84.8138633,9.369,2023-05-25 22:11:08,81.0,4.0,18.5,56.0,66.5,130.0,18.0,64.0,,18.0,-5.0,-5.0,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
287.9,9.404,2,50.5278101,-84.8138171,9.404,2023-05-25 22:11:09,82.0,4.0,17.5,56.0,63.5,122.0,17.0,61.5,,18.0,-5.199999999999989,-5.199999999999989,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
297.26,9.496,2,50.5277161,-84.8137808,9.496,2023-05-25 22:11:10,82.0,5.0,17.5,55.0,62.5,114.0,16.0,61.0,,18.0,-5.399999999999977,-5.399999999999977,0.0,0.0,0.0,2023,5,25,22,3.19,212.0
