distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,cadence,calories,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,left_right_balance,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
5.34,7.565,3,50.5319531,-84.8156801,7.565,2023-05-26 21:50:28,,,,,,,,,,,,,,,,2023,5,26,21,4.47,236.0
10.67,7.664,3,50.5319001,-84.8156521,7.664,2023-05-26 21:50:29,76.0,87.0,0.0,23.0,79.5,236.0,22.5,86.5,17.0,,,,,,,2023,5,26,21,4.47,236.0
16.24,7.794,3,50.5318445,-84.8156233,7.794,2023-05-26 21:50:30,,87.0,0.0,25.0,84.5,241.0,23.0,86.0,17.0,,,,,,,2023,5,26,21,4.47,236.0
24.53,8.247,2,50.5317581,-84.815587,8.247,2023-05-26 21:50:31,,88.0,0.0,27.5,90.5,248.0,23.0,84.0,17.0,53.0,,,,,,2023,5,26,21,4.47,236.0
32.85,8.211,2,50.5316722,-84.8155508,8.211,2023-05-26 21:50:32,,89.0,0.0,28.5,94.5,260.0,24.0,83.5,17.0,50.0,,,,,,2023,5,26,21,4.47,236.0
41.19,8.147,2,50.5315863,-84.8155145,8.147,2023-05-26 21:50:33,,90.0,0.0,23.5,82.5,272.0,27.0,95.5,17.0,47.0,,,,,,2023,5,26,21,4.47,236.0
49.33,7.96,2,50.531504,-84.8154781,7.96,2023-05-26 21:50:34,,90.0,1.0,26.0,88.5,235.0,25.5,92.0,17.0,49.0,,,,,,2023,5,26,21,4.47,236.0
57.69,8.202,2,50.5314175,-84.8154415,8.202,2023-05-26 21:50:35,,91.0,1.0,29.0,95.5,230.0,24.0,88.0,17.0,50.0,,,,,,2023,5,26,21,4.47,236.0
65.74,8.283,2,50.5313374,-84.8154057,8.283,2023-05-26 21:50:36,,92.0,1.0,28.5,93.0,238.0,23.0,85.5,17.0,51.0,,,,,,2023,5,26,21,4.47,236.0
74.62,8.439,2,50.5312458,-84.8153602,8.439,2023-05-26 21:50:37,,92.0,1.0,24.5,83.5,250.0,22.5,84.5,17.0,52.0,,,,,,2023,5,26,21,4.47,236.0
83.28,8.377,2,50.5311572,-84.8153231,8.377,2023-05-26 21:50:38,,92.0,2.0,24.0,90.0,244.0,21.0,80.5,17.0,53.0,,,,,,2023,5,26,21,4.47,236.0
92.13,8.646,3,50.531066,-84.8152867,8.646,2023-05-26 21:50:39,,89.0,2.0,25.5,93.0,262.0,22.5,85.0,17.0,53.0,,,,,,2023,5,26,21,4.47,236.0
101.35,8.671,3,50.5309708,-84.8152503,8.671,2023-05-26 21:50:40,,88.0,2.0,26.5,95.5,265.0,23.5,89.5,17.0,54.0,,,,,,2023,5,26,21,4.47,236.0
110.52,9.027,3,50.5308793,-84.8152139,9.027,2023-05-26 21:50:41,,88.0,2.0,26.5,94.0,269.0,24.5,92.0,17.0,53.0,,,,,,2023,5,26,21,4.47,236.0
119.61,8.774,3,50.5307835,-84.8151767,8.774,2023-05-26 21:50:42,,89.0,3.0,24.5,88.5,267.0,24.5,91.5,17.0,53.0,,,,,,2023,5,26,21,4.47,236.0
128.98,9.013,3,50.5306878,-84.8151311,9.013,2023-05-26 21:50:43,,89.0,3.0,25.0,88.5,258.0,24.0,90.0,17.0,55.0,,,,,,2023,5,26,21,4.47,236.0
138.38,8.999,3,50.5305938,-84.8150868,8.999,2023-05-26 21:50:44,,90.0,3.0,25.0,88.0,267.0,23.5,88.0,17.0,51.0,,,,,,2023,5,26,21,4.47,236.0
147.44,9.102,3,50.5305018,-84.8150495,9.102,2023-05-26 21:50:45,,91.0,3.0,25.5,88.0,265.0,23.0,86.5,17.0,51.0,,,,,,2023,5,26,21,4.47,236.0
156.64,8.993,3,50.5304063,-84.8150038,8.993,2023-05-26 21:50:46,,91.0,4.0,25.5,89.5,264.0,24.0,88.5,17.0,52.0,,,,,,2023,5,26,21,4.47,236.0
165.87,9.051,3,50.5303153,-84.8149583,9.051,2023-05-26 21:50:47,,91.0,4.0,26.0,93.0,273.0,26.0,93.5,17.0,52.0,,,,,,2023,5,26,21,4.47,236.0
174.75,8.823,3,50.5302236,-84.8149163,8.823,2023-05-26 21:50:48,,91.0,4.0,28.0,96.0,279.0,26.0,93.5,17.0,53.0,,,,,,2023,5,26,21,4.47,236.0
184.88,8.889,5,50.5301144,-84.8149101,8.889,2023-05-26 21:50:49,,90.0,5.0,28.0,95.0,254.0,24.5,90.0,17.0,52.0,,,,,,2023,5,26,21,4.47,236.0
195.39,8.721,4,50.5300171,-84.8148316,8.721,2023-05-26 21:50:50,,89.0,5.0,28.0,94.5,250.0,23.0,87.0,17.0,53.0,,,,,,2023,5,26,21,4.47,236.0
203.68,8.755,3,50.529938,-84.8147862,8.755,2023-05-26 21:50:51,,89.0,5.0,27.0,93.0,255.0,22.5,85.0,17.0,54.0,,,,,,2023,5,26,21,4.47,236.0
212.44,8.76,3,50.529847,-84.814749,8.76,2023-05-26 21:50:52,,89.0,5.0,26.0,91.5,262.0,22.5,85.5,17.0,55.0,,,,,,2023,5,26,21,4.47,236.0
