distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,cadence,calories,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
0.0,3.2,3,50.5107524,-84.8162634,3.2,2023-05-26 13:29:58,,,,,,,,,,,,,,,,2023,5,26,13,3.83,237.0
2.89,3.787,3,50.5107765,-84.8162875,3.787,2023-05-26 13:29:59,78.0,71.0,0.0,25.5,53.0,93.5,170.0,22.5,84.5,,,,,,,2023,5,26,13,3.83,237.0
6.48,4.359,3,50.5108076,-84.8163172,4.359,2023-05-26 13:30:00,,73.0,0.0,21.5,49.0,81.0,172.0,24.0,89.5,,,,,,,2023,5,26,13,3.83,237.0
14.48,4.826,3,50.5108819,-84.8163837,4.826,2023-05-26 13:30:01,,74.0,0.0,20.0,48.0,74.0,174.0,25.0,87.0,,,,,,,2023,5,26,13,3.83,237.0
20.27,5.071,2,50.5109314,-84.8164349,5.071,2023-05-26 13:30:02,,77.0,0.0,21.5,50.0,74.5,169.0,25.0,76.5,,,,,,,2023,5,26,13,3.83,237.0
26.2,4.84,2,50.5109799,-84.8164863,4.84,2023-05-26 13:30:03,,77.0,0.0,23.0,54.0,77.0,169.0,22.5,77.5,18.0,,,,,,2023,5,26,13,3.83,237.0
32.93,5.15,2,50.5110416,-84.8165401,5.15,2023-05-26 13:30:04,,73.0,0.0,18.0,51.0,69.5,153.0,22.5,77.5,18.0,,,,,,2023,5,26,13,3.83,237.0
38.31,5.63,2,50.5110931,-84.8165735,5.63,2023-05-26 13:30:05,,71.0,0.0,18.0,52.0,68.5,133.0,22.5,74.0,18.0,,,,,,2023,5,26,13,3.83,237.0
42.21,4.346,2,50.5111294,-84.8166008,4.346,2023-05-26 13:30:06,,70.0,0.0,21.0,56.0,72.0,118.0,21.5,70.5,18.0,,,,,,2023,5,26,13,3.83,237.0
46.03,3.974,2,50.5111686,-84.8166121,3.974,2023-05-26 13:30:07,,71.0,1.0,23.0,57.0,77.0,119.0,20.0,68.0,18.0,,,,,,2023,5,26,13,3.83,237.0
50.55,4.372,2,50.5112143,-84.8165938,4.372,2023-05-26 13:30:08,,74.0,1.0,25.5,53.0,82.0,157.0,18.0,66.0,18.0,,,,,,2023,5,26,13,3.83,237.0
54.92,4.365,2,50.5112583,-84.8165724,4.365,2023-05-26 13:30:09,,75.0,1.0,25.0,54.0,85.0,182.0,19.0,71.5,18.0,,,,,,2023,5,26,13,3.83,237.0
59.32,4.37,3,50.5113029,-84.8165481,4.37,2023-05-26 13:30:10,,76.0,1.0,23.0,54.0,86.0,187.0,23.0,84.0,18.0,,,,,,2023,5,26,13,3.83,237.0
64.3,4.828,3,50.5113562,-84.8165299,4.828,2023-05-26 13:30:11,,77.0,1.0,26.5,53.0,93.5,179.0,21.5,84.0,18.0,,,,,,2023,5,26,13,3.83,237.0
69.65,5.235,3,50.5114103,-84.8165086,5.235,2023-05-26 13:30:12,,77.0,1.0,21.0,56.0,72.5,166.0,22.5,89.5,18.0,,,,,,2023,5,26,13,3.83,237.0
74.69,5.057,3,50.5114578,-84.8164778,5.057,2023-05-26 13:30:13,,67.0,2.0,,,,146.0,,,18.0,,,,,,2023,5,26,13,3.83,237.0
79.95,5.179,3,50.5115083,-84.8164411,5.179,2023-05-26 13:30:14,,47.0,2.0,,,,125.0,,,18.0,,,,,,2023,5,26,13,3.83,237.0
84.49,4.9,3,50.5115511,-84.8164068,4.9,2023-05-26 13:30:15,,27.0,2.0,,,,104.0,,,18.0,,,,,,2023,5,26,13,3.83,237.0
88.41,4.356,3,50.5115847,-84.8163732,4.356,2023-05-26 13:30:16,,6.0,2.0,,,,83.0,,,18.0,,,,,,2023,5,26,13,3.83,237.0
92.59,3.902,3,50.5116192,-84.8163586,3.902,2023-05-26 13:30:17,,0.0,2.0,,,,0.0,,,18.0,,,,,,2023,5,26,13,3.83,237.0
95.73,3.311,3,50.5116426,-84.8163817,3.311,2023-05-26 13:30:18,,0.0,2.0,,,,0.0,,,18.0,,,,,,2023,5,26,13,3.83,237.0
98.86,3.185,3,50.5116743,-84.8163751,3.185,2023-05-26 13:30:19,,0.0,2.0,,,,0.0,,,18.0,,,,,,2023,5,26,13,3.83,237.0
