cadence,calories,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,timestamp,battery_soc,left_right_balance,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
88,5,20.0,71.5,189,24.0,81.5,2023-05-31 12:10:32,,50.0,14.0,0.0,0.0,8.0,50.3993867,-84.4876186,0.0,,,,,,2023,5,31,12,2.65,191.0
90,5,19.0,68.0,180,23.5,79.5,2023-05-31 12:10:33,,46.0,14.0,7.66,5.387,8.0,50.3993764,-84.487729,5.387,,,,,,2023,5,31,12,2.65,191.0
86,5,22.5,77.0,181,21.5,77.0,2023-05-31 12:10:34,,47.0,14.0,16.3,7.13,8.0,50.3993701,-84.4878546,7.13,,,,,,2023,5,31,12,2.65,191.0
82,5,26.0,85.5,185,19.5,74.5,2023-05-31 12:10:35,,49.0,14.0,25.79,7.319,8.0,50.3993626,-84.48799,7.319,,,,,,2023,5,31,12,2.65,191.0
82,6,26.0,87.0,205,21.5,79.5,2023-05-31 12:10:36,,50.0,14.0,35.8,7.525,8.0,50.3993594,-84.488134,7.525,,,,,,2023,5,31,12,2.65,191.0
83,6,24.5,84.5,232,25.0,89.0,2023-05-31 12:10:37,,53.0,14.0,45.66,7.662,8.0,50.3993564,-84.4882748,7.662,,,,,,2023,5,31,12,2.65,191.0
84,6,23.0,82.0,228,28.0,96.0,2023-05-31 12:10:38,,53.0,14.0,55.08,7.817,8.0,50.3993549,-84.4884096,7.817,,,,,,2023,5,31,12,2.65,191.0
85,6,22.5,80.5,224,27.0,93.0,2023-05-31 12:10:39,,49.0,14.0,64.46,7.972,8.0,50.3993578,-84.4885433,7.972,,,,,,2023,5,31,12,2.65,191.0
86,6,22.0,79.0,219,26.5,90.0,2023-05-31 12:10:40,,50.0,14.0,74.21,8.052,8.0,50.3993594,-84.4886875,8.052,,,,,,2023,5,31,12,2.65,191.0
87,7,22.0,77.5,212,25.5,87.0,2023-05-31 12:10:41,,52.0,14.0,84.77,8.075,8.0,50.3993564,-84.4888421,8.075,,,,,,2023,5,31,12,2.65,191.0
89,7,21.5,76.0,201,24.5,83.5,2023-05-31 12:10:42,,50.0,14.0,95.0,8.151,8.0,50.3993579,-84.48899,8.151,,,,,,2023,5,31,12,2.65,191.0
89,7,21.0,74.5,191,24.0,80.5,2023-05-31 12:10:43,,49.0,14.0,105.28,8.295,8.0,50.3993625,-84.4891376,8.295,,,,,,2023,5,31,12,2.65,191.0
90,7,20.5,73.0,184,23.0,77.5,2023-05-31 12:10:44,,50.0,14.0,115.82,8.409,7.0,50.3993672,-84.4892894,8.409,,,,,,2023,5,31,12,2.65,191.0
90,7,20.0,71.5,181,22.5,74.5,2023-05-31 12:10:45,,52.0,14.0,126.41,8.502,7.0,50.3993718,-84.4894422,8.502,,,,,,2023,5,31,12,2.65,191.0
91,8,20.0,70.5,184,22.0,73.5,2023-05-31 12:10:46,,51.0,14.0,136.28,8.504,7.0,50.3993796,-84.4895827,8.504,,,,,,2023,5,31,12,2.65,191.0
91,8,19.5,70.0,187,21.5,74.0,2023-05-31 12:10:47,,49.0,14.0,146.37,8.555,7.0,50.3993822,-84.4897317,8.555,,,,,,2023,5,31,12,2.65,191.0
92,8,19.0,70.0,191,21.0,74.5,2023-05-31 12:10:48,,49.0,14.0,156.36,8.662,7.0,50.3993822,-84.489873,8.662,,,,,,2023,5,31,12,2.65,191.0
92,8,20.5,73.5,195,21.0,76.5,2023-05-31 12:10:49,,51.0,14.0,166.0,8.699,7.0,50.3993854,-84.4900099,8.699,,,,,,2023,5,31,12,2.65,191.0
92,8,21.5,77.0,204,21.5,78.5,2023-05-31 12:10:50,,51.0,14.0,175.83,8.622,7.0,50.3993819,-84.4901527,8.622,,,,,,2023,5,31,12,2.65,191.0
91,9,24.5,85.0,204,22.5,83.5,2023-05-31 12:10:51,,54.0,14.0,185.77,8.513,7.0,50.3993751,-84.4902976,8.513,,,,,,2023,5,31,12,2.65,191.0
89,9,28.0,95.0,235,24.5,90.0,2023-05-31 12:10:52,,56.0,14.0,195.43,8.358,7.0,50.3993682,-84.490437,8.358,,,,,,2023,5,31,12,2.65,191.0
88,9,25.5,92.0,279,24.5,90.0,2023-05-31 12:10:53,,54.0,14.0,204.99,8.183,7.0,50.3993614,-84.490574,8.183,,,,,,2023,5,31,12,2.65,191.0
87,9,28.0,97.5,303,29.0,97.5,2023-05-31 12:10:54,,52.0,14.0,213.78,7.734,7.0,50.399353,-84.4907034,7.734,,,,,,2023,5,31,12,2.65,191.0
86,10,32.0,99.5,336,29.0,97.5,2023-05-31 12:10:55,,54.0,14.0,222.46,7.682,7.0,50.3993407,-84.4908273,7.682,,,,,,2023,5,31,12,2.65,191.0
84,10,34.0,99.5,335,29.0,97.5,2023-05-31 12:10:56,,53.0,14.0,231.24,7.844,7.0,50.399327,-84.4909502,7.844,,,,,,2023,5,31,12,2.65,191.0
83,10,32.5,100.0,342,31.5,100.0,2023-05-31 12:10:57,,52.0,14.0,239.44,7.888,7.0,50.3993135,-84.4910661,7.888,,,,,,2023,5,31,12,2.65,191.0
82,11,32.5,100.0,351,31.5,100.0,2023-05-31 12:10:58,,52.0,14.0,247.41,7.883,7.0,50.3992999,-84.4911789,7.883,,,,,,2023,5,31,12,2.65,191.0
81,11,29.0,98.5,350,30.5,99.5,2023-05-31 12:10:59,,52.0,13.0,255.01,7.638,7.0,50.3992829,-84.4912906,7.638,,,,,,2023,5,31,12,2.65,191.0
81,11,30.5,99.0,339,31.5,99.5,2023-05-31 12:11:00,,53.0,13.0,262.95,7.788,7.0,50.3992646,-84.4914004,7.788,,,,,,2023,5,31,12,2.65,191.0
81,12,32.5,99.0,318,32.5,99.5,2023-05-31 12:11:01,,51.0,13.0,270.99,7.93,7.0,50.3992498,-84.4915151,7.93,,,,,,2023,5,31,12,2.65,191.0
81,12,33.0,98.5,309,32.5,99.5,2023-05-31 12:11:02,,52.0,13.0,279.26,8.094,7.0,50.3992377,-84.4916331,8.094,,,,,,2023,5,31,12,2.65,191.0
81,12,28.5,93.0,296,29.0,93.5,2023-05-31 12:11:03,,55.0,13.0,287.66,8.306,7.0,50.3992264,-84.4917514,8.306,,,,,,2023,5,31,12,2.65,191.0
81,13,25.5,87.0,278,29.0,94.5,2023-05-31 12:11:04,,52.0,13.0,296.28,8.195,7.0,50.3992101,-84.4918767,8.195,,,,,,2023,5,31,12,2.65,191.0
81,13,24.5,83.5,261,27.5,92.0,2023-05-31 12:11:05,,53.0,13.0,304.53,8.085,7.0,50.3991983,-84.4919983,8.085,,,,,,2023,5,31,12,2.65,191.0
84,13,24.5,82.5,232,24.5,86.0,2023-05-31 12:11:06,,53.0,13.0,312.92,8.382,7.0,50.3991892,-84.4921162,8.382,,,,,,2023,5,31,12,2.65,191.0
88,13,23.0,77.0,219,24.5,87.5,2023-05-31 12:11:07,,50.0,13.0,321.46,8.638,7.0,50.399177,-84.4922401,8.638,,,,,,2023,5,31,12,2.65,191.0
90,14,21.5,71.0,208,25.0,89.5,2023-05-31 12:11:08,,44.0,13.0,330.14,8.993,7.0,50.3991634,-84.4923672,8.993,,,,,,2023,5,31,12,2.65,191.0
88,14,19.0,66.5,196,21.0,74.0,2023-05-31 12:11:09,,52.0,13.0,339.53,9.463,7.0,50.3991496,-84.4925017,9.463,,,,,,2023,5,31,12,2.65,191.0
