timestamp,battery_soc,cadence,calories,distance,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,left_right_balance,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
2023-05-31 22:49:14,46.0,87.0,0.0,0.0,9.259,2.0,25.5,84.0,50.5300446,-84.814889,229.0,27.5,88.5,9.259,23.0,,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:15,,87.0,0.0,7.08,9.04,2.0,25.5,85.0,50.5299733,-84.8148604,227.0,27.0,86.5,9.04,23.0,,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:16,,88.0,0.0,16.12,8.947,2.0,25.5,86.0,50.5298823,-84.814815,235.0,26.0,84.5,8.947,23.0,52.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:17,,88.0,0.0,25.37,8.963,2.0,24.5,84.0,50.5297864,-84.8147763,248.0,27.0,87.5,8.963,23.0,51.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:18,,88.0,0.0,34.36,8.984,2.0,24.0,82.0,50.529695,-84.8147324,246.0,27.0,88.5,8.984,23.0,51.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:19,,88.0,1.0,43.02,8.801,2.0,25.0,85.5,50.5296089,-84.814695,244.0,24.5,82.0,8.801,23.0,52.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:20,,88.0,1.0,51.37,8.896,2.0,26.5,89.0,50.5295237,-84.8146591,242.0,22.0,75.5,8.896,23.0,53.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:21,,88.0,1.0,60.18,8.708,2.0,25.0,84.5,50.5294351,-84.8146142,240.0,23.5,83.5,8.708,23.0,50.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:22,,88.0,1.0,69.01,8.892,2.0,24.5,83.0,50.5293452,-84.8145688,237.0,25.0,87.0,8.892,23.0,51.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:23,,87.0,2.0,77.68,8.838,2.0,25.0,84.5,50.5292585,-84.8145236,234.0,26.0,87.0,8.838,23.0,52.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:24,,86.0,2.0,86.46,8.785,2.0,24.5,85.5,50.5291712,-84.8144776,238.0,25.5,88.5,8.785,23.0,51.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:25,,86.0,2.0,94.99,8.684,2.0,24.0,84.5,50.5290844,-84.8144396,235.0,25.5,88.5,8.684,23.0,51.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:26,,85.0,2.0,103.49,8.694,2.0,24.5,86.5,50.5289961,-84.8143966,231.0,26.0,90.5,8.694,23.0,51.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:27,,85.0,3.0,112.45,8.671,2.0,25.5,88.5,50.5289074,-84.8143427,228.0,26.0,92.5,8.671,23.0,52.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:28,,85.0,3.0,121.19,8.584,2.0,26.0,90.5,50.5288205,-84.8142955,241.0,26.5,94.5,8.584,23.0,52.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:29,,85.0,3.0,129.92,8.543,2.0,27.0,92.5,50.5287337,-84.8142498,263.0,27.0,96.5,8.543,23.0,52.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:30,,84.0,3.0,138.34,8.54,2.0,24.5,84.5,50.5286477,-84.8142122,257.0,27.0,97.0,8.54,23.0,52.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:31,,83.0,4.0,146.86,8.44,2.0,23.5,82.5,50.5285613,-84.8141682,224.0,26.0,94.5,8.44,23.0,53.0,,,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:32,,83.0,4.0,155.34,8.404,2.0,23.0,84.0,50.5284744,-84.8141301,216.0,25.0,90.5,8.404,23.0,51.0,5.0,5.0,,,,2023,5,31,22,4.57,241.0
2023-05-31 22:49:33,,83.0,4.0,163.82,8.422,2.0,23.0,85.5,50.5283885,-84.8140939,221.0,24.0,86.5,8.422,23.0,50.0,5.0,5.0,0.0,0.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:34,,83.0,4.0,172.44,8.458,2.0,24.0,88.0,50.5283013,-84.8140572,226.0,24.0,85.0,8.458,23.0,51.0,5.0,5.0,0.0,0.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:35,,83.0,4.0,180.89,8.653,2.0,24.0,88.0,50.528214,-84.8140146,228.0,24.0,86.5,8.653,23.0,53.0,5.199999999999989,5.199999999999989,0.0,0.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:36,,84.0,5.0,189.96,8.795,2.0,24.5,89.0,50.5281244,-84.8139756,230.0,25.0,88.0,8.795,23.0,54.0,5.199999999999989,5.199999999999989,0.0,0.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:37,,85.0,5.0,198.88,8.902,2.0,23.5,88.0,50.5280336,-84.8139313,237.0,24.0,85.0,8.902,23.0,53.0,5.399999999999977,5.399999999999977,0.0,0.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:38,,87.0,5.0,207.76,8.833,2.0,20.5,82.0,50.5279428,-84.8138859,224.0,20.5,77.0,8.833,23.0,53.0,5.199999999999989,5.199999999999989,0.0,0.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:39,,87.0,5.0,216.78,9.055,2.0,18.0,65.5,50.5278521,-84.8138405,204.0,24.0,86.0,9.055,23.0,52.0,5.0,5.0,0.0,0.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:40,,88.0,5.0,225.65,8.768,2.0,18.0,65.0,50.5277648,-84.813795,167.0,20.0,72.5,8.768,23.0,50.0,5.0,5.0,0.0,0.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:41,,79.0,5.0,234.51,8.941,2.0,18.5,67.0,50.5276752,-84.8137574,139.0,18.0,67.5,8.941,23.0,50.0,4.600000000000023,4.600000000000023,0.0,0.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:42,,57.0,5.0,243.49,8.81,2.0,18.5,68.5,50.5275809,-84.8137136,132.0,17.5,66.0,8.81,23.0,52.0,4.399999999999977,4.399999999999977,0.0,0.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:43,,35.0,5.0,252.55,8.949,2.0,18.5,69.0,50.5274915,-84.8136674,126.0,16.0,60.5,8.949,23.0,56.0,4.199999999999989,4.199999999999989,0.0,0.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:44,,13.0,5.0,261.52,8.828,2.0,18.5,69.5,50.5274021,-84.8136223,120.0,14.5,55.0,8.828,23.0,60.0,4.0,4.0,0.0,0.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:45,,0.0,5.0,270.01,8.804,2.0,18.5,70.0,50.5273139,-84.8135782,0.0,13.0,49.5,8.804,23.0,63.0,3.8000000000000114,3.8000000000000114,0.0,0.0,-0.83,2023,5,31,22,4.57,241.0
2023-05-31 22:49:46,,0.0,5.0,278.86,8.701,2.0,18.5,70.5,50.5272244,-84.8135391,0.0,11.5,44.5,8.701,23.0,67.0,3.6000000000000227,3.6000000000000227,0.0,0.0,-1.77,2023,5,31,22,4.57,241.0
2023-05-31 22:49:47,,0.0,5.0,287.44,8.513,2.0,18.5,71.0,50.5271364,-84.8134944,0.0,10.5,39.0,8.513,23.0,70.0,3.3999999999999773,3.3999999999999773,0.0,0.0,-1.86,2023,5,31,22,4.57,241.0
2023-05-31 22:49:48,,0.0,5.0,295.86,8.499,2.0,19.0,71.5,50.527054,-84.8134567,0.0,9.0,33.5,8.499,23.0,74.0,3.1999999999999886,3.1999999999999886,0.0,0.0,-1.92,2023,5,31,22,4.57,241.0
2023-05-31 22:49:49,,0.0,5.0,304.25,8.498,2.0,19.0,72.0,50.5269689,-84.8134129,0.0,7.5,28.0,8.498,23.0,78.0,3.0,3.0,0.0,1.0,-1.98,2023,5,31,22,4.57,241.0
2023-05-31 22:49:50,,0.0,5.0,312.98,8.732,2.0,19.0,72.5,50.5268825,-84.8133599,0.0,6.0,22.5,8.732,23.0,81.0,2.6000000000000227,2.6000000000000227,0.0,1.0,-2.05,2023,5,31,22,4.57,241.0
2023-05-31 22:49:51,,0.0,5.0,319.88,6.076,2.0,19.0,73.0,50.5268144,-84.8133277,0.0,4.5,17.5,6.076,23.0,85.0,2.6000000000000227,2.6000000000000227,0.0,1.0,-2.12,2023,5,31,22,4.57,241.0
2023-05-31 22:49:52,,5.0,5.0,325.11,5.022,2.0,19.0,73.5,50.5267587,-84.8133082,0.0,3.0,12.0,5.022,23.0,89.0,2.8000000000000114,2.8000000000000114,0.0,1.0,-2.08,2023,5,31,22,4.57,241.0
2023-05-31 22:49:53,,10.0,5.0,329.08,3.793,2.0,19.0,74.0,50.526719,-84.8132899,0.0,2.0,6.5,3.793,23.0,92.0,2.8000000000000114,2.8000000000000114,0.0,1.0,-1.9,2023,5,31,22,4.57,241.0
2023-05-31 22:49:54,,19.0,6.0,331.5,2.56,2.0,19.0,74.5,50.5266953,-84.8132727,15.0,0.5,1.0,2.56,23.0,96.0,3.0,3.0,0.0,1.0,-0.92,2023,5,31,22,4.57,241.0
2023-05-31 22:49:55,,29.0,6.0,334.07,2.543,2.0,22.5,83.0,50.5266678,-84.8132612,30.0,4.5,17.5,2.543,23.0,100.0,3.0,3.0,0.0,1.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:56,,38.0,6.0,337.41,3.464,2.0,27.0,93.5,50.5266363,-84.8132444,82.0,10.5,40.0,3.464,23.0,91.0,3.0,3.0,0.0,1.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:49:57,,45.0,6.0,341.4,4.176,2.0,29.0,99.5,50.526593,-84.8132261,186.0,15.0,55.0,4.176,23.0,74.0,3.0,3.0,0.0,1.0,0.14,2023,5,31,22,4.57,241.0
2023-05-31 22:49:58,,57.0,6.0,346.18,4.781,2.0,28.5,98.5,50.5265475,-84.8132079,258.0,17.0,60.5,4.781,23.0,57.0,3.0,3.0,1.0,1.0,0.49,2023,5,31,22,4.57,241.0
2023-05-31 22:49:59,,68.0,7.0,351.49,5.39,2.0,28.0,97.5,50.5264909,-84.8131823,316.0,19.0,65.5,5.39,23.0,48.0,3.0,3.0,1.0,1.0,0.37,2023,5,31,22,4.57,241.0
2023-05-31 22:50:00,,76.0,7.0,357.25,5.769,2.0,27.5,96.5,50.5264315,-84.8131549,332.0,21.5,71.0,5.769,23.0,50.0,2.8000000000000114,2.8000000000000114,1.0,1.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:01,,81.0,7.0,363.29,5.904,2.0,26.5,95.5,50.5263721,-84.8131274,296.0,23.5,76.0,5.904,23.0,53.0,2.8000000000000114,2.8000000000000114,1.0,1.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:02,,85.0,7.0,369.71,6.548,2.0,26.0,94.5,50.5263056,-84.8131079,245.0,25.5,81.0,6.548,23.0,57.0,2.8000000000000114,2.8000000000000114,1.0,1.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:03,,82.0,8.0,376.47,6.758,2.0,25.5,93.5,50.526237,-84.8130819,235.0,27.5,86.0,6.758,23.0,56.0,2.6000000000000227,2.6000000000000227,1.0,1.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:04,,84.0,8.0,384.34,7.213,2.0,26.5,93.5,50.5261571,-84.8130315,257.0,27.0,90.5,7.213,23.0,51.0,2.6000000000000227,2.6000000000000227,1.0,1.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:05,,87.0,8.0,391.68,7.161,2.0,23.5,88.0,50.526083,-84.813,257.0,25.5,93.0,7.161,23.0,50.0,2.6000000000000227,2.6000000000000227,1.0,1.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:06,,87.0,8.0,399.27,7.017,3.0,21.5,82.0,50.5260064,-84.8129574,220.0,23.5,90.0,7.017,23.0,53.0,2.3999999999999773,2.3999999999999773,1.0,2.0,-0.47,2023,5,31,22,4.57,241.0
2023-05-31 22:50:07,,84.0,9.0,406.89,6.986,3.0,20.0,78.5,50.5259327,-84.8129118,203.0,22.0,81.5,6.986,23.0,59.0,2.3999999999999773,2.3999999999999773,1.0,2.0,-0.97,2023,5,31,22,4.57,241.0
2023-05-31 22:50:08,,84.0,9.0,413.81,6.624,3.0,21.0,83.5,50.5258644,-84.8128668,206.0,20.5,76.5,6.624,23.0,62.0,2.3999999999999773,2.3999999999999773,1.0,2.0,-0.92,2023,5,31,22,4.57,241.0
2023-05-31 22:50:09,,84.0,9.0,419.95,5.56,3.0,21.5,89.0,50.5258036,-84.8128363,211.0,19.0,71.5,5.56,23.0,58.0,2.3999999999999773,2.3999999999999773,1.0,2.0,-0.45,2023,5,31,22,4.57,241.0
2023-05-31 22:50:10,,85.0,9.0,425.64,5.045,3.0,23.0,90.5,50.5257481,-84.8128014,216.0,19.5,73.0,5.045,23.0,54.0,2.3999999999999773,2.3999999999999773,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:11,,85.0,9.0,431.62,5.629,3.0,24.5,90.0,50.5256896,-84.8127649,184.0,21.0,77.5,5.629,23.0,55.0,2.3999999999999773,2.3999999999999773,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:12,,86.0,10.0,438.26,6.806,3.0,25.5,90.5,50.5256233,-84.8127288,215.0,22.0,81.5,6.806,23.0,56.0,2.3999999999999773,2.3999999999999773,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:13,,86.0,10.0,445.25,7.217,3.0,24.0,93.0,50.5255551,-84.8126849,232.0,22.5,84.0,7.217,23.0,53.0,2.3999999999999773,2.3999999999999773,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:14,,86.0,10.0,452.56,7.151,3.0,24.0,90.0,50.5254836,-84.8126471,221.0,21.5,80.0,7.151,23.0,50.0,2.1999999999999886,2.1999999999999886,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:15,,86.0,10.0,459.58,7.116,3.0,23.5,87.0,50.525414,-84.8126105,186.0,20.0,75.5,7.116,23.0,50.0,2.1999999999999886,2.1999999999999886,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:16,,86.0,10.0,466.58,6.767,3.0,24.0,87.5,50.5253489,-84.8125584,201.0,19.5,73.0,6.767,23.0,50.0,2.3999999999999773,2.3999999999999773,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:17,,85.0,11.0,473.45,6.725,3.0,25.5,92.0,50.5252815,-84.8125115,216.0,20.0,74.5,6.725,23.0,50.0,2.3999999999999773,2.3999999999999773,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:18,,86.0,11.0,480.34,6.355,3.0,28.0,94.5,50.525217,-84.812466,228.0,22.5,84.0,6.355,23.0,50.0,2.6000000000000227,2.6000000000000227,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:19,,86.0,11.0,487.65,6.651,3.0,24.5,91.5,50.5251454,-84.8124203,239.0,25.0,92.0,6.651,23.0,50.0,2.6000000000000227,2.6000000000000227,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:20,,86.0,11.0,494.89,7.481,3.0,25.0,91.0,50.5250732,-84.8123828,248.0,25.0,95.5,7.481,23.0,52.0,2.8000000000000114,2.8000000000000114,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:21,,87.0,12.0,502.37,7.638,3.0,27.0,93.0,50.5249969,-84.8123465,257.0,25.0,96.0,7.638,23.0,53.0,2.8000000000000114,2.8000000000000114,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
2023-05-31 22:50:22,,87.0,12.0,509.53,7.39,3.0,27.5,96.5,50.5249263,-84.8123097,278.0,25.5,96.0,7.39,23.0,53.0,2.8000000000000114,2.8000000000000114,1.0,2.0,0.0,2023,5,31,22,4.57,241.0
